Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/activemq/activemq-client/src/test/java/org/apache/activemq/ActiveMQSslConnectionFactoryTest.java,135,,"            e.getCause().printStackTrace();"
2,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/dnsswitch/DNSSwitchTest.java,987,,"         e.getCause().printStackTrace();"
3,./TargetProjects/falcon/falcon-regression/merlin-core/src/main/java/org/apache/falcon/regression/core/bundle/Bundle.java,659,,"            e.getStackTrace();"
4,./TargetProjects/falcon/falcon-regression/merlin-core/src/main/java/org/apache/falcon/regression/core/bundle/Bundle.java,666,,"                e.getStackTrace();"
5,./TargetProjects/falcon/falcon-regression/merlin-core/src/main/java/org/apache/falcon/regression/core/bundle/Bundle.java,674,,"                e.getStackTrace();"
6,./TargetProjects/felix-dev/gogo/runtime/src/main/java/org/apache/felix/gogo/runtime/CommandProcessorImpl.java,341,,"                e.getCause();"
7,./TargetProjects/felix-dev/ipojo/runtime/core-it/ipojo-core-service-dependency-optional-test/src/test/java/org/apache/felix/ipojo/runtime/core/test/dependencies/optional/TestOptionalNoNullableDependencies.java,76,,"            e.getMessage();"
8,./TargetProjects/geode/geode-core/src/distributedTest/java/org/apache/geode/management/RegionCreateDestroyDUnitTest.java,173,,"      rmi.getCause();"
9,./TargetProjects/geode/geode-core/src/test/java/org/apache/geode/internal/offheap/OffHeapStorageJUnitTest.java,139,,"      expected.getMessage()"
10,./TargetProjects/geode/geode-core/src/test/java/org/apache/geode/internal/offheap/OffHeapStorageJUnitTest.java,152,,"      expected.getMessage().equals(""InternalDistributedSystem is null"");"
11,./TargetProjects/groovy/src/test/org/codehaus/groovy/classgen/ForTest.java,53,,"            e.getCause().printStackTrace();"
12,./TargetProjects/groovy/src/test/org/codehaus/groovy/classgen/ForTest.java,84,,"            e.getCause().printStackTrace();"
13,./TargetProjects/groovy/src/test/org/codehaus/groovy/classgen/ForTest.java,116,,"            e.getCause().printStackTrace();"
14,./TargetProjects/groovy/src/test/org/codehaus/groovy/classgen/GStringTest.java,91,,"            e.getCause().printStackTrace();"
15,./TargetProjects/groovy/src/test/org/codehaus/groovy/classgen/TupleListTest.java,77,,"            e.getCause().printStackTrace();"
16,./TargetProjects/hadoop/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/datanode/TestBlockRecovery.java,636,,"      e.getMessage().startsWith(""Cannot recover "");"
17,./TargetProjects/hadoop/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/datanode/TestBlockRecovery.java,657,,"      e.getMessage().startsWith(""Cannot recover "");"
18,./TargetProjects/hadoop/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/datanode/TestBlockRecovery.java,689,,"        e.getMessage().startsWith(""Cannot recover "");"
19,./TargetProjects/hadoop/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/datanode/fsdataset/impl/TestInterDatanodeProtocol.java,316,,"        e.getMessage().startsWith("
20,./TargetProjects/hadoop-common/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/datanode/TestBlockRecovery.java,521,,"      e.getMessage().startsWith(""Cannot recover "");"
21,./TargetProjects/hadoop-common/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/datanode/TestBlockRecovery.java,540,,"      e.getMessage().startsWith(""Cannot recover "");"
22,./TargetProjects/hadoop-common/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/datanode/TestBlockRecovery.java,570,,"        e.getMessage().startsWith(""Cannot recover "");"
23,./TargetProjects/hadoop-common/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/datanode/fsdataset/impl/TestInterDatanodeProtocol.java,312,,"        e.getMessage().startsWith("
24,./TargetProjects/hadoop-hdfs/src/test/hdfs/org/apache/hadoop/hdfs/server/common/TestStorageInfo.java,74,,"      e.getMessage();"
25,./TargetProjects/hadoop-hdfs/src/test/hdfs/org/apache/hadoop/hdfs/server/datanode/TestInterDatanodeProtocol.java,211,,"        e.getMessage().startsWith("
26,./TargetProjects/hadoop-hdfs/src/test/unit/org/apache/hadoop/hdfs/server/datanode/TestBlockRecovery.java,458,,"      e.getMessage().startsWith(""Cannot recover "");"
27,./TargetProjects/hadoop-hdfs/src/test/unit/org/apache/hadoop/hdfs/server/datanode/TestBlockRecovery.java,477,,"      e.getMessage().startsWith(""Cannot recover "");"
28,./TargetProjects/hadoop-hdfs/src/test/unit/org/apache/hadoop/hdfs/server/datanode/TestBlockRecovery.java,505,,"        e.getMessage().startsWith(""Cannot recover "");"
29,./TargetProjects/ignite/modules/core/src/test/java/org/apache/ignite/cache/affinity/AbstractAffinityFunctionSelfTest.java,128,,"            e.getMessage().contains(""Null key is passed for a partition calculation. "" +"
30,./TargetProjects/incubator-atlas/repository/src/test/java/org/apache/atlas/TestUtils.java,649,,"                    e.getCause().printStackTrace();"
31,./TargetProjects/incubator-atlas/repository/src/test/java/org/apache/atlas/TestUtils.java,689,,"                    e.getCause().printStackTrace();"
32,./TargetProjects/incubator-samoa/samoa-samza/src/main/java/org/apache/samoa/topology/impl/SamzaEntranceProcessingItem.java,185,,"                e.getStackTrace();"
33,./TargetProjects/incubator-tez/tez-runtime-library/src/test/java/org/apache/tez/dag/library/vertexmanager/TestInputReadyVertexManager.java,206,,"      e.getMessage().contains(""Managed task number must equal 1-1 source"");"
34,./TargetProjects/incubator-tez/tez-runtime-library/src/test/java/org/apache/tez/dag/library/vertexmanager/TestInputReadyVertexManager.java,218,,"      e.getMessage().contains(""1-1 source vertices must have identical concurrency"");"
35,./TargetProjects/jena/jena-db/jena-tdb2/src/test/java/org/apache/jena/tdb2/assembler/TestTDBAssembler.java,96,,"            e.getCause().printStackTrace(System.err);"
36,./TargetProjects/jena/jena-db/jena-tdb2/src/test/java/org/apache/jena/tdb2/assembler/TestTDBAssembler.java,130,,"            e.getCause().printStackTrace(System.err);"
37,./TargetProjects/jena/jena-permissions/src/test/java/org/apache/jena/permissions/graph/SecuredPrefixMappingTest.java,81,,"                        e.getCause().printStackTrace();"
38,./TargetProjects/jena/jena-tdb/src/test/java/org/apache/jena/tdb/assembler/TestTDBAssembler.java,99,,"            e.getCause().printStackTrace(System.err) ;"
39,./TargetProjects/jena/jena-tdb/src/test/java/org/apache/jena/tdb/assembler/TestTDBAssembler.java,133,,"            e.getCause().printStackTrace(System.err) ;"
40,./TargetProjects/maven-surefire/maven-surefire-common/src/main/java/org/apache/maven/plugin/surefire/booterclient/output/ThreadedStreamConsumer.java,99,,"                    t.getStackTrace();"
41,./TargetProjects/netbeans/platform/openide.awt/test/unit/src/org/openide/awt/QuickSearchTest.java,104,,"                itex.getCause().printStackTrace();"
42,./TargetProjects/netbeans/platform/openide.awt/test/unit/src/org/openide/awt/QuickSearchTest.java,158,,"                itex.getCause().printStackTrace();"
43,./TargetProjects/netbeans/platform/openide.awt/test/unit/src/org/openide/awt/QuickSearchTest.java,365,,"            itex.getCause().printStackTrace();"
44,./TargetProjects/netbeans/platform/openide.awt/test/unit/src/org/openide/awt/QuickSearchTest.java,392,,"            itex.getCause().printStackTrace();"
45,./TargetProjects/netbeans/platform/openide.awt/test/unit/src/org/openide/awt/QuickSearchTest.java,423,,"            itex.getCause().printStackTrace();"
46,./TargetProjects/netbeans/platform/openide.awt/test/unit/src/org/openide/awt/QuickSearchTest.java,459,,"            itex.getCause().printStackTrace();"
47,./TargetProjects/netbeans/platform/openide.awt/test/unit/src/org/openide/awt/QuickSearchTest.java,486,,"            itex.getCause().printStackTrace();"
48,./TargetProjects/netbeans/platform/openide.awt/test/unit/src/org/openide/awt/QuickSearchTest.java,579,,"                itex.getCause().printStackTrace();"
49,./TargetProjects/nifi/nifi-mock/src/main/java/org/apache/nifi/util/StandardProcessorTestRunner.java,725,,"            ite.getCause().printStackTrace();"
50,./TargetProjects/odftoolkit/odfdom/src/test/java/org/odftoolkit/odfdom/pkg/PackageTest.java,226,,"			e.getLocalizedMessage();"
51,./TargetProjects/openjpa/openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/sequence/TestSequenceGenerationOnMT.java,56,,"            ee.getCause().printStackTrace();"
52,./TargetProjects/phoenix/phoenix-tools/src/it/java/org/apache/phoenix/schema/SchemaToolSynthesisIT.java,213,,"            e.getMessage().equalsIgnoreCase(ENTITY_NAME_IN_BASE_AND_ALTER_DDL_DON_T_MATCH);"
53,./TargetProjects/phoenix/phoenix-tools/src/it/java/org/apache/phoenix/schema/SchemaToolSynthesisIT.java,224,,"            e.getMessage().equalsIgnoreCase(UNSUPPORTED_DDL_EXCEPTION);"
54,./TargetProjects/sis/application/sis-javafx/src/main/java/org/apache/sis/gui/metadata/ResourceView.java,324,,"                ex.getMessage();                    // TODO: needs better handling."
55,./TargetProjects/tez/tez-runtime-library/src/test/java/org/apache/tez/dag/library/vertexmanager/TestInputReadyVertexManager.java,276,,"      e.getMessage().contains(""1-1 source vertices must have identical concurrency"");"
