Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/accumulo/test/src/main/java/org/apache/accumulo/test/start/KeywordStartIT.java,191,,"      main = classToCheck.getMethod(""main"", new String[0].getClass());"
2,./TargetProjects/attic-ode/dao-hibernate/src/main/java/org/apache/ode/daohib/bpel/hobj/GZipDataType.java,49,,"    public static final Class RETURNED_CLASS = new byte[0].getClass();"
3,./TargetProjects/avro/lang/java/avro/src/main/java/org/apache/avro/specific/SpecificData.java,243,,"  }.getClass();"
4,./TargetProjects/axis-axis1-java/axis-rt-core/src/test/java/test/utils/cache/TestJavaClass.java,12,,"        Class c = new java.util.Date().getClass(); "
5,./TargetProjects/axis-axis1-java/axis-rt-core/src/test/java/test/utils/cache/TestJavaClass.java,23,,"        Class v = new java.util.Vector().getClass(); "
6,./TargetProjects/axis-axis1-java/axis-rt-core/src/test/java/test/utils/cache/TestJavaClass.java,24,,"        Class st = new java.util.StringTokenizer(""some string"").getClass();"
7,./TargetProjects/axis-axis1-java/axis-rt-core/src/test/java/test/utils/cache/TestJavaClass.java,56,,"        Class v = new java.util.Vector().getClass(); "
8,./TargetProjects/axis-axis1-java/axis-rt-core/src/test/java/test/utils/cache/TestJavaMethod.java,12,,"        Class vector = new java.util.Vector().getClass(); "
9,./TargetProjects/bahir-flink/flink-library-siddhi/src/main/java/org/apache/flink/streaming/siddhi/utils/SiddhiTypeFactory.java,106,,"    private static final TypeInformation<?> MAP_TYPE_INFORMATION = TypeExtractor.createTypeInfo(new HashMap<String, Object>().getClass());"
10,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/schemas/FieldTypeDescriptorsTest.java,155,,"            TypeDescriptor.of(new ArrayList<String>() {}.getClass())));"
11,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesProcessElementTest.java,116,,"    DoFnSignatures.getSignature(new DoFn<String, String>() {}.getClass());"
12,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesProcessElementTest.java,133,,"        }.getClass());"
13,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesProcessElementTest.java,146,,"        }.getClass());"
14,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesProcessElementTest.java,172,,"    DoFnSignatures.getSignature(new IdentityFn<String>() {}.getClass());"
15,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesSplittableDoFnTest.java,500,,"                ManualWatermarkEstimator<Instant>>() {}.getClass());"
16,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,108,,"            }.getClass());"
17,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,131,,"            }.getClass());"
18,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,155,,"            }.getClass());"
19,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,170,,"            }.getClass());"
20,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,185,,"            }.getClass());"
21,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,197,,"            }.getClass());"
22,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,207,,"            }.getClass());"
23,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,223,,"            }.getClass());"
24,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,267,,"            }.getClass());"
25,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,279,,"            }.getClass());"
26,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,317,,"        }.getClass());"
27,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,337,,"        }.getClass());"
28,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,353,,"        }.getClass());"
29,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,369,,"            }.getClass());"
30,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,392,,"        }.getClass());"
31,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,408,,"            }.getClass());"
32,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,433,,"        }.getClass());"
33,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,450,,"        }.getClass());"
34,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,469,,"        }.getClass());"
35,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,514,,"        }.getClass());"
36,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,536,,"        }.getClass());"
37,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,555,,"        }.getClass());"
38,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,574,,"            }.getClass());"
39,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,599,,"            }.getClass());"
40,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,620,,"            }.getClass());"
41,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,630,,"        DoFnSignatures.getSignature(new DoFnOverridingAbstractTimerUse().getClass());"
42,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,656,,"        DoFnSignatures.getSignature(new DoFnOverridingAbstractCallback().getClass());"
43,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,699,,"        }.getClass());"
44,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,717,,"        }.getClass());"
45,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,733,,"            }.getClass());"
46,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,756,,"            }.getClass());"
47,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,787,,"        }.getClass());"
48,./TargetProjects/beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/reflect/DoFnSignaturesTest.java,829,,"        }.getClass());"
