Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/brooklyn-server/utils/common/src/main/java/org/apache/brooklyn/util/time/Time.java,872,,"                        s = s/=1000;"
2,./TargetProjects/cloudstack/utils/src/test/java/org/apache/cloudstack/utils/mailing/SMTPMailSenderTest.java,443,,"        smtpMailSender = smtpMailSender = Mockito.spy(smtpMailSender);"
3,./TargetProjects/cloudstack/utils/src/test/java/org/apache/cloudstack/utils/mailing/SMTPMailSenderTest.java,460,,"        smtpMailSender = smtpMailSender = Mockito.spy(smtpMailSender);"
4,./TargetProjects/cloudstack/utils/src/test/java/org/apache/cloudstack/utils/mailing/SMTPMailSenderTest.java,478,,"        smtpMailSender = smtpMailSender = Mockito.spy(smtpMailSender);"
5,./TargetProjects/cloudstack/utils/src/test/java/org/apache/cloudstack/utils/mailing/SMTPMailSenderTest.java,502,,"        smtpMailSender = smtpMailSender = Mockito.spy(smtpMailSender);"
6,./TargetProjects/cloudstack/utils/src/test/java/org/apache/cloudstack/utils/mailing/SMTPMailSenderTest.java,551,,"        messageMock = messageMock = Mockito.spy(messageMock);"
7,./TargetProjects/cloudstack/utils/src/test/java/org/apache/cloudstack/utils/mailing/SMTPMailSenderTest.java,580,,"        smtpMailSender = smtpMailSender = Mockito.spy(smtpMailSender);"
8,./TargetProjects/cloudstack/utils/src/test/java/org/apache/cloudstack/utils/mailing/SMTPMailSenderTest.java,595,,"        smtpMailSender = smtpMailSender = Mockito.spy(smtpMailSender);"
9,./TargetProjects/cloudstack/utils/src/test/java/org/apache/cloudstack/utils/mailing/SMTPMailSenderTest.java,603,,"        smtpMailSender = smtpMailSender = Mockito.spy(smtpMailSender);"
10,./TargetProjects/felix-dev/coordinator/src/main/java/org/apache/felix/coordinator/impl/LogWrapper.java,377,,"            logLevel = logLevel;"
11,./TargetProjects/geode/geode-dunit/src/main/java/org/apache/geode/test/dunit/internal/ProcessManager.java,239,,"      dunitClasspath ="
12,./TargetProjects/incubator-brooklyn/brooklyn-server/utils/common/src/main/java/org/apache/brooklyn/util/time/Time.java,826,,"                        s = s/=1000;"
13,./TargetProjects/maven-2/maven-core/src/main/java/org/apache/maven/execution/DefaultMavenExecutionRequest.java,156,,"        session = session;"
14,./TargetProjects/netbeans/enterprise/j2ee.ejbcore/src/org/netbeans/modules/j2ee/ejbcore/ui/logicalview/entries/SelectDatabasePanel.java,288,,"            errorMsg = errorMsg = NbBundle.getMessage(SelectDatabasePanel.class, ""ERR_MissingServer""); //NOI18N"
15,./TargetProjects/netbeans/ide/editor.lib2/src/org/netbeans/api/editor/caret/CaretTransaction.java,727,,"                    startShift = startShift = dotShift;"
16,./TargetProjects/netbeans/ide/editor.lib2/src/org/netbeans/api/editor/caret/CaretTransaction.java,741,,"            startShift = startShift = 0;"
17,./TargetProjects/netbeans/java/form/src/org/netbeans/modules/form/GandalfPersistenceManager.java,3274,,"            topDocument = topDocument = XMLUtil.createDocument(""topDocument"", null, null, null); // NOI18N"
18,./TargetProjects/netbeans/java/java.api.common/src/org/netbeans/modules/java/api/common/classpath/ClassPathProviderImpl.java,1551,,"                    cps = cps;  //WB"
19,./TargetProjects/netbeans/java/java.api.common/src/org/netbeans/modules/java/api/common/project/JavaActionProvider.java,802,,"            mainClassServices = mainClassServices;"
20,./TargetProjects/netbeans/java/java.api.common/src/org/netbeans/modules/java/api/common/project/JavaActionProvider.java,810,,"            mainClassServices = mainClassServices;"
21,./TargetProjects/netbeans/java/java.j2seplatform/src/org/netbeans/modules/java/j2seplatform/queries/DefaultClassPathProvider.java,176,,"                        execRoot = execRoot = getRootForFile (file, TYPE_CLASS);"
22,./TargetProjects/netbeans/java/java.source.base/src/org/netbeans/api/java/source/GeneratorUtilities.java,1449,,"                               p2 = p2 = p2.getParentPath();"
23,./TargetProjects/netbeans/java/java.source.nbjavac/src/org/netbeans/modules/java/source/nbjavac/indexing/MultiPassCompileWorker.java,318,,"                            module = module = Modules.instance(jt.getContext()).getDefaultModule();"
24,./TargetProjects/netbeans/platform/openide.loaders/src/org/openide/loaders/TemplateWizard2.java,109,,"        dataFolderPanel = dataFolderPanel = new PropertyPanel (locationFolderModel, PropertyPanel.PREF_CUSTOM_EDITOR);"
25,./TargetProjects/ofbiz-framework/framework/entity/src/main/java/org/apache/ofbiz/entity/jdbc/SQLProcessor.java,376,,"            sql = sql;"
26,./TargetProjects/pulsar/pulsar-client-tools/src/main/java/org/apache/pulsar/admin/cli/PulsarAdminTool.java,337,,"        lastExitCode = lastExitCode;"
27,./TargetProjects/sling-org-apache-sling-models-impl/src/test/java/org/apache/sling/models/impl/CustomInjectorTest.java,63,,"        factory.injectAnnotationProcessorFactories = factory.injectAnnotationProcessorFactories = Collections.<InjectAnnotationProcessorFactory>singletonList(injector);"
28,./TargetProjects/sling-org-apache-sling-models-impl/src/test/java/org/apache/sling/models/impl/ResourceModelClassesTest.java,73,,"        factory.injectAnnotationProcessorFactories = factory.injectAnnotationProcessorFactories = Collections.<InjectAnnotationProcessorFactory>singletonList(new ValueMapInjector());"
29,./TargetProjects/sling-org-apache-sling-servlets-post/src/main/java/org/apache/sling/servlets/post/impl/operations/AbstractCreateOperation.java,662,,"		        basePath = basePath += ""/"" + specialParam.getString();"
30,./TargetProjects/tuscany-sca-2/modules/binding-jms-runtime/src/main/java/org/apache/tuscany/sca/binding/jms/provider/JMSMessageProcessorUtil.java,51,,"            cl = cl = AccessController.doPrivileged(new PrivilegedAction<ClassLoader>() {"
31,./TargetProjects/tuscany-sca-2/modules/web-javascript-dojo/src/main/java/org/apache/tuscany/sca/web/javascript/dojo/DojoWidgetJavascriptProvider.java,122,,"            counter = counter -= 1;"
