Pattern ID,Pattern,Context,"# of Eq list","# of Frq",complexity,Num of Warnings in Method,NCL
1,for (j = 0; j < children.getLength() && localType == null; j++) {,"for (j=0; j < children.getLength() && localType == null; j++) {
  if (isXSDNode(children.item(j),""simpleType"")) {
    localType=children.item(j);
  }
}
",0,37,8,327,"SimpleName(Assignment-leftHandSide, ForStatement-initializers, ),
NumberLiteral(Assignment-rightHandSide, ForStatement-initializers, ),
SimpleName(InfixExpression-leftOperand, InfixExpression-leftOperand, ForStatement-expression, ),
SimpleName(MethodInvocation-expression, InfixExpression-rightOperand, InfixExpression-leftOperand, ForStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-rightOperand, InfixExpression-leftOperand, ForStatement-expression, ),
SimpleName(InfixExpression-leftOperand, InfixExpression-rightOperand, ForStatement-expression, ),
NullLiteral(InfixExpression-rightOperand, InfixExpression-rightOperand, ForStatement-expression, ),
SimpleName(PostfixExpression-operand, ForStatement-updaters, ),
"
2,for (int i = 0; i < POST_DATA.length / (128 * 1024); i++) {,"for (int i=0; i < POST_DATA.length / (128 * 1024); i++) {
  os.write(POST_DATA,0,1024 * 128);
  Thread.sleep(10);
}
",0,10,8,,"PrimitiveType(VariableDeclarationExpression-type, ForStatement-initializers, ),
SimpleName(VariableDeclarationFragment-name, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
NumberLiteral(VariableDeclarationFragment-initializer, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
SimpleName(InfixExpression-leftOperand, ForStatement-expression, ),
QualifiedName(InfixExpression-leftOperand, InfixExpression-rightOperand, ForStatement-expression, ),
NumberLiteral(InfixExpression-leftOperand, ParenthesizedExpression-expression, InfixExpression-rightOperand, InfixExpression-rightOperand, ForStatement-expression, ),
NumberLiteral(InfixExpression-rightOperand, ParenthesizedExpression-expression, InfixExpression-rightOperand, InfixExpression-rightOperand, ForStatement-expression, ),
SimpleName(PostfixExpression-operand, ForStatement-updaters, ),
"
3,for (int i = 0; i < getReceivedExchanges().size(); i++) {,"for (int i=0; i < getReceivedExchanges().size(); i++) {
  assertOnIndex(i);
}
",0,0,7,,"PrimitiveType(VariableDeclarationExpression-type, ForStatement-initializers, ),
SimpleName(VariableDeclarationFragment-name, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
NumberLiteral(VariableDeclarationFragment-initializer, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
SimpleName(InfixExpression-leftOperand, ForStatement-expression, ),
SimpleName(MethodInvocation-name, MethodInvocation-expression, InfixExpression-rightOperand, ForStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-rightOperand, ForStatement-expression, ),
SimpleName(PostfixExpression-operand, ForStatement-updaters, ),
"
4,for (i++; i < cmds.length; i++) {,"for (i++; i < cmds.length; i++) {
  answers[i]=new Answer(cmds[i],false,""Stopped by previous failure"");
}
",0,0,4,,"SimpleName(PostfixExpression-operand, ForStatement-initializers, ),
SimpleName(InfixExpression-leftOperand, ForStatement-expression, ),
QualifiedName(InfixExpression-rightOperand, ForStatement-expression, ),
SimpleName(PostfixExpression-operand, ForStatement-updaters, ),
"
5,"for (int i = 0, eventsSize = events.size(); i < eventsSize; i++) {","for (int i=0, eventsSize=events.size(); i < eventsSize; i++) {
  event.index=events.getInt(i);
  eventBatches.add(emitter.emitAndReturnBatch(event));
  if (i % 16 == 0) {
    try {
      Thread.sleep(10);
    }
 catch (    InterruptedException e) {
      throw new RuntimeException(e);
    }
  }
}
",0,2,9,,"PrimitiveType(VariableDeclarationExpression-type, ForStatement-initializers, ),
SimpleName(VariableDeclarationFragment-name, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
NumberLiteral(VariableDeclarationFragment-initializer, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
SimpleName(VariableDeclarationFragment-name, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
SimpleName(MethodInvocation-expression, VariableDeclarationFragment-initializer, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
SimpleName(MethodInvocation-name, VariableDeclarationFragment-initializer, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
SimpleName(InfixExpression-leftOperand, ForStatement-expression, ),
SimpleName(InfixExpression-rightOperand, ForStatement-expression, ),
SimpleName(PostfixExpression-operand, ForStatement-updaters, ),
"
6,"for (int k = 64; i < this.numFields && k > 0; --k, i++, currMask >>>= 1) {","for (int k=64; i < this.numFields && k > 0; --k, i++, currMask>>>=1) {
  if ((currMask & 0x1) != 0) {
    internallySetField(i,null);
  }
}
",0,4,12,,"PrimitiveType(VariableDeclarationExpression-type, ForStatement-initializers, ),
SimpleName(VariableDeclarationFragment-name, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
NumberLiteral(VariableDeclarationFragment-initializer, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
SimpleName(InfixExpression-leftOperand, InfixExpression-leftOperand, ForStatement-expression, ),
ThisExpression(FieldAccess-expression, InfixExpression-rightOperand, InfixExpression-leftOperand, ForStatement-expression, ),
SimpleName(FieldAccess-name, InfixExpression-rightOperand, InfixExpression-leftOperand, ForStatement-expression, ),
SimpleName(InfixExpression-leftOperand, InfixExpression-rightOperand, ForStatement-expression, ),
NumberLiteral(InfixExpression-rightOperand, InfixExpression-rightOperand, ForStatement-expression, ),
SimpleName(PrefixExpression-operand, ForStatement-updaters, ),
SimpleName(PostfixExpression-operand, ForStatement-updaters, ),
SimpleName(Assignment-leftHandSide, ForStatement-updaters, ),
NumberLiteral(Assignment-rightHandSide, ForStatement-updaters, ),
"
7,"for (int i = 0; i < 8 && field < numFields; i++, field++) {","for (int i=0; i < 8 && field < numFields; i++, field++) {
  if ((mask & 0x1) == 0x1) {
    if (lastNonNullField >= 0) {
      int start=data[pos--] & 0xff;
      if (start >= MAX_BIT) {
        int shift=7;
        int curr;
        start=start & 0x7f;
        while ((curr=data[pos--] & 0xff) >= MAX_BIT) {
          start|=(curr & 0x7f) << shift;
          shift+=7;
        }
        start|=curr << shift;
      }
      this.offsets[field]=start + begin;
      this.lengths[lastNonNullField]=start + begin - this.offsets[lastNonNullField];
    }
 else {
      this.offsets[field]=begin;
    }
    lastNonNullField=field;
  }
 else {
    this.offsets[field]=NULL_INDICATOR_OFFSET;
  }
  mask>>=1;
}
",0,0,9,,"PrimitiveType(VariableDeclarationExpression-type, ForStatement-initializers, ),
SimpleName(VariableDeclarationFragment-name, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
NumberLiteral(VariableDeclarationFragment-initializer, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
SimpleName(InfixExpression-leftOperand, InfixExpression-leftOperand, ForStatement-expression, ),
NumberLiteral(InfixExpression-rightOperand, InfixExpression-leftOperand, ForStatement-expression, ),
SimpleName(InfixExpression-leftOperand, InfixExpression-rightOperand, ForStatement-expression, ),
SimpleName(InfixExpression-rightOperand, InfixExpression-rightOperand, ForStatement-expression, ),
SimpleName(PostfixExpression-operand, ForStatement-updaters, ),
SimpleName(PostfixExpression-operand, ForStatement-updaters, ),
"
8,for (int i = (offset * calls); i < calls; i++) {,"for (int i=(offset * calls); i < calls; i++) {
  trr.includeTimestamp(i);
}
",0,1,7,,"PrimitiveType(VariableDeclarationExpression-type, ForStatement-initializers, ),
SimpleName(VariableDeclarationFragment-name, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
SimpleName(InfixExpression-leftOperand, ParenthesizedExpression-expression, VariableDeclarationFragment-initializer, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
SimpleName(InfixExpression-rightOperand, ParenthesizedExpression-expression, VariableDeclarationFragment-initializer, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
SimpleName(InfixExpression-leftOperand, ForStatement-expression, ),
SimpleName(InfixExpression-rightOperand, ForStatement-expression, ),
SimpleName(PostfixExpression-operand, ForStatement-updaters, ),
"
9,for(; i < files.length && files[i].isPaused(); i++);,"for (; i < files.length && files[i].isPaused(); i++) ;
",0,0,7,,"SimpleName(InfixExpression-leftOperand, InfixExpression-leftOperand, ForStatement-expression, ),
QualifiedName(InfixExpression-rightOperand, InfixExpression-leftOperand, ForStatement-expression, ),
SimpleName(ArrayAccess-array, MethodInvocation-expression, InfixExpression-rightOperand, ForStatement-expression, ),
SimpleName(ArrayAccess-index, MethodInvocation-expression, InfixExpression-rightOperand, ForStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-rightOperand, ForStatement-expression, ),
SimpleName(PostfixExpression-operand, ForStatement-updaters, ),
EmptyStatement(ForStatement-body, ),
"
10,for (int i = 0; !done.get() && i < 1000000; i++) {,"for (int i=0; !done.get() && i < 1000000; i++) {
  editLog.logEdit(getSetOwnerOp(cache,""g""));
  if (i % 2048 == 0) {
    LOG.info(""thread["" + ii + ""] edits=""+ i);
  }
}
",0,0,8,,"PrimitiveType(VariableDeclarationExpression-type, ForStatement-initializers, ),
SimpleName(VariableDeclarationFragment-name, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
NumberLiteral(VariableDeclarationFragment-initializer, VariableDeclarationExpression-fragments, ForStatement-initializers, ),
SimpleName(MethodInvocation-expression, PrefixExpression-operand, InfixExpression-leftOperand, ForStatement-expression, ),
SimpleName(MethodInvocation-name, PrefixExpression-operand, InfixExpression-leftOperand, ForStatement-expression, ),
SimpleName(InfixExpression-leftOperand, InfixExpression-rightOperand, ForStatement-expression, ),
NumberLiteral(InfixExpression-rightOperand, InfixExpression-rightOperand, ForStatement-expression, ),
SimpleName(PostfixExpression-operand, ForStatement-updaters, ),
"
