Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/accumulo/server/base/src/main/java/org/apache/accumulo/server/replication/proto/Replication.java,915,,"      ""\006Status\022\020\n\005begin\030\001 \001(\003:\0010\022\016\n\003end\030\002 \001(\003:\001"" +"
2,./TargetProjects/accumulo/server/base/src/main/java/org/apache/accumulo/server/replication/proto/Replication.java,917,,"      ""\004 \001(\010:\005false\022\026\n\013createdTime\030\005 \001(\003:\0010B0\n,"" +"
3,./TargetProjects/accumulo-wikisearch/ingest/src/main/java/org/apache/accumulo/examples/wikisearch/protobuf/TermWeight.java,586,,"      ""\n\020TermWeight.proto\0220org.apache.accumulo."" +"
4,./TargetProjects/accumulo-wikisearch/ingest/src/main/java/org/apache/accumulo/examples/wikisearch/protobuf/Uid.java,703,,"      ""\n\tUid.proto\0220org.apache.accumulo.example"" +"
5,./TargetProjects/attic-wink/wink-providers/wink-protobuf-provider/src/test/java/com/example/tutorial/AddressBookProtos.java,1962,,"      ""\002 \002(\005\022\r\n\005email\030\003 \001(\t\022+\n\005phone\030\004 \003(\0132\034.tu"" +"
6,./TargetProjects/attic-wink/wink-providers/wink-protobuf-provider/src/test/java/com/example/tutorial/AddressBookProtos.java,1964,,"      ""\022\016\n\006number\030\001 \002(\t\022.\n\004type\030\002 \001(\0162\032.tutoria"" +"
7,./TargetProjects/attic-wink/wink-providers/wink-protobuf-provider/src/test/java/com/example/tutorial/AddressBookProtos.java,1967,,"      ""Book\022 \n\006person\030\001 \003(\0132\020.tutorial.PersonB)"" +"
8,./TargetProjects/avro/lang/java/protobuf/src/test/java/org/apache/avro/protobuf/multiplefiles/TestMultipleFiles.java,36,,"        + ""\030\017 \001(\014\022:\n\004enum\030\020 \001(\0162).org.apache.avro.p"""
9,./TargetProjects/avro/lang/java/protobuf/src/test/java/org/apache/avro/protobuf/multiplefiles/TestMultipleFiles.java,38,,"        + "" \003(\005\022=\n\010fooArray\030\024 \003(\0132+.org.apache.avro"""
10,./TargetProjects/avro/lang/java/protobuf/src/test/java/org/apache/avro/protobuf/multiplefiles/TestMultipleFiles.java,39,,"        + "".protobuf.multiplefiles.Foo\0227\n\004syms\030\023 \003("" + ""\0162).org.apache.avro.protobuf.multiplefil"""
11,./TargetProjects/avro/lang/java/protobuf/src/test/java/org/apache/avro/protobuf/multiplefiles/TestMultipleFiles.java,39,,"        + "".protobuf.multiplefiles.Foo\0227\n\004syms\030\023 \003("" + ""\0162).org.apache.avro.protobuf.multiplefil"""
12,./TargetProjects/avro/lang/java/protobuf/src/test/java/org/apache/avro/protobuf/multiplefiles/TestMultipleFiles.java,40,,"        + ""es.A\0228\n\003foo\030\022 \001(\0132+.org.apache.avro.prot"""
13,./TargetProjects/avro/lang/java/protobuf/src/test/java/org/apache/avro/protobuf/multiplefiles/TestMultipleFiles.java,40,,"        + ""es.A\0228\n\003foo\030\022 \001(\0132+.org.apache.avro.prot"""
14,./TargetProjects/avro/lang/java/protobuf/src/test/java/org/apache/avro/protobuf/multiplefiles/TestMultipleFiles.java,42,,"        + ""\0132\032.google.protobuf.Timestamp\""\017\n\001M\""\n\n\001N\022"""
15,./TargetProjects/avro/lang/java/protobuf/src/test/java/org/apache/avro/protobuf/noopt/Test.java,3897,,"        + ""ng\030\016 \001(\t\022\r\n\005bytes\030\017 \001(\014\0222\n\004enum\030\020 \001(\0162!."""
16,./TargetProjects/avro/lang/java/protobuf/src/test/java/org/apache/avro/protobuf/noopt/Test.java,3897,,"        + ""ng\030\016 \001(\t\022\r\n\005bytes\030\017 \001(\014\0222\n\004enum\030\020 \001(\0162!."""
17,./TargetProjects/avro/lang/java/protobuf/src/test/java/org/apache/avro/protobuf/noopt/Test.java,3899,,"        + ""ntArray\030\021 \003(\005\0225\n\010fooArray\030\024 \003(\0132#.org.ap"""
18,./TargetProjects/avro/lang/java/protobuf/src/test/java/org/apache/avro/protobuf/noopt/Test.java,3899,,"        + ""ntArray\030\021 \003(\005\0225\n\010fooArray\030\024 \003(\0132#.org.ap"""
19,./TargetProjects/avro/lang/java/protobuf/src/test/java/org/apache/avro/protobuf/noopt/Test.java,3900,,"        + ""ache.avro.protobuf.noopt.Foo\022/\n\004syms\030\023 \003"" + ""(\0162!.org.apache.avro.protobuf.noopt.A\0220\n"""
20,./TargetProjects/avro/lang/java/protobuf/src/test/java/org/apache/avro/protobuf/noopt/Test.java,3900,,"        + ""ache.avro.protobuf.noopt.Foo\022/\n\004syms\030\023 \003"" + ""(\0162!.org.apache.avro.protobuf.noopt.A\0220\n"""
21,./TargetProjects/avro/lang/java/protobuf/src/test/java/org/apache/avro/protobuf/noopt/Test.java,3901,,"        + ""\003foo\030\022 \001(\0132#.org.apache.avro.protobuf.no"""
22,./TargetProjects/avro/lang/java/protobuf/src/test/java/org/apache/avro/protobuf/noopt/Test.java,3902,,"        + ""opt.Foo\022-\n\ttimestamp\030\025 \001(\0132\032.google.prot"""
