Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/ace/org.apache.ace.client.workspace/src/org/apache/ace/client/workspace/impl/WorkspaceImpl.java,824,,"        if (cardinality != null && ""N"".equals(cardinality.toUpperCase())) {"
2,./TargetProjects/activemq-apollo/apollo-util/src/main/scala/org/apache/activemq/apollo/util/BooleanEditor.java,32,,"        if (text.toLowerCase().equals(""true"")) {"
3,./TargetProjects/activemq-apollo/apollo-util/src/main/scala/org/apache/activemq/apollo/util/BooleanEditor.java,34,,"        } else if (text.toLowerCase().equals(""false"")) {"
4,./TargetProjects/activemq-artemis/artemis-rest/src/main/java/org/apache/activemq/artemis/rest/util/HttpMessageHelper.java,41,,"      return lowerKey.toLowerCase().startsWith(""content"") || lowerKey.toLowerCase().equals(""link"");"
5,./TargetProjects/activemq-artemis/artemis-server/src/main/java/org/apache/activemq/artemis/core/config/storage/DatabaseStorageConfiguration.java,221,,"      if (value.toLowerCase().equals(""true"") || value.toLowerCase().equals(""false"")) {"
6,./TargetProjects/activemq-artemis/artemis-server/src/main/java/org/apache/activemq/artemis/core/config/storage/DatabaseStorageConfiguration.java,221,,"      if (value.toLowerCase().equals(""true"") || value.toLowerCase().equals(""false"")) {"
7,./TargetProjects/activemq-artemis/artemis-server/src/main/java/org/apache/activemq/artemis/core/management/impl/ActiveMQServerControlImpl.java,1446,,"            if (routingType != null && routingType.length() > 1 && queueControl.getRoutingType().equals(routingType.toUpperCase())) {"
8,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/client/InfiniteRedeliveryTest.java,152,,"      if (protocol.toUpperCase().equals(""OPENWIRE"")) {"
9,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/util/CFUtil.java,27,,"      if (protocol.toUpperCase().equals(""OPENWIRE"")) {"
10,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/util/CFUtil.java,29,,"      } else if (protocol.toUpperCase().equals(""AMQP"")) {"
11,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/util/CFUtil.java,36,,"      } else if (protocol.toUpperCase().equals(""CORE"") || protocol.toUpperCase().equals(""ARTEMIS"")) {"
12,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/util/CFUtil.java,36,,"      } else if (protocol.toUpperCase().equals(""CORE"") || protocol.toUpperCase().equals(""ARTEMIS"")) {"
13,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/bridgeTransfer/BridgeTransferingTest.java,78,,"      if (protocol.toUpperCase().equals(""OPENWIRE"")) {"
14,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/bridgeTransfer/BridgeTransferingTest.java,80,,"      } else if (protocol.toUpperCase().equals(""AMQP"")) {"
15,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/bridgeTransfer/BridgeTransferingTest.java,87,,"      } else if (protocol.toUpperCase().equals(""CORE"") || protocol.toUpperCase().equals(""ARTEMIS"")) {"
