Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/abdera/extensions/sharing/src/main/java/org/apache/abdera/ext/sharing/SharingHelper.java,172,,"            if (h2by != null && h1by.equals(h2by) && h2.getSequence() >= h1.getSequence())"
2,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/util/Validator.java,66,,"    if (lastValidatedSnapshot != null && Objects.equals(argument, lastValidatedSnapshot))"
3,./TargetProjects/accumulo/server/base/src/main/java/org/apache/accumulo/server/data/ServerMutation.java,90,,"        && systemTime == ((ServerMutation) o).systemTime && super.equals(o));"
4,./TargetProjects/accumulo/server/tserver/src/main/java/org/apache/accumulo/tserver/logger/LogReader.java,192,,"          if (row != null && new Text(m.getRow()).equals(row)) {"
5,./TargetProjects/ace/org.apache.ace.agent/src/org/apache/ace/agent/impl/DefaultController.java,359,,"                if (m_lastVersionTried != null && toVersion.equals(m_lastVersionTried)) {"
6,./TargetProjects/activemq/activemq-client/src/main/java/org/apache/activemq/command/ActiveMQMessage.java,95,,"        return thisMsg != null && oMsg != null && oMsg.equals(thisMsg);"
7,./TargetProjects/activemq/activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/disk/index/BTreeNode.java,115,,"                        if (endKey != null && current.keys[nextIndex].equals(endKey)) {"
8,./TargetProjects/activemq-apollo/apollo-openwire/src/main/scala/org/apache/activemq/apollo/openwire/command/ActiveMQMessage.java,72,,"        return thisMsg != null && oMsg != null && oMsg.equals(thisMsg);"
9,./TargetProjects/activemq-artemis/artemis-core-client/src/main/java/org/apache/activemq/artemis/utils/SoftValueLongObjectHashMap.java,111,,"         if (valueElement != null && value.equals(valueElement)) {"
10,./TargetProjects/activemq-artemis/tests/unit-tests/src/test/java/org/apache/activemq/artemis/tests/unit/core/server/impl/fakes/FakeFilter.java,50,,"         if (value != null && headerValue.equals(value)) {"
11,./TargetProjects/activemq-openwire/openwire-core/src/main/java/org/apache/activemq/openwire/commands/OpenWireMessage.java,96,,"        return thisMsg != null && oMsg != null && oMsg.equals(thisMsg);"
12,./TargetProjects/ambari/ambari-server/src/main/java/org/apache/ambari/server/controller/internal/RequestResourceProvider.java,759,,"          (null != clusterId && null != re.getRequestId() && re.getClusterId().equals(clusterId))) { // if cluster IS requested and the request has a cluster id equal to the one requested"
13,./TargetProjects/archiva/archiva-modules/archiva-base/archiva-storage-fs/src/main/java/org/apache/archiva/repository/storage/fs/FilesystemAsset.java,433,,"        if (basePath!=null && assetPath.equals(basePath)) {"
14,./TargetProjects/archiva/archiva-modules/archiva-base/archiva-storage-fs/src/main/java/org/apache/archiva/repository/storage/fs/FilesystemAsset.java,443,,"        if (basePath!=null && assetPath.equals( basePath )) {"
