Pattern ID,Pattern,Context,"# of Eq list","# of Frq",complexity,Num of Warnings in Method,NCL
1,device = (nextArtificalDeviceAndInode++ >> 18) & 0777777;,"device=(nextArtificalDeviceAndInode++ >> 18) & 0777777;
",0,22,4,3928,"SimpleName(Assignment-leftHandSide, ExpressionStatement-expression, ),
SimpleName(PostfixExpression-operand, InfixExpression-leftOperand, ParenthesizedExpression-expression, InfixExpression-leftOperand, Assignment-rightHandSide, ExpressionStatement-expression, ),
NumberLiteral(InfixExpression-rightOperand, ParenthesizedExpression-expression, InfixExpression-leftOperand, Assignment-rightHandSide, ExpressionStatement-expression, ),
NumberLiteral(InfixExpression-rightOperand, Assignment-rightHandSide, ExpressionStatement-expression, ),
"
2,"Future<Integer> chmod = CommonTasksSupport.chmod(execEnv, privpCmd, 0755, null);","Future<Integer> chmod=CommonTasksSupport.chmod(execEnv,privpCmd,0755,null);
",0,1,9,,"SimpleName(SimpleType-name, ParameterizedType-type, VariableDeclarationStatement-type, ),
SimpleName(SimpleType-name, ParameterizedType-typeArguments, VariableDeclarationStatement-type, ),
SimpleName(VariableDeclarationFragment-name, VariableDeclarationStatement-fragments, ),
SimpleName(MethodInvocation-expression, VariableDeclarationFragment-initializer, VariableDeclarationStatement-fragments, ),
SimpleName(MethodInvocation-name, VariableDeclarationFragment-initializer, VariableDeclarationStatement-fragments, ),
SimpleName(MethodInvocation-arguments, VariableDeclarationFragment-initializer, VariableDeclarationStatement-fragments, ),
SimpleName(MethodInvocation-arguments, VariableDeclarationFragment-initializer, VariableDeclarationStatement-fragments, ),
NumberLiteral(MethodInvocation-arguments, VariableDeclarationFragment-initializer, VariableDeclarationStatement-fragments, ),
NullLiteral(MethodInvocation-arguments, VariableDeclarationFragment-initializer, VariableDeclarationStatement-fragments, ),
"
3,"FileSystem.mkdirs(fs, new Path(whDir), new FsPermission((short) 0777));","FileSystem.mkdirs(fs,new Path(whDir),new FsPermission((short)0777));
",0,287,8,,"SimpleName(MethodInvocation-expression, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-name, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-arguments, ExpressionStatement-expression, ),
SimpleName(SimpleType-name, ClassInstanceCreation-type, MethodInvocation-arguments, ExpressionStatement-expression, ),
SimpleName(ClassInstanceCreation-arguments, MethodInvocation-arguments, ExpressionStatement-expression, ),
SimpleName(SimpleType-name, ClassInstanceCreation-type, MethodInvocation-arguments, ExpressionStatement-expression, ),
PrimitiveType(CastExpression-type, ClassInstanceCreation-arguments, MethodInvocation-arguments, ExpressionStatement-expression, ),
NumberLiteral(CastExpression-expression, ClassInstanceCreation-arguments, MethodInvocation-arguments, ExpressionStatement-expression, ),
"
4,"Transferable.of(setupUsersScript.getBytes(StandardCharsets.UTF_8), 0775),","copyFileToContainer(Transferable.of(setupUsersScript.getBytes(StandardCharsets.UTF_8),0775),""/setup-users.sh"");
",0,0,6,,"SimpleName(MethodInvocation-expression, ),
SimpleName(MethodInvocation-name, ),
SimpleName(MethodInvocation-expression, MethodInvocation-arguments, ),
SimpleName(MethodInvocation-name, MethodInvocation-arguments, ),
QualifiedName(MethodInvocation-arguments, MethodInvocation-arguments, ),
NumberLiteral(MethodInvocation-arguments, ),
"
5,this.mode = mode & 07777;,"this.mode=mode & 07777;
",0,0,4,,"ThisExpression(FieldAccess-expression, Assignment-leftHandSide, ExpressionStatement-expression, ),
SimpleName(FieldAccess-name, Assignment-leftHandSide, ExpressionStatement-expression, ),
SimpleName(InfixExpression-leftOperand, Assignment-rightHandSide, ExpressionStatement-expression, ),
NumberLiteral(InfixExpression-rightOperand, Assignment-rightHandSide, ExpressionStatement-expression, ),
"
6,final int newPermission = 0777 ^ umask;,"final int newPermission=0777 ^ umask;
",0,11,5,,"Modifier(VariableDeclarationStatement-modifiers, ),
PrimitiveType(VariableDeclarationStatement-type, ),
SimpleName(VariableDeclarationFragment-name, VariableDeclarationStatement-fragments, ),
NumberLiteral(InfixExpression-leftOperand, VariableDeclarationFragment-initializer, VariableDeclarationStatement-fragments, ),
SimpleName(InfixExpression-rightOperand, VariableDeclarationFragment-initializer, VariableDeclarationStatement-fragments, ),
"
7,"test(String.format(""ALTER SESSION SET `%s`='%o';"", ExecConstants.NEW_VIEW_DEFAULT_PERMS_KEY, (short) 0750));","test(String.format(""ALTER SESSION SET `%s`='%o';"",ExecConstants.NEW_VIEW_DEFAULT_PERMS_KEY,(short)0750));
",0,6,7,,"SimpleName(MethodInvocation-name, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-expression, MethodInvocation-arguments, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-name, MethodInvocation-arguments, ExpressionStatement-expression, ),
StringLiteral(MethodInvocation-arguments, MethodInvocation-arguments, ExpressionStatement-expression, ),
QualifiedName(MethodInvocation-arguments, MethodInvocation-arguments, ExpressionStatement-expression, ),
PrimitiveType(CastExpression-type, MethodInvocation-arguments, MethodInvocation-arguments, ExpressionStatement-expression, ),
NumberLiteral(CastExpression-expression, MethodInvocation-arguments, MethodInvocation-arguments, ExpressionStatement-expression, ),
"
8,"assertEquals((short) 0775, list[0].getPermission().toShort());","assertEquals((short)0775,list[0].getPermission().toShort());
",0,13,7,,"SimpleName(MethodInvocation-name, ExpressionStatement-expression, ),
PrimitiveType(CastExpression-type, MethodInvocation-arguments, ExpressionStatement-expression, ),
NumberLiteral(CastExpression-expression, MethodInvocation-arguments, ExpressionStatement-expression, ),
SimpleName(ArrayAccess-array, MethodInvocation-expression, MethodInvocation-expression, MethodInvocation-arguments, ExpressionStatement-expression, ),
NumberLiteral(ArrayAccess-index, MethodInvocation-expression, MethodInvocation-expression, MethodInvocation-arguments, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-name, MethodInvocation-expression, MethodInvocation-arguments, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-name, MethodInvocation-arguments, ExpressionStatement-expression, ),
"
9,"assertEquals(0355, toUnixMode(Files.getPosixFilePermissions(path)));","assertEquals(0355,toUnixMode(Files.getPosixFilePermissions(path)));
",0,0,6,,"SimpleName(MethodInvocation-name, ExpressionStatement-expression, ),
NumberLiteral(MethodInvocation-arguments, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-name, MethodInvocation-arguments, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-expression, MethodInvocation-arguments, MethodInvocation-arguments, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-name, MethodInvocation-arguments, MethodInvocation-arguments, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-arguments, MethodInvocation-arguments, MethodInvocation-arguments, ExpressionStatement-expression, ),
"
10,this((short)(mode & 01777));,"this((short)(mode & 01777));
",0,0,3,,"PrimitiveType(CastExpression-type, ConstructorInvocation-arguments, ),
SimpleName(InfixExpression-leftOperand, ParenthesizedExpression-expression, CastExpression-expression, ConstructorInvocation-arguments, ),
NumberLiteral(InfixExpression-rightOperand, ParenthesizedExpression-expression, CastExpression-expression, ConstructorInvocation-arguments, ),
"
11,"return this.fs.exists(storePath) || this.fs.mkdirs(storePath, new FsPermission((short) 0755));","return this.fs.exists(storePath) || this.fs.mkdirs(storePath,new FsPermission((short)0755));
",0,4,11,,"ThisExpression(FieldAccess-expression, MethodInvocation-expression, InfixExpression-leftOperand, ReturnStatement-expression, ),
SimpleName(FieldAccess-name, MethodInvocation-expression, InfixExpression-leftOperand, ReturnStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-leftOperand, ReturnStatement-expression, ),
SimpleName(MethodInvocation-arguments, InfixExpression-leftOperand, ReturnStatement-expression, ),
ThisExpression(FieldAccess-expression, MethodInvocation-expression, InfixExpression-rightOperand, ReturnStatement-expression, ),
SimpleName(FieldAccess-name, MethodInvocation-expression, InfixExpression-rightOperand, ReturnStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-rightOperand, ReturnStatement-expression, ),
SimpleName(MethodInvocation-arguments, InfixExpression-rightOperand, ReturnStatement-expression, ),
SimpleName(SimpleType-name, ClassInstanceCreation-type, MethodInvocation-arguments, InfixExpression-rightOperand, ReturnStatement-expression, ),
PrimitiveType(CastExpression-type, ClassInstanceCreation-arguments, MethodInvocation-arguments, InfixExpression-rightOperand, ReturnStatement-expression, ),
NumberLiteral(CastExpression-expression, ClassInstanceCreation-arguments, MethodInvocation-arguments, InfixExpression-rightOperand, ReturnStatement-expression, ),
"
12,FsPermission PERMISSION_555 = new FsPermission((short) 0555);,"FsPermission PERMISSION_555=new FsPermission((short)0555);
",0,0,5,,"SimpleName(SimpleType-name, FieldDeclaration-type, ),
SimpleName(VariableDeclarationFragment-name, FieldDeclaration-fragments, ),
SimpleName(SimpleType-name, ClassInstanceCreation-type, VariableDeclarationFragment-initializer, FieldDeclaration-fragments, ),
PrimitiveType(CastExpression-type, ClassInstanceCreation-arguments, VariableDeclarationFragment-initializer, FieldDeclaration-fragments, ),
NumberLiteral(CastExpression-expression, ClassInstanceCreation-arguments, VariableDeclarationFragment-initializer, FieldDeclaration-fragments, ),
"
13,"12345678L, 87654321L, FsPermission.createImmutable((short)0111),","FileStatus stat=new FileStatus(1024L,false,3,1L << 31,12345678L,87654321L,FsPermission.createImmutable((short)0111),""hadoop"",""unqbbc"",null,p);
",0,0,6,,"NumberLiteral(),
NumberLiteral(),
SimpleName(MethodInvocation-expression, ),
SimpleName(MethodInvocation-name, ),
PrimitiveType(CastExpression-type, MethodInvocation-arguments, ),
NumberLiteral(CastExpression-expression, MethodInvocation-arguments, ),
"
14,"new File(TEST_DIR, ""doesntexist"").getAbsolutePath(), O_WRONLY, 0700);","FileDescriptor fd=NativeIO.POSIX.open(new File(TEST_DIR,""doesntexist"").getAbsolutePath(),O_WRONLY,0700);
",0,0,6,,"SimpleName(SimpleType-name, ClassInstanceCreation-type, MethodInvocation-expression, ),
SimpleName(ClassInstanceCreation-arguments, MethodInvocation-expression, ),
StringLiteral(ClassInstanceCreation-arguments, MethodInvocation-expression, ),
SimpleName(MethodInvocation-name, ),
SimpleName(),
NumberLiteral(),
"
15,"O_WRONLY | O_CREAT | O_EXCL, 0700);","fd=NativeIO.POSIX.open(new File(TEST_DIR,""testWorkingOpen"").getAbsolutePath(),O_WRONLY | O_CREAT | O_EXCL,0700);
",0,0,4,,"SimpleName(InfixExpression-leftOperand, ),
SimpleName(InfixExpression-rightOperand, ),
SimpleName(InfixExpression-extendedOperands, ),
NumberLiteral(),
"
16,"this(DOMAIN, DOMAIN.parse(str), (short)0, (short)01777);","this(DOMAIN,DOMAIN.parse(str),(short)0,(short)01777);
",0,0,8,,"SimpleName(ConstructorInvocation-arguments, ),
SimpleName(MethodInvocation-expression, ConstructorInvocation-arguments, ),
SimpleName(MethodInvocation-name, ConstructorInvocation-arguments, ),
SimpleName(MethodInvocation-arguments, ConstructorInvocation-arguments, ),
PrimitiveType(CastExpression-type, ConstructorInvocation-arguments, ),
NumberLiteral(CastExpression-expression, ConstructorInvocation-arguments, ),
PrimitiveType(CastExpression-type, ConstructorInvocation-arguments, ),
NumberLiteral(CastExpression-expression, ConstructorInvocation-arguments, ),
"
17,"cluster.getFileSystem().setPermission(root, new FsPermission((short)0777));","cluster.getFileSystem().setPermission(root,new FsPermission((short)0777));
",0,0,7,,"SimpleName(MethodInvocation-expression, MethodInvocation-expression, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-name, MethodInvocation-expression, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-name, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-arguments, ExpressionStatement-expression, ),
SimpleName(SimpleType-name, ClassInstanceCreation-type, MethodInvocation-arguments, ExpressionStatement-expression, ),
PrimitiveType(CastExpression-type, ClassInstanceCreation-arguments, MethodInvocation-arguments, ExpressionStatement-expression, ),
NumberLiteral(CastExpression-expression, ClassInstanceCreation-arguments, MethodInvocation-arguments, ExpressionStatement-expression, ),
"
18,"Assert.assertEquals(""Permissions"", new FsPermission(0644), perm);","Assert.assertEquals(""Permissions"",new FsPermission(0644),perm);
",0,0,6,,"SimpleName(MethodInvocation-expression, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-name, ExpressionStatement-expression, ),
StringLiteral(MethodInvocation-arguments, ExpressionStatement-expression, ),
SimpleName(SimpleType-name, ClassInstanceCreation-type, MethodInvocation-arguments, ExpressionStatement-expression, ),
NumberLiteral(ClassInstanceCreation-arguments, MethodInvocation-arguments, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-arguments, ExpressionStatement-expression, ),
"
19,FsPermission inheritPerm = FsPermission.createImmutable((short)(rootPerm.toShort() | 0300));,"FsPermission inheritPerm=FsPermission.createImmutable((short)(rootPerm.toShort() | 0300));
",0,0,8,,"SimpleName(SimpleType-name, VariableDeclarationStatement-type, ),
SimpleName(VariableDeclarationFragment-name, VariableDeclarationStatement-fragments, ),
SimpleName(MethodInvocation-expression, VariableDeclarationFragment-initializer, VariableDeclarationStatement-fragments, ),
SimpleName(MethodInvocation-name, VariableDeclarationFragment-initializer, VariableDeclarationStatement-fragments, ),
PrimitiveType(CastExpression-type, MethodInvocation-arguments, VariableDeclarationFragment-initializer, VariableDeclarationStatement-fragments, ),
SimpleName(MethodInvocation-expression, InfixExpression-leftOperand, ParenthesizedExpression-expression, CastExpression-expression, MethodInvocation-arguments, VariableDeclarationFragment-initializer, VariableDeclarationStatement-fragments, ),
SimpleName(MethodInvocation-name, InfixExpression-leftOperand, ParenthesizedExpression-expression, CastExpression-expression, MethodInvocation-arguments, VariableDeclarationFragment-initializer, VariableDeclarationStatement-fragments, ),
NumberLiteral(InfixExpression-rightOperand, ParenthesizedExpression-expression, CastExpression-expression, MethodInvocation-arguments, VariableDeclarationFragment-initializer, VariableDeclarationStatement-fragments, ),
"
20,"NativeIO.POSIX.O_WRONLY | NativeIO.POSIX.O_CREAT | NativeIO.POSIX.O_EXCL, 0700);","fd=NativeIO.POSIX.open(new File(TEST_DIR,""testWorkingOpen"").getAbsolutePath(),NativeIO.POSIX.O_WRONLY | NativeIO.POSIX.O_CREAT | NativeIO.POSIX.O_EXCL,0700);
",0,2,4,,"QualifiedName(InfixExpression-leftOperand, ),
QualifiedName(InfixExpression-rightOperand, ),
QualifiedName(InfixExpression-extendedOperands, ),
NumberLiteral(),
"
21,new FsAclPermission(FsPermission.createImmutable((short)0755)));,"fs.setPermission(path,new FsAclPermission(FsPermission.createImmutable((short)0755)));
",0,0,5,,"SimpleName(SimpleType-name, ClassInstanceCreation-type, ),
SimpleName(MethodInvocation-expression, ClassInstanceCreation-arguments, ),
SimpleName(MethodInvocation-name, ClassInstanceCreation-arguments, ),
PrimitiveType(CastExpression-type, MethodInvocation-arguments, ClassInstanceCreation-arguments, ),
NumberLiteral(CastExpression-expression, MethodInvocation-arguments, ClassInstanceCreation-arguments, ),
"
22,"now, now + 10, new FsPermission((short) 0644), ""user"", ""group"",","final HdfsFileStatus status=new HdfsFileStatus(1001L,false,3,1L << 26,now,now + 10,new FsPermission((short)0644),""user"",""group"",DFSUtil.string2Bytes(""bar""),DFSUtil.string2Bytes(""foo""),INodeId.GRANDFATHER_INODE_ID,0,null);
",0,0,8,,"SimpleName(),
SimpleName(InfixExpression-leftOperand, ),
NumberLiteral(InfixExpression-rightOperand, ),
SimpleName(SimpleType-name, ClassInstanceCreation-type, ),
PrimitiveType(CastExpression-type, ClassInstanceCreation-arguments, ),
NumberLiteral(CastExpression-expression, ClassInstanceCreation-arguments, ),
StringLiteral(),
StringLiteral(),
"
