Pattern ID,Pattern,Context,"# of Eq list","# of Frq",complexity,Num of Warnings in Method,NCL
1,} finally {,"try {
  CompositeCache compositeCache=new CompositeCache(summaryCache,indexCache);
  CachableBuilder cb=new CachableBuilder().fsPath(fs,file).conf(conf).fileLen(fileLenCache).cacheProvider(new BasicCacheProvider(compositeCache,null)).cryptoService(cryptoService);
  bcReader=new CachableBlockFile.Reader(cb);
  return load(bcReader,summarySelector,factory);
}
 catch (FileNotFoundException fne) {
  return getEmptyReader(factory);
}
catch (IOException e) {
  try {
    if (!fs.exists(file)) {
      return getEmptyReader(factory);
    }
  }
 catch (  IOException e1) {
  }
  throw new UncheckedIOException(e);
}
 finally {
  if (bcReader != null) {
    try {
      bcReader.close();
    }
 catch (    IOException e) {
      throw new UncheckedIOException(e);
    }
  }
}
",0,0,0,829,
2,} finally {,"try {
  for (  TabletFile file : inFiles) {
    ns=context.getVolumeManager().getFileSystemByPath(file.getPath());
    reader=FileOperations.getInstance().newIndexReaderBuilder().forFile(file.getPathStr(),ns,ns.getConf(),context.getCryptoService()).withTableConfiguration(acuConf).build();
    iters.add(reader);
  }
  MultiIterator mmfi=new MultiIterator(iters,true);
  while (mmfi.hasTop()) {
    Key key=mmfi.getTopKey();
    boolean gtPrevEndRow=prevEndRow == null || key.compareRow(prevEndRow) > 0;
    boolean lteEndRow=endRow == null || key.compareRow(endRow) <= 0;
    if (gtPrevEndRow && lteEndRow)     writer.append(key,new Value());
    if (!lteEndRow)     break;
    mmfi.next();
  }
}
  finally {
  try {
    if (reader != null)     reader.close();
  }
 catch (  IOException e) {
    log.error(""{}"",e.getMessage(),e);
  }
  for (  SortedKeyValueIterator<Key,Value> r : iters)   try {
    if (r != null)     ((FileSKVIterator)r).close();
  }
 catch (  IOException e) {
    log.error(""{}"",e.getMessage(),e);
  }
  try {
    writer.close();
  }
 catch (  IOException e) {
    log.error(""{}"",e.getMessage(),e);
    throw e;
  }
}
",0,0,0,,
3,} finally {,"try {
  while (retry) {
    ManagerClientService.Iface client=null;
    try {
      client=ManagerClient.getConnection(context);
      if (client != null) {
        mmi=client.getManagerStats(TraceUtil.traceInfo(),context.rpcCreds());
        retry=false;
      }
 else {
        mmi=null;
        log.error(""Unable to get info from Manager"");
      }
      gcStatus=fetchGcStatus();
    }
 catch (    Exception e) {
      mmi=null;
      log.info(""Error fetching stats: "",e);
    }
 finally {
      if (client != null) {
        ManagerClient.close(client);
      }
    }
    if (mmi == null) {
      sleepUninterruptibly(1,TimeUnit.SECONDS);
    }
  }
  if (mmi != null) {
    int majorCompactions=0;
    int minorCompactions=0;
    lookupRateTracker.startingUpdates();
    indexCacheHitTracker.startingUpdates();
    indexCacheRequestTracker.startingUpdates();
    dataCacheHitTracker.startingUpdates();
    dataCacheRequestTracker.startingUpdates();
    for (    TabletServerStatus server : mmi.tServerInfo) {
      TableInfo summary=TableInfoUtil.summarizeTableStats(server);
      totalIngestRate+=summary.ingestRate;
      totalIngestByteRate+=summary.ingestByteRate;
      totalQueryRate+=summary.queryRate;
      totalScanRate+=summary.scanRate;
      totalQueryByteRate+=summary.queryByteRate;
      totalEntries+=summary.recs;
      totalHoldTime+=server.holdTime;
      totalLookups+=server.lookups;
      majorCompactions+=summary.majors.running;
      minorCompactions+=summary.minors.running;
      lookupRateTracker.updateTabletServer(server.name,server.lastContact,server.lookups);
      indexCacheHitTracker.updateTabletServer(server.name,server.lastContact,server.indexCacheHits);
      indexCacheRequestTracker.updateTabletServer(server.name,server.lastContact,server.indexCacheRequest);
      dataCacheHitTracker.updateTabletServer(server.name,server.lastContact,server.dataCacheHits);
      dataCacheRequestTracker.updateTabletServer(server.name,server.lastContact,server.dataCacheRequest);
    }
    lookupRateTracker.finishedUpdating();
    indexCacheHitTracker.finishedUpdating();
    indexCacheRequestTracker.finishedUpdating();
    dataCacheHitTracker.finishedUpdating();
    dataCacheRequestTracker.finishedUpdating();
    int totalTables=0;
    for (    TableInfo tInfo : mmi.tableMap.values()) {
      totalTabletCount+=tInfo.tablets;
      totalTables++;
    }
    this.totalIngestRate=totalIngestRate;
    this.totalTables=totalTables;
    totalIngestByteRate=totalIngestByteRate / 1000000.0;
    this.totalQueryRate=totalQueryRate;
    this.totalScanRate=totalScanRate;
    totalQueryByteRate=totalQueryByteRate / 1000000.0;
    this.totalEntries=totalEntries;
    this.totalTabletCount=totalTabletCount;
    this.totalHoldTime=totalHoldTime;
    this.totalLookups=totalLookups;
    ingestRateOverTime.add(new Pair<>(currentTime,totalIngestRate));
    ingestByteRateOverTime.add(new Pair<>(currentTime,totalIngestByteRate));
    double totalLoad=0.;
    for (    TabletServerStatus status : mmi.tServerInfo) {
      if (status != null) {
        totalLoad+=status.osLoad;
      }
    }
    loadOverTime.add(new Pair<>(currentTime,totalLoad));
    minorCompactionsOverTime.add(new Pair<>(currentTime,minorCompactions));
    majorCompactionsOverTime.add(new Pair<>(currentTime,majorCompactions));
    lookupsOverTime.add(new Pair<>(currentTime,lookupRateTracker.calculateRate()));
    queryRateOverTime.add(new Pair<>(currentTime,(long)totalQueryRate));
    queryByteRateOverTime.add(new Pair<>(currentTime,totalQueryByteRate));
    scanRateOverTime.add(new Pair<>(currentTime,(long)totalScanRate));
    calcCacheHitRate(indexCacheHitRateOverTime,currentTime,indexCacheHitTracker,indexCacheRequestTracker);
    calcCacheHitRate(dataCacheHitRateOverTime,currentTime,dataCacheHitTracker,dataCacheRequestTracker);
  }
  try {
    this.problemSummary=ProblemReports.getInstance(context).summarize();
    this.problemException=null;
  }
 catch (  Exception e) {
    log.info(""Failed to obtain problem reports "",e);
    this.problemSummary=Collections.emptyMap();
    this.problemException=e;
  }
}
  finally {
  lastRecalc.set(currentTime);
  if (!fetching.compareAndSet(true,false)) {
    throw new AssertionError(""Not supposed to happen; somebody broke this code"");
  }
}
",0,0,0,,
4,} finally {,"try {
  for (  ByteBuffer edit : data.getEdits()) {
    DataInputStream dis=new DataInputStream(ByteBufferUtil.toByteArrayInputStream(edit));
    try {
      key.readFields(dis);
      value.readFields(dis);
    }
 catch (    IOException e) {
      log.error(""Could not deserialize edit from stream"",e);
      throw new RemoteReplicationException(RemoteReplicationErrorCode.COULD_NOT_DESERIALIZE,""Could not deserialize edit from stream"");
    }
    if (bw == null) {
      BatchWriterConfig bwConfig=new BatchWriterConfig();
      bwConfig.setMaxMemory(memoryInBytes);
      try {
        bw=context.createBatchWriter(tableName,bwConfig);
      }
 catch (      TableNotFoundException e) {
        throw new RemoteReplicationException(RemoteReplicationErrorCode.TABLE_DOES_NOT_EXIST,""Table "" + tableName + "" does not exist"");
      }
    }
    log.info(""Applying {} mutations to table {} as part of batch"",value.mutations.size(),tableName);
    List<Mutation> mutationsCopy=new ArrayList<>(value.mutations.size());
    long mutationsCopied=0L;
    for (    Mutation orig : value.mutations) {
      if (orig instanceof ServerMutation) {
        mutationsCopied++;
        ServerMutation origServer=(ServerMutation)orig;
        Mutation copy=new Mutation(orig.getRow());
        for (        ColumnUpdate update : orig.getUpdates()) {
          long timestamp;
          if (update.hasTimestamp()) {
            timestamp=update.getTimestamp();
          }
 else {
            timestamp=origServer.getSystemTimestamp();
          }
          if (update.isDeleted()) {
            copy.putDelete(update.getColumnFamily(),update.getColumnQualifier(),new ColumnVisibility(update.getColumnVisibility()),timestamp);
          }
 else {
            copy.put(update.getColumnFamily(),update.getColumnQualifier(),new ColumnVisibility(update.getColumnVisibility()),timestamp,update.getValue());
          }
        }
        Set<String> replicationSources=orig.getReplicationSources();
        if (replicationSources != null && !replicationSources.isEmpty()) {
          for (          String replicationSource : replicationSources) {
            copy.addReplicationSource(replicationSource);
          }
        }
        mutationsCopy.add(copy);
      }
 else {
        mutationsCopy.add(orig);
      }
    }
    log.debug(""Copied {} mutations to ensure server-assigned timestamps are propagated"",mutationsCopied);
    try {
      bw.addMutations(mutationsCopy);
    }
 catch (    MutationsRejectedException e) {
      log.error(""Could not apply mutations to {}"",tableName);
      throw new RemoteReplicationException(RemoteReplicationErrorCode.COULD_NOT_APPLY,""Could not apply mutations to "" + tableName);
    }
    log.debug(""{} mutations added to the BatchScanner"",mutationsCopy.size());
    mutationsApplied+=mutationsCopy.size();
  }
}
  finally {
  if (bw != null) {
    try {
      bw.close();
    }
 catch (    MutationsRejectedException e) {
      log.error(""Could not apply mutations to {}"",tableName);
      throw new RemoteReplicationException(RemoteReplicationErrorCode.COULD_NOT_APPLY,""Could not apply mutations to "" + tableName);
    }
  }
}
",0,0,0,,
5,} finally {,"try {
  tabletServer.updateBulkImportState(files,BulkImportState.LOADING);
  var storedTabletFile=getDatafileManager().importMapFiles(tid,entries,setTime);
  lastMapFileImportTime=System.currentTimeMillis();
  if (needsSplit()) {
    getTabletServer().executeSplit(this);
  }
 else {
    compactable.filesAdded(false,storedTabletFile);
  }
}
  finally {
synchronized (this) {
    decrementWritesInProgress();
    if (!bulkImporting.removeAll(fileMap.keySet())) {
      throw new AssertionError(""Likely bug in code, always expect to remove something.  Please open an Accumulo issue."");
    }
    try {
      bulkImported.computeIfAbsent(tid,k -> new ArrayList<>()).addAll(fileMap.keySet());
    }
 catch (    Exception ex) {
      log.info(ex.toString(),ex);
    }
    tabletServer.removeBulkImportState(files);
  }
}
",0,0,0,,
6,} finally {,"try {
  deletingMemTable.delete(15000);
}
  finally {
synchronized (tablet) {
    if (otherMemTable != null) {
      throw new IllegalStateException();
    }
    if (deletingMemTable == null) {
      throw new IllegalStateException();
    }
    deletingMemTable=null;
    tablet.updateMemoryUsageStats(memTable.estimatedSizeInBytes(),0);
  }
}
",0,0,0,,
7,} finally {,"try {
  return super.startCoordinatorClientService();
}
  finally {
  try {
    metricServer=startHttpMetricServer();
  }
 catch (  Exception e1) {
    throw new RuntimeException(""Failed to start metric http server"",e1);
  }
}
",0,0,0,,
8,} finally {,"try {
  JAXBContext ctx=JAXBContext.newInstance(Results.class);
  Marshaller m=ctx.createMarshaller();
  m.marshal(results,xml);
  StringReader reader=new StringReader(xml.toString());
  TransformerFactory tf=TransformerFactory.newInstance();
  Templates xsl=tf.newTemplates(new StreamSource(xslContent));
  Transformer t=xsl.newTransformer();
  t.transform(new StreamSource(reader),new StreamResult(html));
}
 catch (Exception e) {
  throw new EJBException(""Error processing query results"",e);
}
 finally {
  try {
    xslContent.close();
  }
 catch (  IOException e) {
    throw new EJBException(""Unable to close input stream"",e);
  }
}
",0,0,0,,
9,finally {,"try {
  file=FileUtils.createTempFile(null);
  fileOut=new FileOutputStream(file);
  byte[] byteArray=new byte[12345];
  Random randomContentCreator=new Random();
  randomContentCreator.nextBytes(byteArray);
  fileOut.write(byteArray);
  return file;
}
  finally {
  try {
    if (fileOut != null) {
      fileOut.close();
    }
  }
 catch (  IOException e) {
    throw e;
  }
}
",0,0,0,,
10,finally {,"try {
  fileOut=new FileOutputStream(file);
  byte[] byteArray=new byte[size];
  Random randomContentCreator=new Random();
  randomContentCreator.nextBytes(byteArray);
  fileOut.write(byteArray);
  return file;
}
  finally {
  try {
    if (fileOut != null) {
      fileOut.close();
    }
  }
 catch (  IOException e) {
    throw e;
  }
}
",0,0,0,,
