Pattern ID,Pattern,Context,"# of Eq list","# of Frq",complexity,Num of Warnings in Method,NCL
1,if (_customProcessProperties != null && _customProcessProperties.get(QName.valueOf(varName)) != null) {,"if (_customProcessProperties != null && _customProcessProperties.get(QName.valueOf(varName)) != null) {
}
",0,1491,8,6491,"SimpleName(InfixExpression-leftOperand, InfixExpression-leftOperand, IfStatement-expression, ),
NullLiteral(InfixExpression-rightOperand, InfixExpression-leftOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-expression, InfixExpression-leftOperand, InfixExpression-rightOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-leftOperand, InfixExpression-rightOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-expression, MethodInvocation-arguments, InfixExpression-leftOperand, InfixExpression-rightOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-name, MethodInvocation-arguments, InfixExpression-leftOperand, InfixExpression-rightOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-arguments, MethodInvocation-arguments, InfixExpression-leftOperand, InfixExpression-rightOperand, IfStatement-expression, ),
NullLiteral(InfixExpression-rightOperand, InfixExpression-rightOperand, IfStatement-expression, ),
"
2,} else {,"if (obj instanceof List) {
  for (  Object o : (List)obj) {
    try {
      if (o instanceof OMNode) {
        OMNode node=(OMNode)o;
        List<Link> links=null;
        if (node instanceof Source) {
          Source source=(Source)node;
          links=source.getLinks(""alternate"");
        }
 else         if (node instanceof Entry) {
          Entry entry=(Entry)node;
          links=entry.getLinks(""alternate"");
        }
        if (links != null)         results.addAll(links);
      }
    }
 catch (    Exception e) {
    }
  }
}
 else {
}
",0,0,0,,
3,} else {,"if (node instanceof OMText) {
  buf.append(((OMText)node).getText());
}
 else {
}
",0,0,0,,
4,"if (coll.contains(""val="" + priKeys.get(2)) || coll.contains(""val="" + priKeys.get(0)));","if (coll.contains(""val="" + priKeys.get(2)) || coll.contains(""val="" + priKeys.get(0))) ;
",0,350,13,,"SimpleName(MethodInvocation-expression, InfixExpression-leftOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-leftOperand, IfStatement-expression, ),
StringLiteral(InfixExpression-leftOperand, MethodInvocation-arguments, InfixExpression-leftOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-expression, InfixExpression-rightOperand, MethodInvocation-arguments, InfixExpression-leftOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-rightOperand, MethodInvocation-arguments, InfixExpression-leftOperand, IfStatement-expression, ),
NumberLiteral(MethodInvocation-arguments, InfixExpression-rightOperand, MethodInvocation-arguments, InfixExpression-leftOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-expression, InfixExpression-rightOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-rightOperand, IfStatement-expression, ),
StringLiteral(InfixExpression-leftOperand, MethodInvocation-arguments, InfixExpression-rightOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-expression, InfixExpression-rightOperand, MethodInvocation-arguments, InfixExpression-rightOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-rightOperand, MethodInvocation-arguments, InfixExpression-rightOperand, IfStatement-expression, ),
NumberLiteral(MethodInvocation-arguments, InfixExpression-rightOperand, MethodInvocation-arguments, InfixExpression-rightOperand, IfStatement-expression, ),
EmptyStatement(IfStatement-thenStatement, ),
"
5,} else {,"if (obj instanceof List) {
  for (  Object o : (List)obj) {
    try {
      String value=StringFunction.evaluate(o,navigator);
      IRI resolved=null;
      IRI baseUri=null;
      if (o instanceof OMNode) {
        OMNode node=(OMNode)o;
        OMContainer el=node.getParent();
        if (el instanceof Document) {
          Document<Element> doc=(Document<Element>)el;
          baseUri=doc.getBaseUri();
        }
 else         if (el instanceof Element) {
          Element element=(Element)el;
          baseUri=element.getBaseUri();
        }
      }
 else       if (o instanceof OMAttribute) {
        OMAttribute attr=(OMAttribute)o;
        Element element=(Element)context.getNavigator().getParentNode(attr);
        baseUri=element.getBaseUri();
      }
      if (baseUri != null) {
        resolved=baseUri.resolve(value);
        results.add(resolved.toString());
      }
    }
 catch (    Exception e) {
    }
  }
}
 else {
}
",0,0,0,,
6,} else {,"if (""durability"".equals(key)) {
  durability=DurabilityImpl.fromString(value);
}
 else {
}
",0,0,0,,
7,} else {,"if (iiter.hasNext()) {
  while (iiter.hasPrevious() && iiter.peekPrevious().getKey().equals(iiter.peek().getKey())) {
    iiter.previous();
  }
  if (iiter.hasPrevious())   prevKey=new Key(iiter.peekPrevious().getKey());
 else   prevKey=new Key();
  IndexEntry indexEntry=iiter.next();
  entriesLeft=indexEntry.getNumEntries();
  currBlock=getDataBlock(indexEntry);
  checkRange=range.afterEndKey(indexEntry.getKey());
  if (!checkRange)   hasTop=true;
  MutableByteSequence valbs=new MutableByteSequence(new byte[64],0,0);
  Key currKey=null;
  if (currBlock.isIndexable()) {
    BlockIndex blockIndex=BlockIndex.getIndex(currBlock,indexEntry);
    if (blockIndex != null) {
      BlockIndexEntry bie=blockIndex.seekBlock(startKey,currBlock);
      if (bie != null) {
        RelativeKey tmpRk=new RelativeKey();
        tmpRk.setPrevKey(bie.getPrevKey());
        tmpRk.readFields(currBlock);
        val=new Value();
        val.readFields(currBlock);
        valbs=new MutableByteSequence(val.get(),0,val.getSize());
        entriesLeft=bie.getEntriesLeft() - 1;
        prevKey=new Key(bie.getPrevKey());
        currKey=tmpRk.getKey();
      }
    }
  }
  SkippR skippr=RelativeKey.fastSkip(currBlock,startKey,valbs,prevKey,currKey,entriesLeft);
  prevKey=skippr.prevKey;
  entriesLeft-=skippr.skipped;
  val=new Value(valbs.toArray());
  rk=skippr.rk;
}
 else {
}
",0,0,0,,
8,if ((i == alphaData[0]) && (i == alphaData[2])) {},"if ((i == alphaData[0]) && (i == alphaData[2])) {
}
",0,54,7,,"SimpleName(InfixExpression-leftOperand, ParenthesizedExpression-expression, InfixExpression-leftOperand, IfStatement-expression, ),
SimpleName(ArrayAccess-array, InfixExpression-rightOperand, ParenthesizedExpression-expression, InfixExpression-leftOperand, IfStatement-expression, ),
NumberLiteral(ArrayAccess-index, InfixExpression-rightOperand, ParenthesizedExpression-expression, InfixExpression-leftOperand, IfStatement-expression, ),
SimpleName(InfixExpression-leftOperand, ParenthesizedExpression-expression, InfixExpression-rightOperand, IfStatement-expression, ),
SimpleName(ArrayAccess-array, InfixExpression-rightOperand, ParenthesizedExpression-expression, InfixExpression-rightOperand, IfStatement-expression, ),
NumberLiteral(ArrayAccess-index, InfixExpression-rightOperand, ParenthesizedExpression-expression, InfixExpression-rightOperand, IfStatement-expression, ),
Block(IfStatement-thenStatement, ),
"
9,} else if (entry.getKey().getColumnFamily().equals(LastLocationColumnFamily.NAME)) {,"if (entry.getKey().getColumnFamily().equals(LastLocationColumnFamily.NAME)) {
}
 else {
  m.put(entry.getKey().getColumnFamily(),entry.getKey().getColumnQualifier(),entry.getValue());
}
",0,246,5,,"SimpleName(MethodInvocation-expression, MethodInvocation-expression, MethodInvocation-expression, IfStatement-expression, ),
SimpleName(MethodInvocation-name, MethodInvocation-expression, MethodInvocation-expression, IfStatement-expression, ),
SimpleName(MethodInvocation-name, MethodInvocation-expression, IfStatement-expression, ),
SimpleName(MethodInvocation-name, IfStatement-expression, ),
QualifiedName(MethodInvocation-arguments, IfStatement-expression, ),
"
10,if (e instanceof MissingOptionException && Stream.of(fields).anyMatch(IS_HELP_OPT)) {,"if (e instanceof MissingOptionException && Stream.of(fields).anyMatch(IS_HELP_OPT)) {
}
 else {
  ++exitCode;
  printException(e);
}
",0,27,7,,"SimpleName(InstanceofExpression-leftOperand, InfixExpression-leftOperand, IfStatement-expression, ),
SimpleName(SimpleType-name, InstanceofExpression-rightOperand, InfixExpression-leftOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-expression, MethodInvocation-expression, InfixExpression-rightOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-name, MethodInvocation-expression, InfixExpression-rightOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-arguments, MethodInvocation-expression, InfixExpression-rightOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-rightOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-arguments, InfixExpression-rightOperand, IfStatement-expression, ),
"
