Pattern ID,Pattern,Context,"# of Eq list","# of Frq",complexity,Num of Warnings in Method,NCL
1,try {,"try {
  this.writer.close();
}
 catch (MutationsRejectedException e) {
  System.err.println(""Error closing batch writer."");
  e.printStackTrace();
}
",0,0,0,398,
2,this.backlogReader.close();,"this.backlogReader.close();
",0,159,3,,"ThisExpression(FieldAccess-expression, MethodInvocation-expression, ExpressionStatement-expression, ),
SimpleName(FieldAccess-name, MethodInvocation-expression, ExpressionStatement-expression, ),
SimpleName(MethodInvocation-name, ExpressionStatement-expression, ),
"
3,if (!(_conn == null && (_stack == null || _stack.size() == 0))) {,"if (!(_conn == null && (_stack == null || _stack.size() == 0))) {
  assert (false) : ""Oh Alex oh alex...something is wrong with how we're doing this"";
  s_logger.error(""Something went wrong that a transaction is orphaned before db connection is closed"");
  cleanup();
}
",0,87,7,,"SimpleName(InfixExpression-leftOperand, InfixExpression-leftOperand, ParenthesizedExpression-expression, PrefixExpression-operand, IfStatement-expression, ),
NullLiteral(InfixExpression-rightOperand, InfixExpression-leftOperand, ParenthesizedExpression-expression, PrefixExpression-operand, IfStatement-expression, ),
SimpleName(InfixExpression-leftOperand, InfixExpression-leftOperand, ParenthesizedExpression-expression, InfixExpression-rightOperand, ParenthesizedExpression-expression, PrefixExpression-operand, IfStatement-expression, ),
NullLiteral(InfixExpression-rightOperand, InfixExpression-leftOperand, ParenthesizedExpression-expression, InfixExpression-rightOperand, ParenthesizedExpression-expression, PrefixExpression-operand, IfStatement-expression, ),
SimpleName(MethodInvocation-expression, InfixExpression-leftOperand, InfixExpression-rightOperand, ParenthesizedExpression-expression, InfixExpression-rightOperand, ParenthesizedExpression-expression, PrefixExpression-operand, IfStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-leftOperand, InfixExpression-rightOperand, ParenthesizedExpression-expression, InfixExpression-rightOperand, ParenthesizedExpression-expression, PrefixExpression-operand, IfStatement-expression, ),
NumberLiteral(InfixExpression-rightOperand, InfixExpression-rightOperand, ParenthesizedExpression-expression, InfixExpression-rightOperand, ParenthesizedExpression-expression, PrefixExpression-operand, IfStatement-expression, ),
"
4,try {,"try {
  Closeables.close(offsetConsumer,true);
}
 catch (Exception anyException) {
  LOG.warn(""Failed to close offset consumer for {}"",topicPartition);
}
",0,0,0,,
5,while (((toRelease = sampleQueue.poll()) != null)),"while (((toRelease=sampleQueue.poll()) != null)) {
  toRelease.release();
}
",0,1,4,,"SimpleName(Assignment-leftHandSide, ParenthesizedExpression-expression, InfixExpression-leftOperand, ParenthesizedExpression-expression, WhileStatement-expression, ),
SimpleName(MethodInvocation-expression, Assignment-rightHandSide, ParenthesizedExpression-expression, InfixExpression-leftOperand, ParenthesizedExpression-expression, WhileStatement-expression, ),
SimpleName(MethodInvocation-name, Assignment-rightHandSide, ParenthesizedExpression-expression, InfixExpression-leftOperand, ParenthesizedExpression-expression, WhileStatement-expression, ),
NullLiteral(InfixExpression-rightOperand, ParenthesizedExpression-expression, WhileStatement-expression, ),
"
6,try,"try {
  close();
}
 catch (IOException e) {
  e.printStackTrace();
}
",0,0,0,,
7,_selectType = SelectType.Fields;,"_selectType=SelectType.Fields;
",0,0,2,,"SimpleName(Assignment-leftHandSide, ExpressionStatement-expression, ),
QualifiedName(Assignment-rightHandSide, ExpressionStatement-expression, ),
"
8,try {,"try {
  super.finalize();
}
  finally {
  if (this.closed)   return;
  this.close();
}
",0,0,0,,
9,if (results != null && results.singleUseActivation != null) {,"if (results != null && results.singleUseActivation != null) {
  results.singleUseActivation.markUnused();
}
",0,0,4,,"SimpleName(InfixExpression-leftOperand, InfixExpression-leftOperand, IfStatement-expression, ),
NullLiteral(InfixExpression-rightOperand, InfixExpression-leftOperand, IfStatement-expression, ),
QualifiedName(InfixExpression-leftOperand, InfixExpression-rightOperand, IfStatement-expression, ),
NullLiteral(InfixExpression-rightOperand, InfixExpression-rightOperand, IfStatement-expression, ),
"
10,try {,"try {
  if (_indexReader != null) {
    _indexReader.close();
  }
}
 catch (IOException e) {
  e.printStackTrace();
}
",0,0,0,,
11,try {,"try {
  super.finalize();
}
  finally {
  if (WORKER_STATE_UPDATER.getAndSet(this,WORKER_STATE_SHUTDOWN) != WORKER_STATE_SHUTDOWN) {
    INSTANCE_COUNTER.decrementAndGet();
  }
}
",0,0,0,,
12,try {,"try {
  cleanup();
}
 catch (Throwable t) {
}
",0,0,0,,
13,try {,"try {
  if (release(""finalize()"",constructionStack)) {
    LOG.warn(""input stream of {}"" + "" not closed properly -cleaned up in finalize()"",uri);
  }
}
 catch (Exception e) {
  LOG.warn(""Exception while releasing {} in finalizer"",uri,e);
}
",0,0,0,,
14,try {,"try {
  cleanup();
}
 catch (Throwable t) {
}
",0,0,0,,
15,try {,"try {
  if (release(""finalize()"",constructionStack)) {
    LOG.warn(""input stream of "" + uri + "" not closed properly -cleaned up in finalize()"");
  }
}
 catch (Exception e) {
  LOG.warn(""Exception while releasing "" + uri + ""in finalizer"",e);
}
",0,0,0,,
16,if (!m_isClosed && m_tmpFile.exists()),"if (!m_isClosed && m_tmpFile.exists()) {
  m_tmpFile.delete();
}
",0,1,3,,"SimpleName(PrefixExpression-operand, InfixExpression-leftOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-expression, InfixExpression-rightOperand, IfStatement-expression, ),
SimpleName(MethodInvocation-name, InfixExpression-rightOperand, IfStatement-expression, ),
"
