Pattern ID,Pattern,Context,"# of Eq list","# of Frq",complexity,Num of Warnings in Method,NCL
1,scanWhitespace: while ((c = super.read()) != -1) {,"while ((c=super.read()) != -1) {
switch (c) {
case ' ':
    if (++columnNumber == colNextTab) {
      numTabs++;
      countSpaces=0;
      colNextTab+=tabLength;
    }
 else {
      countSpaces++;
    }
  break;
case '\t':
columnNumber=colNextTab;
numTabs++;
countSpaces=0;
colNextTab+=tabLength;
break;
default :
push(c);
break scanWhitespace;
}
}
",0,0,3,358,"SimpleName(Assignment-leftHandSide, ParenthesizedExpression-expression, InfixExpression-leftOperand, WhileStatement-expression, LabeledStatement-body, ),
SimpleName(SuperMethodInvocation-name, Assignment-rightHandSide, ParenthesizedExpression-expression, InfixExpression-leftOperand, WhileStatement-expression, LabeledStatement-body, ),
NumberLiteral(PrefixExpression-operand, InfixExpression-rightOperand, WhileStatement-expression, LabeledStatement-body, ),
"
2,lab1: do {,"do {
  if (!r_consonant_pair()) {
    break lab1;
  }
}
 while (false);
",0,0,0,,
3,lab5: do {,"do {
  v_6=limit - cursor;
  lab6:   do {
    ket=cursor;
    if (!(eq_s_b(2,""ig""))) {
      break lab6;
    }
    bra=cursor;
    if (!r_R2()) {
      break lab6;
    }
{
      v_7=limit - cursor;
      lab7:       do {
        if (!(eq_s_b(1,""e""))) {
          break lab7;
        }
        break lab6;
      }
 while (false);
      cursor=limit - v_7;
    }
    slice_del();
    break lab5;
  }
 while (false);
  cursor=limit - v_6;
  if (!r_undouble()) {
    break lab4;
  }
}
 while (false);
",0,0,0,,
4,lab6: do {,"do {
  ket=cursor;
  if (!(eq_s_b(2,""ig""))) {
    break lab6;
  }
  bra=cursor;
  if (!r_R2()) {
    break lab6;
  }
{
    v_7=limit - cursor;
    lab7:     do {
      if (!(eq_s_b(1,""e""))) {
        break lab7;
      }
      break lab6;
    }
 while (false);
    cursor=limit - v_7;
  }
  slice_del();
  break lab5;
}
 while (false);
",0,0,0,,
5,lab7: do {,"do {
  if (!(eq_s_b(1,""e""))) {
    break lab7;
  }
  break lab6;
}
 while (false);
",0,0,0,,
6,lab8: do {,"do {
  if (!(eq_s_b(1,""e""))) {
    break lab8;
  }
  break lab4;
}
 while (false);
",0,0,0,,
7,lab1: do {,"do {
  v_2=limit - cursor;
  lab2:   do {
{
      int c=cursor - 2;
      if (limit_backward > c || c > limit) {
        break lab2;
      }
      cursor=c;
    }
    slice_from(""i"");
    break lab1;
  }
 while (false);
  cursor=limit - v_2;
  slice_from(""ie"");
}
 while (false);
",0,0,0,,
8,lab2: do {,"do {
{
    int c=cursor - 2;
    if (limit_backward > c || c > limit) {
      break lab2;
    }
    cursor=c;
  }
  slice_from(""i"");
  break lab1;
}
 while (false);
",0,0,0,,
9,lab4: do {,"do {
  if (!(in_grouping_b(g_v,97,121))) {
    break lab4;
  }
  break golab3;
}
 while (false);
",0,0,0,,
10,lab1: do {,"do {
  if (!(in_grouping_b(g_v,97,121))) {
    break lab1;
  }
  break golab0;
}
 while (false);
",0,0,0,,
