Pattern ID,Pattern,Context,"# of Eq list","# of Frq",complexity,Num of Warnings in Method,NCL
1,TransactionCoordinator txnMgr = new TransactionCoordinator(jrnl); {,"TransactionCoordinator txnMgr=new TransactionCoordinator(jrnl);
",0,0,4,31,"SimpleName(SimpleType-name, FieldDeclaration-type, ),
SimpleName(VariableDeclarationFragment-name, FieldDeclaration-fragments, ),
SimpleName(SimpleType-name, ClassInstanceCreation-type, VariableDeclarationFragment-initializer, FieldDeclaration-fragments, ),
SimpleName(ClassInstanceCreation-arguments, VariableDeclarationFragment-initializer, FieldDeclaration-fragments, ),
"
2,{,"class Panel extends JPanel implements ExplorerManager.Provider, Lookup.Provider {
{
    setLayout(new BorderLayout());
    add(view,BorderLayout.CENTER);
  }
  public ExplorerManager getExplorerManager(){
    return manager;
  }
  @Override public boolean requestFocusInWindow(){
    return view.requestFocusInWindow();
  }
  public Lookup getLookup(){
    return lookup;
  }
}
",0,0,0,,
3,"{providers.put (this, null);}","providers.put(this,null);
",0,0,4,,"SimpleName(MethodInvocation-expression, ExpressionStatement-expression, Block-statements, Initializer-body, ),
SimpleName(MethodInvocation-name, ExpressionStatement-expression, Block-statements, Initializer-body, ),
ThisExpression(MethodInvocation-arguments, ExpressionStatement-expression, Block-statements, Initializer-body, ),
NullLiteral(MethodInvocation-arguments, ExpressionStatement-expression, Block-statements, Initializer-body, ),
"
4,{,"class PP implements PropertyProvider, FileChangeListener, AntProjectListener {
  final ChangeSupport cs=new ChangeSupport(this);
  final Set<File> listeningTo=new HashSet<File>();
{
    helper.addAntProjectListener(WeakListeners.create(AntProjectListener.class,this,helper));
  }
  private void listenTo(  File f,  Set<File> noLongerListeningTo){
    if (f != null) {
      noLongerListeningTo.remove(f);
      if (listeningTo.add(f)) {
        FileUtil.addFileChangeListener(this,f);
      }
    }
  }
  public synchronized Map<String,String> getProperties(){
    Map<String,String> m=new HashMap<String,String>();
    Set<File> noLongerListeningTo=new HashSet<File>(listeningTo);
    Definitions def=findDefinitions(helper);
    if (def != null) {
      m.putAll(def.properties(true));
      listenTo(def.mainPropertiesFile,noLongerListeningTo);
      listenTo(def.privatePropertiesFile,noLongerListeningTo);
    }
    for (    File f : noLongerListeningTo) {
      listeningTo.remove(f);
      FileUtil.removeFileChangeListener(this,f);
    }
    return m;
  }
  public void addChangeListener(  ChangeListener l){
    cs.addChangeListener(l);
  }
  public void removeChangeListener(  ChangeListener l){
    cs.removeChangeListener(l);
  }
  public void fileFolderCreated(  FileEvent fe){
    fireChangeNowOrLater();
  }
  public void fileDataCreated(  FileEvent fe){
    fireChangeNowOrLater();
  }
  public void fileChanged(  FileEvent fe){
    fireChangeNowOrLater();
  }
  public void fileDeleted(  FileEvent fe){
    fireChangeNowOrLater();
  }
  public void fileRenamed(  FileRenameEvent fe){
    fireChangeNowOrLater();
  }
  public void fileAttributeChanged(  FileAttributeEvent fe){
    fireChangeNowOrLater();
  }
  void fireChangeNowOrLater(){
    if (!cs.hasListeners()) {
      return;
    }
    final Mutex.Action<Void> action=new Mutex.Action<Void>(){
      public Void run(){
        cs.fireChange();
        return null;
      }
    }
;
    if (ProjectManager.mutex().isWriteAccess() || FIRE_CHANGES_SYNCH) {
      ProjectManager.mutex().readAccess(action);
    }
 else     if (ProjectManager.mutex().isReadAccess()) {
      action.run();
    }
 else {
      RP.post(new Runnable(){
        public void run(){
          ProjectManager.mutex().readAccess(action);
        }
      }
);
    }
  }
  public void configurationXmlChanged(  AntProjectEvent ev){
    cs.fireChange();
  }
  public void propertiesChanged(  AntProjectEvent ev){
  }
}
",0,0,0,,
5,{,"class Panel extends JPanel implements ExplorerManager.Provider, Lookup.Provider {
  private final Lookup lookup=ExplorerUtils.createLookup(manager,new ActionMap());
{
    setLayout(new BorderLayout());
    add(view,BorderLayout.CENTER);
  }
  public ExplorerManager getExplorerManager(){
    return manager;
  }
  public Lookup getLookup(){
    return lookup;
  }
}
",0,0,0,,
6,{,"class Panel extends JPanel implements ExplorerManager.Provider, Lookup.Provider {
  private final Lookup lookup=ExplorerUtils.createLookup(manager,new ActionMap());
{
    setLayout(new BorderLayout());
    add(view,BorderLayout.CENTER);
  }
  public ExplorerManager getExplorerManager(){
    return manager;
  }
  public Lookup getLookup(){
    return lookup;
  }
}
",0,0,0,,
7,{,"class Panel extends JPanel implements ExplorerManager.Provider, Lookup.Provider {
  private final Lookup lookup=ExplorerUtils.createLookup(manager,new ActionMap());
{
    setLayout(new BorderLayout());
    add(view,BorderLayout.CENTER);
  }
  public ExplorerManager getExplorerManager(){
    return manager;
  }
  public Lookup getLookup(){
    return lookup;
  }
}
",0,0,0,,
8,{,"class Panel extends JPanel implements ExplorerManager.Provider, Lookup.Provider {
  private final Lookup lookup=ExplorerUtils.createLookup(manager,new ActionMap());
{
    setLayout(new BorderLayout());
    add(view,BorderLayout.CENTER);
  }
  public ExplorerManager getExplorerManager(){
    return manager;
  }
  public Lookup getLookup(){
    return lookup;
  }
}
",0,0,0,,
9,{,"class Scanner extends CollectIdentifiers<Void,Void> {
  public Scanner(){
    super(patternIdentifiers,cancel);
  }
  private boolean auxPath;
  private List<String> currentContent;
{
    content.add(currentContent=new ArrayList<String>());
  }
  @Override public Void scan(  Tree t,  Void v){
    if (t == null) {
      return null;
    }
    if (Utilities.isMultistatementWildcardTree(t) || multiModifiers(t)) {
      int target=nextState[0]++;
      setBit(transitionTable,NFA.Key.create(currentState[0],new Input(Kind.IDENTIFIER,""$"",false)),target);
      setBit(transitionTable,NFA.Key.create(target,UP),currentState[0]);
      content.add(currentContent=new ArrayList<String>());
      return null;
    }
    if (t.getKind() == Kind.BLOCK) {
      StatementTree singletonStatement=null;
      BlockTree bt=(BlockTree)t;
      if (!bt.isStatic()) {
switch (bt.getStatements().size()) {
case 1:
          singletonStatement=bt.getStatements().get(0);
        break;
case 2:
      if (Utilities.isMultistatementWildcardTree(bt.getStatements().get(0))) {
        singletonStatement=bt.getStatements().get(1);
      }
 else {
        if (Utilities.isMultistatementWildcardTree(bt.getStatements().get(1))) {
          singletonStatement=bt.getStatements().get(0);
        }
      }
    break;
case 3:
  if (Utilities.isMultistatementWildcardTree(bt.getStatements().get(0)) && Utilities.isMultistatementWildcardTree(bt.getStatements().get(2))) {
    singletonStatement=bt.getStatements().get(1);
  }
break;
}
}
if (singletonStatement != null) {
int backup=currentState[0];
boolean oldAuxPath=auxPath;
auxPath=true;
scan(singletonStatement,null);
auxPath=oldAuxPath;
int target=currentState[0];
setBit(transitionTable,NFA.Key.create(backup,new Input(Kind.BLOCK,null,false)),currentState[0]=nextState[0]++);
setBit(transitionTable,NFA.Key.create(currentState[0],new Input(Kind.IDENTIFIER,""("",false)),currentState[0]=nextState[0]++);
for (StatementTree st : bt.getStatements()) {
scan(st,null);
}
setBit(transitionTable,NFA.Key.create(currentState[0],UP),currentState[0]=nextState[0]++);
setBit(transitionTable,NFA.Key.create(currentState[0],UP),target);
currentState[0]=target;
return null;
}
}
boolean[] goDeeper=new boolean[1];
Input[] bypass=new Input[1];
Input i=normalizeInput(t,goDeeper,bypass);
if (!TO_IGNORE.contains(i.kind) && !auxPath) {
currentContent.add(kind2EncodedString.get(i.kind));
}
if (i.name != null && !auxPath) {
if (!""$"".equals(i.name)) {
if (isIdentifierAcceptable(i.name)) {
currentContent.add(i.name);
}
if (Utilities.isPureMemberSelect(t,false)) {
content.add(currentContent=new ArrayList<String>());
}
}
 else {
content.add(currentContent=new ArrayList<String>());
}
}
int backup=currentState[0];
handleTree(i,goDeeper,t,bypass);
boolean oldAuxPath=auxPath;
auxPath=true;
if (StatementTree.class.isAssignableFrom(t.getKind().asInterface()) && t != pattern) {
int target=currentState[0];
setBit(transitionTable,NFA.Key.create(backup,new Input(Kind.BLOCK,null,false)),currentState[0]=nextState[0]++);
setBit(transitionTable,NFA.Key.create(currentState[0],new Input(Kind.IDENTIFIER,""("",false)),currentState[0]=nextState[0]++);
handleTree(i,goDeeper,t,bypass);
setBit(transitionTable,NFA.Key.create(currentState[0],UP),currentState[0]=nextState[0]++);
setBit(transitionTable,NFA.Key.create(currentState[0],UP),target);
currentState[0]=target;
}
auxPath=oldAuxPath;
return null;
}
@Override public Void scan(Iterable<? extends Tree> nodes,Void p){
setBit(transitionTable,NFA.Key.create(currentState[0],new Input(Kind.IDENTIFIER,""("",false)),currentState[0]=nextState[0]++);
try {
return super.scan(nodes,p);
}
  finally {
setBit(transitionTable,NFA.Key.create(currentState[0],UP),currentState[0]=nextState[0]++);
}
}
private void handleTree(Input i,boolean[] goDeeper,Tree t,Input[] bypass){
int backup=currentState[0];
int target=nextState[0]++;
setBit(transitionTable,NFA.Key.create(backup,i),currentState[0]=nextState[0]++);
if (goDeeper[0]) {
super.scan(t,null);
}
 else {
new CollectIdentifiers<Void,Void>(patternIdentifiers,cancel).scan(t,null);
int aux=nextState[0]++;
setBit(transitionTable,NFA.Key.create(backup,new Input(Kind.MEMBER_SELECT,i.name,false)),aux);
setBit(transitionTable,NFA.Key.create(aux,new Input(Kind.IDENTIFIER,""$"",false)),aux=nextState[0]++);
setBit(transitionTable,NFA.Key.create(aux,UP),aux=nextState[0]++);
setBit(transitionTable,NFA.Key.create(aux,UP),target);
}
setBit(transitionTable,NFA.Key.create(currentState[0],UP),target);
if (bypass[0] != null) {
int intermediate=nextState[0]++;
setBit(transitionTable,NFA.Key.create(backup,bypass[0]),intermediate);
setBit(transitionTable,NFA.Key.create(intermediate,UP),target);
}
currentState[0]=target;
}
}
",0,0,0,,
10,{,"class ExTC extends org.openide.windows.TopComponent implements java.beans.PropertyChangeListener {
  ExplorerManager em=new ExplorerManager();
{
    addPropertyChangeListener(this);
    em.setRootContext(new AbstractNode(new Children.Array()));
  }
  @Override public void propertyChange(  java.beans.PropertyChangeEvent ev){
    if (""activatedNodes"".equals(ev.getPropertyName())) {
      try {
        Node[] arr=getActivatedNodes();
        Children.Array ch=(Children.Array)em.getRootContext().getChildren();
        for (int i=0; i < arr.length; i++) {
          if (arr[i].getParentNode() != em.getRootContext()) {
            assertTrue(""If this fails we are in troubles"",ch.add(new Node[]{arr[i]}));
          }
        }
        em.setSelectedNodes(getActivatedNodes());
      }
 catch (      java.beans.PropertyVetoException ex) {
        throw new AssertionError(ex);
      }
    }
  }
}
",0,0,0,,
