Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/abdera/adapters/jcr/src/main/java/org/apache/abdera/protocol/server/adapters/jcr/JcrCollectionAdapter.java,231,,"            } catch (Throwable t) {"
2,./TargetProjects/abdera/adapters/jcr/src/main/java/org/apache/abdera/protocol/server/adapters/jcr/JcrCollectionAdapter.java,266,,"            } catch (Throwable t) {"
3,./TargetProjects/abdera/adapters/jcr/src/main/java/org/apache/abdera/protocol/server/adapters/jcr/JcrCollectionAdapter.java,378,,"            } catch (Throwable t) {"
4,./TargetProjects/abdera/adapters/jcr/src/test/java/org/apache/abdera/jcr/JcrCollectionAdapterTest.java,173,,"        } catch (Throwable t) {"
5,./TargetProjects/abdera/client/src/main/java/org/apache/abdera/protocol/client/AbderaClient.java,700,,"        } catch (Throwable t) {"
6,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/AbderaConfiguration.java,314,,"        } catch (Throwable n) {"
7,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/AbderaConfiguration.java,328,,"        } catch (Throwable n) {"
8,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/AbderaConfiguration.java,342,,"        } catch (Throwable n) {"
9,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/AbderaConfiguration.java,356,,"        } catch (Throwable n) {"
10,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/AbderaConfiguration.java,370,,"        } catch (Throwable n) {"
11,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/Discover.java,36,,"        } catch (Throwable t) {"
12,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/Discover.java,72,,"        } catch (Throwable t) {"
13,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/Discover.java,107,,"            } catch (Throwable t) {"
14,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/Discover.java,127,,"            } catch (Throwable t) {"
15,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/Discover.java,137,,"            } catch (Throwable t) {"
16,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/Discover.java,191,,"            } catch (Throwable t) {"
17,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/Discover.java,208,,"            } catch (Throwable t) {"
18,./TargetProjects/abdera/dependencies/i18n/src/main/java/org/apache/abdera/i18n/templates/Route.java,235,,"        } catch (Throwable e) {"
19,./TargetProjects/abdera/dependencies/i18n/src/main/java/org/apache/abdera/i18n/templates/Template.java,193,,"        } catch (Throwable e) {"
20,./TargetProjects/abdera/dependencies/i18n/src/main/java/org/apache/abdera/i18n/text/Nameprep.java,45,,"        } catch (Throwable e) {"
21,./TargetProjects/abdera/extensions/geo/src/main/java/org/apache/abdera/ext/geo/Coordinate.java,113,,"        } catch (Throwable t) {"
22,./TargetProjects/abdera/extensions/geo/src/main/java/org/apache/abdera/ext/geo/Coordinates.java,160,,"        } catch (Throwable t) {"
23,./TargetProjects/abdera/extensions/serializer/src/main/java/org/apache/abdera/ext/serializer/AbstractSerializationContext.java,78,,"        } catch (Throwable t) {"
24,./TargetProjects/abdera/extensions/serializer/src/main/java/org/apache/abdera/ext/serializer/BaseSerializer.java,170,,"        } catch (Throwable t) {"
25,./TargetProjects/abdera/extensions/serializer/src/main/java/org/apache/abdera/ext/serializer/ConventionSerializationContext.java,76,,"                } catch (Throwable t) {"
26,./TargetProjects/abdera/extensions/serializer/src/main/java/org/apache/abdera/ext/serializer/ObjectContext.java,111,,"        } catch (Throwable t) {"
27,./TargetProjects/abdera/server/src/main/java/org/apache/abdera/protocol/server/impl/AbstractProvider.java,134,,"        } catch (Throwable e) {"
28,./TargetProjects/abdera/server/src/main/java/org/apache/abdera/protocol/server/servlet/AbderaServlet.java,87,,"        } catch (Throwable t) {"
29,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/clientImpl/TabletServerBatchReaderIterator.java,396,,"      } catch (Throwable t) {"
30,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/util/threads/AccumuloUncaughtExceptionHandler.java,43,,"      } catch (Throwable e1) {"
31,./TargetProjects/accumulo/core/src/test/java/org/apache/accumulo/core/file/rfile/MultiThreadedRFileTest.java,253,,"          } catch (Throwable t) {"
32,./TargetProjects/accumulo/server/tserver/src/test/java/org/apache/accumulo/tserver/compaction/strategies/BasicCompactionStrategyTest.java,122,,"    } catch (IllegalArgumentException iae) {} catch (Throwable t) {"
