Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/attic-aurora/commons/src/main/java/org/apache/aurora/common/stats/Ratio.java,75,,"        || (denominatorValue == Double.NaN)"
2,./TargetProjects/attic-aurora/commons/src/main/java/org/apache/aurora/common/stats/Ratio.java,76,,"        || (numeratorValue == Double.NaN)) {"
3,./TargetProjects/ctakes/ctakes-ytex/src/main/java/org/apache/ctakes/ytex/kernel/IntrinsicInfoContentEvaluatorImpl.java,119,,"		if (denom == Double.NaN || num == Double.NaN) {"
4,./TargetProjects/ctakes/ctakes-ytex/src/main/java/org/apache/ctakes/ytex/kernel/IntrinsicInfoContentEvaluatorImpl.java,119,,"		if (denom == Double.NaN || num == Double.NaN) {"
5,./TargetProjects/harmony/classlib/modules/luni/src/test/api/common/org/apache/harmony/luni/tests/java/lang/MathTest.java,579,,"            if (nagateDval == Double.NaN) {"
6,./TargetProjects/harmony-classlib/modules/luni/src/test/api/common/org/apache/harmony/luni/tests/java/lang/MathTest.java,579,,"            if (nagateDval == Double.NaN) {"
7,./TargetProjects/incubator-retired-openaz/openaz-xacml/src/main/java/org/apache/openaz/xacml/std/dom/DOMResponse.java,342,,"            if (d == Double.NaN) {"
8,./TargetProjects/incubator-retired-openaz/openaz-xacml/src/main/java/org/apache/openaz/xacml/std/json/JSONRequest.java,1363,,"            if (d == Double.NaN) {"
9,./TargetProjects/incubator-retired-openaz/openaz-xacml/src/main/java/org/apache/openaz/xacml/std/json/JSONResponse.java,1743,,"            if (d == Double.NaN) {"
10,./TargetProjects/marmotta/loader/marmotta-loader-core/src/main/java/org/apache/marmotta/loader/util/UnitFormatter.java,30,,"        if(value == Double.NaN) {"
11,./TargetProjects/netbeans/java/performance/sparrow/src/org/netbeans/performance/impl/analysis/GcCharts.java,160,,"            if (result.floatValue()==Float.NaN) result = new Float (0);"
12,./TargetProjects/netbeans/java/performance/sparrow/src/org/netbeans/performance/impl/analysis/GcCharts.java,174,,"            if (result.floatValue()==Float.NaN) result = new Float (0);"
13,./TargetProjects/opennlp-addons/geoentitylinker-addon/src/main/java/opennlp/addons/geoentitylinker/GeoEntityLinker.java,184,,"    d = d == Double.NaN ? 0d : d;"
14,./TargetProjects/stanbol/entityhub/jersey/src/main/java/org/apache/stanbol/entityhub/web/reader/FieldQueryReader.java,315,,"            if(boost == Double.NaN || boost <= 0){"
15,./TargetProjects/xalan-j/src/org/apache/xalan/lib/ExsltDatetime.java,254,,"      if (ad || yr == Double.NaN)"
16,./TargetProjects/xalan-j/src/org/apache/xalan/lib/ExsltDatetime.java,607,,"      if (dbl == Double.NaN) "
17,./TargetProjects/xalan-j/src/org/apache/xalan/xsltc/compiler/Mode.java,863,,"	    if (elemPrio == Double.NaN || elemPrio < nodePrio || "
18,./TargetProjects/xalan-j/src/org/apache/xalan/xsltc/compiler/Mode.java,1211,,"	    if (elemPrio == Double.NaN || elemPrio < nodePrio || "
19,./TargetProjects/xalan-java/src/org/apache/xalan/lib/ExsltDatetime.java,254,,"      if (ad || yr == Double.NaN)"
20,./TargetProjects/xalan-java/src/org/apache/xalan/lib/ExsltDatetime.java,607,,"      if (dbl == Double.NaN) "
21,./TargetProjects/xalan-java/src/org/apache/xalan/xsltc/compiler/Mode.java,863,,"	    if (elemPrio == Double.NaN || elemPrio < nodePrio || "
22,./TargetProjects/xalan-java/src/org/apache/xalan/xsltc/compiler/Mode.java,1211,,"	    if (elemPrio == Double.NaN || elemPrio < nodePrio || "
