Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/filter/ParseFilter.java,33,,"    Object clone() throws CloneNotSupportedException;"
2,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/model/AtomDate.java,231,,"    public Object clone() {"
3,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/model/Base.java,141,,"    Object clone();"
4,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/model/ElementWrapper.java,58,,"    public Object clone() {"
5,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/parser/ParserOptions.java,33,,"    Object clone() throws CloneNotSupportedException;"
6,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/AbderaConfiguration.java,274,,"    public Object clone() {"
7,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/AbstractParserOptions.java,57,,"    public Object clone() throws CloneNotSupportedException {"
8,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/AbstractWriterOptions.java,29,,"    public Object clone() throws CloneNotSupportedException {"
9,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/Configuration.java,107,,"    public abstract Object clone();"
10,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/filter/AbstractListParseFilter.java,43,,"    public Object clone() throws CloneNotSupportedException {"
11,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/filter/AbstractParseFilter.java,70,,"    public Object clone() throws CloneNotSupportedException {"
12,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/filter/CompoundParseFilter.java,103,,"    public Object clone() throws CloneNotSupportedException {"
13,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/filter/SafeContentWhiteListParseFilter.java,73,,"    public Object clone() throws CloneNotSupportedException {"
14,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/writer/WriterOptions.java,34,,"    Object clone() throws CloneNotSupportedException;"
15,./TargetProjects/abdera/dependencies/i18n/src/main/java/org/apache/abdera/i18n/iri/IDNA.java,45,,"    public Object clone() throws CloneNotSupportedException {"
16,./TargetProjects/abdera/dependencies/i18n/src/main/java/org/apache/abdera/i18n/iri/IRI.java,315,,"    public Object clone() {"
17,./TargetProjects/abdera/extensions/features/src/main/java/org/apache/abdera/ext/features/AbstractSelector.java,22,,"    public Selector clone() {"
18,./TargetProjects/abdera/extensions/geo/src/main/java/org/apache/abdera/ext/geo/Position.java,132,,"    public <T extends Position> T clone() {"
19,./TargetProjects/abdera/extensions/serializer/src/main/java/org/apache/abdera/ext/serializer/AbstractConventions.java,108,,"    public Conventions clone() {"
20,./TargetProjects/abdera/parser/src/main/java/org/apache/abdera/parser/stax/FOMContent.java,366,,"    public Object clone() {"
21,./TargetProjects/abdera/parser/src/main/java/org/apache/abdera/parser/stax/FOMDocument.java,180,,"    public Object clone() {"
22,./TargetProjects/abdera/parser/src/main/java/org/apache/abdera/parser/stax/FOMElement.java,569,,"    public Object clone() {"
23,./TargetProjects/abdera/parser/src/main/java/org/apache/abdera/parser/stax/FOMText.java,222,,"    public Object clone() {"
24,./TargetProjects/abdera/security/src/main/java/org/apache/abdera/security/util/DHContext.java,188,,"    public Object clone() throws CloneNotSupportedException {"
25,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/clientImpl/mapreduce/DelegationTokenStub.java,80,,"  public AuthenticationToken clone() {"
26,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/data/Key.java,1369,,"  public Object clone() throws CloneNotSupportedException {"
27,./TargetProjects/accumulo/server/tserver/src/main/java/org/apache/accumulo/tserver/MemKey.java,60,,"  public Object clone() throws CloneNotSupportedException {"
28,./TargetProjects/activemq-protobuf/activemq-protobuf/src/main/java/org/apache/activemq/protobuf/BaseMessage.java,35,,"    abstract public T clone() throws CloneNotSupportedException;"
29,./TargetProjects/activemq-protobuf/activemq-protobuf/src/main/java/org/apache/activemq/protobuf/Message.java,25,,"    public T clone() throws CloneNotSupportedException;"
30,./TargetProjects/ambari/ambari-server/src/main/java/org/apache/ambari/server/controller/AuthToLocalBuilder.java,118,,"  public Object clone() throws CloneNotSupportedException {"
31,./TargetProjects/ambari/ambari-server/src/main/java/org/apache/ambari/server/controller/spi/Resource.java,426,,"    protected Object clone() throws CloneNotSupportedException {"
32,./TargetProjects/ambari/ambari-server/src/main/java/org/apache/ambari/server/metadata/RoleCommandOrder.java,373,,"  public Object clone() throws CloneNotSupportedException {"
33,./TargetProjects/ambari-logsearch/ambari-logsearch-logfeeder-plugin-api/src/main/java/org/apache/ambari/logfeeder/plugin/filter/Filter.java,203,,"  public Object clone() throws CloneNotSupportedException {"
34,./TargetProjects/ambari-metrics/ambari-metrics-timelineservice/src/main/java/org/apache/ambari/metrics/core/timeline/source/cache/InternalMetricsCache.java,220,,"    public Object clone() throws CloneNotSupportedException {"
35,./TargetProjects/ant/src/main/org/apache/tools/ant/ProjectComponent.java,167,,"    public Object clone() throws CloneNotSupportedException {"
36,./TargetProjects/ant/src/main/org/apache/tools/ant/taskdefs/Manifest.java,678,,"        public Object clone() {"
37,./TargetProjects/ant/src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTest.java,517,,"    public Object clone() {"
38,./TargetProjects/ant/src/main/org/apache/tools/ant/types/AbstractFileSet.java,920,,"    public synchronized Object clone() {"
39,./TargetProjects/ant/src/main/org/apache/tools/ant/types/ArchiveFileSet.java,505,,"    public Object clone() {"
40,./TargetProjects/ant/src/main/org/apache/tools/ant/types/Assertions.java,248,,"    public Object clone() throws CloneNotSupportedException {"
41,./TargetProjects/ant/src/main/org/apache/tools/ant/types/Commandline.java,557,,"    public Object clone() {"
42,./TargetProjects/ant/src/main/org/apache/tools/ant/types/CommandlineJava.java,181,,"        public Object clone() throws CloneNotSupportedException {"
43,./TargetProjects/ant/src/main/org/apache/tools/ant/types/CommandlineJava.java,742,,"    public Object clone() throws CloneNotSupportedException {"
44,./TargetProjects/ant/src/main/org/apache/tools/ant/types/DataType.java,376,,"    public Object clone() throws CloneNotSupportedException {"
45,./TargetProjects/ant/src/main/org/apache/tools/ant/types/DirSet.java,55,,"    public Object clone() {"
46,./TargetProjects/ant/src/main/org/apache/tools/ant/types/FileSet.java,54,,"    public Object clone() {"
47,./TargetProjects/ant/src/main/org/apache/tools/ant/types/FilterSet.java,475,,"    public synchronized Object clone() throws BuildException {"
48,./TargetProjects/ant/src/main/org/apache/tools/ant/types/Path.java,477,,"    public Object clone() {"
49,./TargetProjects/ant/src/main/org/apache/tools/ant/types/PatternSet.java,570,,"    public Object clone() {"
50,./TargetProjects/ant/src/main/org/apache/tools/ant/types/Resource.java,259,,"    public Object clone() {"
51,./TargetProjects/ant/src/main/org/apache/tools/ant/types/TarFileSet.java,260,,"    public Object clone() {"
52,./TargetProjects/ant/src/main/org/apache/tools/ant/types/ZipFileSet.java,106,,"    public Object clone() {"
53,./TargetProjects/ant/src/main/org/apache/tools/ant/types/optional/depend/ClassfileSet.java,164,,"    public Object clone() {"
54,./TargetProjects/ant/src/main/org/apache/tools/ant/types/resources/Archives.java,136,,"    public Object clone() {"
55,./TargetProjects/ant/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionContainer.java,224,,"    public Object clone() {"
