Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/beam/runners/google-cloud-dataflow-java/worker/src/test/java/org/apache/beam/runners/dataflow/worker/AvroByteReaderTest.java,314,,"    for (float splitFraction = 0.0F; splitFraction < 1.0F; splitFraction += 0.02F) {"
2,./TargetProjects/cassandra/test/burn/org/apache/cassandra/concurrent/LongSharedExecutorPoolTest.java,135,,"        for (float multiplier = 0f ; multiplier < 2.01f ; )"
3,./TargetProjects/drill/contrib/storage-hbase/src/test/java/org/apache/drill/hbase/TestTableGenerator.java,465,,"    for (float i = (float)0.5; i <= 100.00; i += 0.75) {"
4,./TargetProjects/drill/contrib/storage-hbase/src/test/java/org/apache/drill/hbase/TestTableGenerator.java,589,,"    for (float i = (float)0.5; i <= 100.00; i += 0.75) {"
5,./TargetProjects/groovy/src/main/java/org/codehaus/groovy/runtime/DefaultGroovyMethods.java,15896,,"            for (float i = self; i <= to1; i++) {"
6,./TargetProjects/groovy/src/main/java/org/codehaus/groovy/runtime/DefaultGroovyMethods.java,15916,,"            for (float i = self; i <= to1; i++) {"
7,./TargetProjects/groovy/src/main/java/org/codehaus/groovy/runtime/DefaultGroovyMethods.java,16134,,"            for (float i = self; i >= to1; i--) {"
8,./TargetProjects/groovy/src/main/java/org/codehaus/groovy/runtime/DefaultGroovyMethods.java,16153,,"            for (float i = self; i >= to1; i--) {"
9,./TargetProjects/hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/test/java/org/apache/hadoop/yarn/server/federation/policies/router/TestWeightedRandomRouterPolicy.java,107,,"    for (float i = 0; i < numberOfDraws; i++) {"
10,./TargetProjects/parquet-mr/parquet-column/src/test/java/org/apache/parquet/column/values/dictionary/TestDictionary.java,510,,"    for (float i = 0; i < COUNT; i++) {"
11,./TargetProjects/parquet-mr/parquet-column/src/test/java/org/apache/parquet/column/values/dictionary/TestDictionary.java,516,,"    for (float i = COUNT2; i > 0; i--) {"
12,./TargetProjects/parquet-mr/parquet-column/src/test/java/org/apache/parquet/column/values/dictionary/TestDictionary.java,525,,"    for (float i = 0; i < COUNT; i++) {"
13,./TargetProjects/parquet-mr/parquet-column/src/test/java/org/apache/parquet/column/values/dictionary/TestDictionary.java,531,,"    for (float i = COUNT2; i > 0; i--) {"
14,./TargetProjects/parquet-mr/parquet-column/src/test/java/org/apache/parquet/column/values/dictionary/TestDictionary.java,540,,"    for (float i = 0; i < 100; i++) {"
15,./TargetProjects/parquet-mr/parquet-column/src/test/java/org/apache/parquet/column/values/dictionary/TestDictionary.java,551,,"    for (float i = 0; i < 100; i++) {"
16,./TargetProjects/xmlgraphics-fop/fop-core/src/test/java/org/apache/fop/render/afp/AFPRendererConfiguratorTestCase.java,139,,"        for (float resolution = 0; resolution < 50; resolution += 5) {"
