Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/activemq-artemis/artemis-server/src/main/java/org/apache/activemq/artemis/core/paging/cursor/impl/PagePositionImpl.java,171,,"   protected void finalize() {"
2,./TargetProjects/geronimo/framework/modules/geronimo-kernel/src/main/java/org/apache/geronimo/kernel/util/UnpackedJarFile.java,138,,"    protected void finalize() throws IOException {"
3,./TargetProjects/harmony/classlib/modules/awt/src/main/java/common/java/awt/Frame.java,157,,"    protected void finalize() throws Throwable {"
4,./TargetProjects/harmony/classlib/modules/awt/src/main/java/common/java/awt/Graphics.java,123,,"    public void finalize() {"
5,./TargetProjects/harmony/classlib/modules/awt/src/main/java/common/java/awt/Window.java,202,,"    protected void finalize() throws Throwable {"
6,./TargetProjects/harmony/classlib/modules/awt/src/main/java/common/java/awt/color/ICC_ProfileStub.java,85,,"    protected void finalize() {"
7,./TargetProjects/harmony/classlib/modules/awt/src/main/java/common/java/awt/image/ColorModel.java,544,,"    public void finalize() {"
8,./TargetProjects/harmony/classlib/modules/luni-kernel/src/main/java/java/lang/Object.java,119,,"    protected void finalize() throws Throwable {"
9,./TargetProjects/harmony/drlvm/src/test/harmony-1588/Test.java,21,,"    public void finalize() {}"
10,./TargetProjects/harmony/drlvm/vm/tests/smoke/exception/FinalizeStackTest.java,33,,"    protected void finalize() {"
11,./TargetProjects/harmony/drlvm/vm/vmcore/src/kernel_classes/javasrc/java/lang/Object.java,104,,"	protected void finalize() throws Throwable {"
12,./TargetProjects/harmony-classlib/modules/awt/src/main/java/common/java/awt/Frame.java,157,,"    protected void finalize() throws Throwable {"
13,./TargetProjects/harmony-classlib/modules/awt/src/main/java/common/java/awt/Graphics.java,123,,"    public void finalize() {"
14,./TargetProjects/harmony-classlib/modules/awt/src/main/java/common/java/awt/Window.java,202,,"    protected void finalize() throws Throwable {"
15,./TargetProjects/harmony-classlib/modules/awt/src/main/java/common/java/awt/color/ICC_ProfileStub.java,85,,"    protected void finalize() {"
16,./TargetProjects/harmony-classlib/modules/awt/src/main/java/common/java/awt/image/ColorModel.java,544,,"    public void finalize() {"
17,./TargetProjects/harmony-classlib/modules/imageio/src/main/java/javax/imageio/spi/ServiceRegistry.java,113,,"    public void finalize() throws Throwable {"
18,./TargetProjects/harmony-classlib/modules/luni-kernel/src/main/java/java/lang/Object.java,119,,"    protected void finalize() throws Throwable {"
19,./TargetProjects/logging-log4j2/log4j-1.2-api/src/main/java/org/apache/log4j/AppenderSkeleton.java,76,,"    public void finalize() {"
20,./TargetProjects/nifi/nifi-nar-bundles/nifi-standard-services/nifi-hbase_1_1_2-client-service-bundle/nifi-hbase_1_1_2-client-service/src/main/java/org/apache/nifi/hbase/HBase_1_1_2_ClientMapCacheService.java,264,,"    protected void finalize() throws Throwable {"
21,./TargetProjects/nifi/nifi-nar-bundles/nifi-standard-services/nifi-hbase_2-client-service-bundle/nifi-hbase_2-client-service/src/main/java/org/apache/nifi/hbase/HBase_2_ClientMapCacheService.java,265,,"    protected void finalize() throws Throwable {"
22,./TargetProjects/poi/poi-examples/src/main/ruby/java/org/apache/poi/RubyOutputStream.java,43,,"    {"
23,./TargetProjects/uima-as_old/uimaj-as-activemq/src/main/java/org/apache/uima/adapter/jms/activemq/JmsEndpointConnection_impl.java,966,,"  protected synchronized void finalize() throws Throwable {"
24,./TargetProjects/uima-async-scaleout/uimaj-as-activemq/src/main/java/org/apache/uima/adapter/jms/activemq/JmsEndpointConnection_impl.java,966,,"  protected synchronized void finalize() throws Throwable {"
