Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/abdera/dependencies/i18n/src/main/java/org/apache/abdera/i18n/text/Punycode.java,84,,"                if (case_flags != null) {"
2,./TargetProjects/abdera/examples/src/main/java/org/apache/abdera/examples/xsltxpath/XPathFunctionsExample.java,92,,"                } else {"
3,./TargetProjects/abdera/parser/src/main/java/org/apache/abdera/parser/stax/FOMElement.java,487,,"            } else {"
4,./TargetProjects/abdera/parser/src/main/java/org/apache/abdera/parser/stax/StaxStreamWriter.java,297,,"                    ;"
5,./TargetProjects/abdera/parser/src/main/java/org/apache/abdera/parser/stax/util/ResolveFunction.java,76,,"            } else {"
6,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/client/BatchWriterConfig.java,283,,"      } else {"
7,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RFile.java,1062,,"        } else {"
8,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RelativeKey.java,531,,"    if ((fieldsSame & ROW_SAME) == ROW_SAME) {"
9,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RelativeKey.java,541,,"    if ((fieldsSame & CF_SAME) == CF_SAME) {"
10,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RelativeKey.java,551,,"    if ((fieldsSame & CQ_SAME) == CQ_SAME) {"
11,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RelativeKey.java,561,,"    if ((fieldsSame & CV_SAME) == CV_SAME) {"
12,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RelativeKey.java,571,,"    if ((fieldsSame & TS_SAME) == TS_SAME) {"
13,./TargetProjects/accumulo/server/base/src/main/java/org/apache/accumulo/server/constraints/MetadataConstraints.java,207,,"      } else if (columnFamily.equals(ScanFileColumnFamily.NAME)) {"
14,./TargetProjects/accumulo/server/base/src/main/java/org/apache/accumulo/server/manager/recovery/HadoopLogCloser.java,70,,"    } else if (ns instanceof LocalFileSystem || ns instanceof RawLocalFileSystem) {"
15,./TargetProjects/accumulo/server/base/src/main/java/org/apache/accumulo/server/replication/proto/Replication.java,519,,"        if (com.google.protobuf.GeneratedMessage.alwaysUseFieldBuilders) {"
16,./TargetProjects/accumulo/server/base/src/main/java/org/apache/accumulo/server/util/MetadataTableUtil.java,454,,"      } else if (entry.getKey().getColumnFamily().equals(LastLocationColumnFamily.NAME)) {"
17,./TargetProjects/accumulo/shell/src/main/java/org/apache/accumulo/shell/Shell.java,794,,"        if (e instanceof MissingOptionException && Stream.of(fields).anyMatch(IS_HELP_OPT)) {"
18,./TargetProjects/accumulo/test/src/main/java/org/apache/accumulo/test/functional/PermissionsIT.java,383,,"        if (saslEnabled()) {"
19,./TargetProjects/accumulo/test/src/main/java/org/apache/accumulo/test/functional/PermissionsIT.java,556,,"        if (saslEnabled()) {"
20,./TargetProjects/accumulo/test/src/main/java/org/apache/accumulo/test/manager/SuspendedTabletsIT.java,451,,"          } else {"
