Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/abdera/dependencies/i18n/src/main/java/org/apache/abdera/i18n/text/io/FilteredCharReader.java,84,,"            while (((c = super.read()) != -1 && !filter.accept(c))) {"
2,./TargetProjects/abdera/server/src/main/java/org/apache/abdera/protocol/server/multipart/MultipartInputStream.java,48,,"        while (read(buffer) != -1) {"
3,./TargetProjects/accumulo/core/src/test/java/org/apache/accumulo/core/file/rfile/bcfile/CompressionTest.java,146,,"        while (!service.awaitTermination(1, TimeUnit.SECONDS)) {"
4,./TargetProjects/accumulo/core/src/test/java/org/apache/accumulo/core/file/rfile/bcfile/CompressionTest.java,183,,"        while (!service.awaitTermination(1, TimeUnit.SECONDS)) {"
5,./TargetProjects/accumulo/core/src/test/java/org/apache/accumulo/core/file/rfile/bcfile/CompressionTest.java,231,,"        while (!service.awaitTermination(1, TimeUnit.SECONDS)) {"
6,./TargetProjects/accumulo/server/base/src/main/java/org/apache/accumulo/server/fs/VolumeManagerImpl.java,325,,"      while (!workerPool.awaitTermination(1000L, TimeUnit.MILLISECONDS)) {}"
7,./TargetProjects/accumulo/server/base/src/main/java/org/apache/accumulo/server/util/VerifyTabletAssignments.java,139,,"    while (!tp.awaitTermination(1, TimeUnit.HOURS)) {}"
8,./TargetProjects/accumulo/server/compaction-coordinator/src/main/java/org/apache/accumulo/coordinator/CompactionCoordinator.java,305,,"        while (!executor.awaitTermination(1, TimeUnit.MINUTES)) {}"
9,./TargetProjects/accumulo/server/gc/src/main/java/org/apache/accumulo/gc/SimpleGarbageCollector.java,393,,"        while (!deleteThreadPool.awaitTermination(1000, TimeUnit.MILLISECONDS)) {}"
10,./TargetProjects/accumulo/server/manager/src/main/java/org/apache/accumulo/manager/tableOps/bulkVer1/BulkImport.java,268,,"    while (!workers.awaitTermination(1000L, TimeUnit.MILLISECONDS)) {}"
11,./TargetProjects/accumulo-examples/src/main/java/org/apache/accumulo/examples/filedata/ChunkInputStream.java,254,,"      while (fill() > 0) {}"
12,./TargetProjects/ace/org.apache.ace.agent.controller.itest/src/org/apache/ace/agent/itest/BaseAgentControllerTest.java,177,,"                while (is.read() != -1) {"
13,./TargetProjects/ace/org.apache.ace.agent.itest/src/org/apache/ace/agent/itest/AgentDeploymentTest.java,86,,"            while (is.read() != -1) {"
14,./TargetProjects/ace/org.apache.ace.agent/src/org/apache/ace/agent/impl/ConnectionUtil.java,167,,"            while (is.read(buf) > 0) {"
15,./TargetProjects/ace/org.apache.ace.agent/test/org/apache/ace/agent/impl/DownloadHandleImplTest.java,259,,"        while (dis.read() != -1) {"
16,./TargetProjects/ace/org.apache.ace.agent/test/org/apache/ace/agent/impl/DownloadHandlerTest.java,272,,"        while (dis.read() != -1) {"
17,./TargetProjects/ace/org.apache.ace.repository.itest/src/org/apache/ace/it/repository/Utils.java,65,,"            while (is.read(buf) > 0) {"
18,./TargetProjects/ace/org.apache.ace.useradmin.itest/src/org/apache/ace/it/useradmin/Utils.java,65,,"            while (is.read(buf) > 0) {"
19,./TargetProjects/activemq/activemq-broker/src/test/java/org/apache/activemq/JmsQueueTransactionTest.java,61,,"        while (consumer.receive(1000) != null) {"
20,./TargetProjects/activemq/activemq-broker/src/test/java/org/apache/activemq/JmsQueueTransactionTest.java,158,,"        while (consumer.receive(1000) != null) {"
21,./TargetProjects/activemq/activemq-broker/src/test/java/org/apache/activemq/JmsTransactionTestSupport.java,369,,"            while (consumer.receive(1000) != null) {"
22,./TargetProjects/activemq/activemq-broker/src/test/java/org/apache/activemq/JmsTransactionTestSupport.java,420,,"        while (consumer.receive(1000) != null) {"
23,./TargetProjects/activemq/activemq-broker/src/test/java/org/apache/activemq/JmsTransactionTestSupport.java,540,,"        while (consumer.receiveNoWait() != null) {"
24,./TargetProjects/activemq/activemq-client/src/main/java/org/apache/activemq/ActiveMQSessionExecutor.java,111,,"                while (iterate()) {"
25,./TargetProjects/activemq/activemq-ra/src/test/java/org/apache/activemq/ra/JmsXAQueueTransactionTest.java,180,,"        while (consumer.receive(1000) != null) {"
26,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/JmsQueueBrowserTest.java,71,,"        while (consumer.receive(1000) != null) {"
27,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/JmsQueueBrowserTest.java,128,,"        while (consumer.receive(1000) != null) {"
28,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/JmsQueueBrowserTest.java,184,,"        while (consumer.receive(1000) != null) {"
29,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/JmsQueueBrowserTest.java,278,,"        while (consumer.receive(1000) != null) {"
30,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/JmsQueueBrowserTest.java,357,,"        while (consumer.receive(1000) != null) {"
31,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/JmsQueueBrowserTest.java,406,,"        while (consumer.receive(1000) != null) {"
32,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/JmsTestSupport.java,186,,"        while (System.in.read() != '\n') {"
33,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/broker/BrokerTest.java,1367,,"        while (connection1.getDispatchQueue().poll(0, TimeUnit.MILLISECONDS) != null) {"
34,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/broker/BrokerTestSupport.java,172,,"            while (System.in.read() != '\n') {"
35,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubscriberNonPersistentMessageTest.java,297,,"            while (getMessage(500) != null) {"
36,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubscriptionTestSupport.java,421,,"        while (consumer.receive(1000) != null) {"
37,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubscriptionTestSupport.java,447,,"        while (consumer.receive(1000) != null) {"
38,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubscriptionTestSupport.java,477,,"        while (consumer.receive(1000) != null) {"
39,./TargetProjects/activemq-apollo/apollo-itests/src/test/java/org/apache/activemq/apollo/JmsQueueBrowserTest.java,62,,"        while (consumer.receive(1000) != null) {"
40,./TargetProjects/activemq-apollo/apollo-itests/src/test/java/org/apache/activemq/apollo/JmsQueueTransactionTest.java,58,,"        while (consumer.receive(1000) != null) {"
41,./TargetProjects/activemq-apollo/apollo-itests/src/test/java/org/apache/activemq/apollo/JmsQueueTransactionTest.java,160,,"        while (consumer.receive(1000) != null) {"
42,./TargetProjects/activemq-apollo/apollo-itests/src/test/java/org/apache/activemq/apollo/JmsTestBase.java,279,,"        while (System.in.read() != '\n') {"
43,./TargetProjects/activemq-apollo/apollo-itests/src/test/java/org/apache/activemq/apollo/JmsTransactionTestSupport.java,302,,"            while (consumer.receive(1000) != null) {"
44,./TargetProjects/activemq-apollo/apollo-itests/src/test/java/org/apache/activemq/apollo/JmsTransactionTestSupport.java,353,,"        while (consumer.receive(1000) != null) {"
45,./TargetProjects/activemq-apollo/apollo-itests/src/test/java/org/apache/activemq/apollo/JmsTransactionTestSupport.java,479,,"        while (consumer.receiveNoWait() != null) {"
46,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/collections/ConcurrentAppendOnlyChunkedList.java,264,,"      while ((e = buffer.get(i)) == null) {"
47,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/collections/LinkedListImpl.java,247,,"      while (poll() != null) {"
48,./TargetProjects/activemq-artemis/artemis-server/src/main/java/org/apache/activemq/artemis/core/paging/cursor/impl/PageSubscriptionImpl.java,1484,,"         while ((status = tryNext()) == 2) {"
49,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/JmsQueueBrowserTest.java,61,,"      while (consumer.receive(1000) != null) {"
50,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/JmsQueueTransactionTest.java,62,,"      while (consumer.receive(1000) != null) {"
51,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/JmsQueueTransactionTest.java,159,,"      while (consumer.receive(1000) != null) {"
52,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/JmsTestSupport.java,181,,"      while (System.in.read() != '\n') {"
53,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/JmsTransactionTestSupport.java,364,,"      while (consumer.receive(1000) != null) {"
54,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/JmsTransactionTestSupport.java,415,,"      while (consumer.receive(1000) != null) {"
55,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/JmsTransactionTestSupport.java,534,,"      while (consumer.receiveNoWait() != null) {"
56,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/broker/BrokerTest.java,1235,,"      while (connection1.getDispatchQueue().poll(0, TimeUnit.MILLISECONDS) != null) {"
57,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/broker/BrokerTestSupport.java,172,,"         while (System.in.read() != '\n') {"
58,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubscriberNonPersistentMessageTest.java,295,,"         while (getMessage(500) != null) {"
59,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubscriptionTestSupport.java,421,,"      while (consumer.receive(1000) != null) {"
60,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubscriptionTestSupport.java,447,,"      while (consumer.receive(1000) != null) {"
61,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubscriptionTestSupport.java,477,,"      while (consumer.receive(1000) != null) {"
62,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/openwire/amq/JmsQueueBrowserTest.java,55,,"      while (consumer.receive(1000) != null) {"
63,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/openwire/amq/JmsQueueBrowserTest.java,108,,"      while (consumer.receive(1000) != null) {"
64,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/openwire/amq/JmsQueueBrowserTest.java,276,,"      while (consumer.receive(1000) != null) {"
65,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/openwire/amq/JmsQueueBrowserTest.java,417,,"      while (consumer.receive(1000) != null) {"
66,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/openwire/amq/JmsTransactionTestSupport.java,319,,"      while (consumer.receive(1000) != null) {"
67,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/openwire/amq/JmsTransactionTestSupport.java,369,,"      while (consumer.receive(1000) != null) {"
68,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/openwire/amq/JmsTransactionTestSupport.java,492,,"      while (consumer.receiveNoWait() != null) {"
69,./TargetProjects/activemq-artemis/tests/unit-tests/src/test/java/org/apache/activemq/artemis/tests/unit/core/journal/impl/TimedBufferTest.java,223,,"         while (System.nanoTime() - deadline < 0) {"
70,./TargetProjects/activemq-artemis/tests/unit-tests/src/test/java/org/apache/activemq/artemis/tests/unit/core/journal/impl/TimedBufferTest.java,282,,"         while (flushesDone.get() < flush) {"
71,./TargetProjects/activemq-artemis/tests/unit-tests/src/test/java/org/apache/activemq/artemis/tests/unit/core/journal/impl/TimedBufferTest.java,331,,"         while (flushesDone.get() < flush) {"
72,./TargetProjects/ant/src/main/org/apache/tools/ant/taskdefs/Checksum.java,485,,"                while (dis.read(buf, 0, readBufferSize) != -1) {"
73,./TargetProjects/ant/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java,504,,"                    while (--i >= 0 && line.charAt(i) == CTRLZ) {"
74,./TargetProjects/ant/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ChecksumAlgorithm.java,128,,"                while (check.read() != -1) {"
75,./TargetProjects/ant/src/main/org/apache/tools/ant/types/selectors/modifiedselector/DigestAlgorithm.java,165,,"            while (dis.read(buf, 0, readBufferSize) != -1) {"
76,./TargetProjects/ant/src/tests/junit/org/apache/tools/ant/util/ReaderInputStreamTest.java,253,,"            while (stream.read() != -1) {"
77,./TargetProjects/ant-ivy/src/java/org/apache/ivy/util/url/BasicURLHandler.java,352,,"            while (inStream.read(buffer) > 0) {"
78,./TargetProjects/ant-ivy/src/java/org/apache/ivy/util/url/BasicURLHandler.java,362,,"                while (errStream.read(buffer) > 0) {"
79,./TargetProjects/ant-ivy/test/java/org/apache/ivy/TestHelper.java,481,,"                while (is.read(content) != -1) {"
80,./TargetProjects/archiva-sandbox/archiva-event/src/test/java/org/apache/archiva/event/AsynchronousEventBusTest.java,55,,"        {"
81,./TargetProjects/aries-component-dsl/component-dsl/src/main/java/org/apache/aries/component/dsl/internal/ConcurrentDoublyLinkedList.java,216,,"            ;"
82,./TargetProjects/aries-component-dsl/component-dsl/src/main/java/org/apache/aries/component/dsl/internal/ConcurrentDoublyLinkedList.java,234,,"            ;"
83,./TargetProjects/aries-component-dsl/component-dsl/src/main/java/org/apache/aries/component/dsl/internal/ConcurrentDoublyLinkedList.java,554,,"            ;"
84,./TargetProjects/aries-component-dsl/component-dsl/src/main/java/org/apache/aries/component/dsl/internal/ConcurrentDoublyLinkedList.java,633,,"                ;"
85,./TargetProjects/aries-component-dsl/component-dsl/src/main/java/org/apache/aries/component/dsl/internal/ConcurrentDoublyLinkedList.java,696,,"            ;"
86,./TargetProjects/asterixdb/asterixdb/asterix-external-data/src/main/java/org/apache/asterix/external/parser/DelimitedDataParser.java,202,,"            while (cursor.nextField() == FieldCursorForDelimitedDataParser.Result.OK) {"
87,./TargetProjects/asterixdb/asterixdb/asterix-lang-sqlpp/src/main/java/org/apache/asterix/lang/sqlpp/rewrites/SqlppQueryRewriter.java,325,,"            while (rewriteTopExpr(visitor, null)) {"
88,./TargetProjects/asterixdb/asterixdb/asterix-replication/src/main/java/org/apache/asterix/replication/management/NetworkingUtil.java,52,,"        while (byteBuffer.remaining() > 0 && socketChannel.read(byteBuffer) > 0);"
89,./TargetProjects/asterixdb/hyracks-fullstack/hyracks/hyracks-tests/hyracks-storage-am-lsm-rtree-test/src/test/java/org/apache/hyracks/storage/am/lsm/rtree/util/LSMRTreeTestContext.java,67,,"        while (checkTuples.remove(checkTuple)) {"
90,./TargetProjects/asterixdb/hyracks-fullstack/hyracks/hyracks-tests/hyracks-storage-am-lsm-rtree-test/src/test/java/org/apache/hyracks/storage/am/lsm/rtree/util/LSMRTreeWithAntiMatterTuplesTestContext.java,67,,"        while (checkTuples.remove(checkTuple)) {"
91,./TargetProjects/asterixdb-hyracks/hyracks/hyracks-tests/hyracks-storage-am-lsm-rtree-test/src/test/java/org/apache/hyracks/storage/am/lsm/rtree/util/LSMRTreeTestContext.java,64,,"        while (checkTuples.remove(checkTuple)) {"
92,./TargetProjects/asterixdb-hyracks/hyracks/hyracks-tests/hyracks-storage-am-lsm-rtree-test/src/test/java/org/apache/hyracks/storage/am/lsm/rtree/util/LSMRTreeWithAntiMatterTuplesTestContext.java,65,,"        while (checkTuples.remove(checkTuple)) {"
93,./TargetProjects/attic-apex-core/engine/src/main/java/com/datatorrent/stram/StreamingContainerManager.java,2005,,"            while (li.hasNext() && li.next().windowId < checkpoint.windowId) {"
94,./TargetProjects/attic-apex-malhar/library/src/main/java/org/apache/apex/malhar/lib/io/fs/AbstractFileSplitter.java,341,,"      while ((length = blockSize * ++blockNumber) <= pos) {"
95,./TargetProjects/attic-apex-malhar/library/src/main/java/org/apache/apex/malhar/lib/io/fs/FileSplitter.java,444,,"      while ((length = blockSize * ++blockNumber) <= pos) {"
96,./TargetProjects/attic-ode/bpel-runtime/src/main/java/org/apache/ode/bpel/engine/IMAManager.java,148,,"            while (_byRid.values().remove(entry));"
97,./TargetProjects/attic-ode/bpel-runtime/src/main/java/org/apache/ode/bpel/engine/IMAManager2.java,148,,"            while (_byRid.values().remove(entry));"
98,./TargetProjects/attic-ode/bpel-runtime/src/main/java/org/apache/ode/bpel/engine/OutstandingRequestManager.java,126,,"      while(_byRid.values().remove(entry));"
99,./TargetProjects/attic-ode/bpel-runtime/src/main/java/org/apache/ode/bpel/engine/OutstandingRequestManager.java,185,,"    while(_byChannel.values().remove(entry));"
100,./TargetProjects/attic-ode/bpel-runtime/src/main/java/org/apache/ode/bpel/engine/OutstandingRequestManager.java,186,,"    while(_byRid.values().remove(entry));"
101,./TargetProjects/attic-ode-jacob/src/test/java/org/apache/ode/jacob/examples/synch/SynchPrinter.java,134,,"        while (vpu.execute()) {"
102,./TargetProjects/attic-ode-jacob/src/test/java/org/apache/ode/jacob/oo/JacobChannelsTest.java,77,,"        while (vpu.execute()) {"
