Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/attic-apex-malhar/library/src/main/java/org/apache/apex/malhar/lib/wal/FileSystemWAL.java,787,,"    protected void finalize(int partNum) throws IOException"
2,./TargetProjects/bookkeeper/stream/statelib/src/main/java/org/apache/bookkeeper/statelib/impl/rocksdb/checkpoint/CheckpointFile.java,178,,"    public void finalize(CheckpointStore checkpointStore,"
3,./TargetProjects/camel/tooling/maven/camel-api-component-maven-plugin/src/test/resources/DisputeGateway.java,174,,"    public Result<Dispute> finalize(String id) {"
4,./TargetProjects/cassandra/src/java/org/apache/cassandra/db/RepairedDataInfo.java,93,,"    void finalize(UnfilteredPartitionIterator postLimitPartitions)"
5,./TargetProjects/cloudstack/api/src/main/java/com/cloud/network/element/RedundantResource.java,27,,"     public void finalize(Network network, boolean success);"
6,./TargetProjects/cloudstack/server/src/main/java/com/cloud/network/element/VirtualRouterElement.java,1390,,"    public void finalize(Network network, boolean success) {"
7,./TargetProjects/commons-digester/core/src/main/java/org/apache/commons/digester3/ObjectCreateRule.java,180,,"        void finalize( final Object proxy )"
8,./TargetProjects/hadoop/hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/hdfs/protocol/RollingUpgradeInfo.java,68,,"  public void finalize(long finalizeTime) {"
9,./TargetProjects/hadoop/hadoop-tools/hadoop-gridmix/src/main/java/org/apache/hadoop/mapred/gridmix/ExecutionSummarizer.java,148,,"  void finalize(JobFactory factory, String inputPath, long dataSize, "
10,./TargetProjects/hadoop/hadoop-tools/hadoop-gridmix/src/main/java/org/apache/hadoop/mapred/gridmix/Summarizer.java,59,,"  void finalize(JobFactory factory, String path, long size, "
11,./TargetProjects/hadoop-common/hadoop-tools/hadoop-extras/src/main/java/org/apache/hadoop/tools/DistCpV1.java,829,,"  static private void finalize(Configuration conf, JobConf jobconf,"
12,./TargetProjects/hadoop-common/hadoop-tools/hadoop-gridmix/src/main/java/org/apache/hadoop/mapred/gridmix/ExecutionSummarizer.java,148,,"  void finalize(JobFactory factory, String inputPath, long dataSize, "
13,./TargetProjects/hadoop-common/hadoop-tools/hadoop-gridmix/src/main/java/org/apache/hadoop/mapred/gridmix/Summarizer.java,59,,"  void finalize(JobFactory factory, String path, long size, "
14,./TargetProjects/hadoop-hdfs/src/java/org/apache/hadoop/hdfs/server/namenode/NameNode.java,1520,,"  private static boolean finalize(Configuration conf,"
15,./TargetProjects/hadoop-mapreduce/src/tools/org/apache/hadoop/tools/DistCp.java,831,,"  static private void finalize(Configuration conf, JobConf jobconf,"
16,./TargetProjects/hadoop-ozone/hadoop-hdds/common/src/main/java/org/apache/hadoop/ozone/upgrade/BasicUpgradeFinalizer.java,69,,"  public StatusAndMessages finalize(String upgradeClientID, T service)"
17,./TargetProjects/hadoop-ozone/hadoop-hdds/common/src/main/java/org/apache/hadoop/ozone/upgrade/UpgradeFinalizer.java,144,,"  StatusAndMessages finalize(String upgradeClientID, T service)"
18,./TargetProjects/ignite-teamcity-bot/tcbot-teamcity-ignited/src/main/java/org/apache/ignite/tcignited/buildlog/LogCheckTask.java,52,,"    public LogCheckResultCompacted finalize(boolean isIncompleteSuite) {"
19,./TargetProjects/netbeans/java/jshell.support/src/org/netbeans/modules/jshell/parsing/SnippetRegistry.java,404,,"    private FileObject finalize(SnippetHandle h, FileObject f) {"
20,./TargetProjects/netbeans/platform/openide.util.lookup/src/org/openide/util/lookup/implspi/ServiceLoaderLine.java,97,,"    private static void finalize(Set<ServiceLoaderLine> lines, String impl, int position, List<String> supersedes) {"
21,./TargetProjects/openwebbeans/webbeans-impl/src/main/java/org/apache/webbeans/hash/XxHash64.java,165,,"    private static long finalize(long hash)"
22,./TargetProjects/syncope/core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/DefaultRealmPullResultHandler.java,725,,"    private void finalize("
23,./TargetProjects/tinkerpop/gremlin-driver/src/main/java/org/apache/tinkerpop/gremlin/driver/Channelizer.java,95,,"        public void finalize(final ChannelPipeline pipeline) {"
24,./TargetProjects/tinkerpop/gremlin-server/src/main/java/org/apache/tinkerpop/gremlin/server/AbstractChannelizer.java,130,,"    public void finalize(final ChannelPipeline pipeline) {"
25,./TargetProjects/tinkerpop/gremlin-server/src/main/java/org/apache/tinkerpop/gremlin/server/channel/HttpChannelizer.java,99,,"    public void finalize(final ChannelPipeline pipeline) {"
26,./TargetProjects/tinkerpop/gremlin-server/src/main/java/org/apache/tinkerpop/gremlin/server/channel/UnifiedChannelizer.java,57,,"    public void finalize(final ChannelPipeline pipeline) {"
27,./TargetProjects/tomcat/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool.java,1283,,"    protected void finalize(PooledConnection con) {"
28,./TargetProjects/tomcat80/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool.java,1151,,"    protected void finalize(PooledConnection con) {"
