Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/abdera/dependencies/i18n/src/main/java/org/apache/abdera/i18n/rfc4646/SubtagSet.java,26,,"abstract class SubtagSet implements Serializable, Cloneable, Iterable<Subtag>, Comparable<SubtagSet> {"
2,./TargetProjects/abdera/dependencies/i18n/src/main/java/org/apache/abdera/i18n/templates/Operation.java,33,,public abstract class Operation implements Serializable {
3,./TargetProjects/abdera/extensions/geo/src/main/java/org/apache/abdera/ext/geo/Position.java,22,,"public abstract class Position implements Serializable, Cloneable, Comparable<Position> {"
4,./TargetProjects/abdera/extensions/serializer/src/main/java/org/apache/abdera/ext/serializer/AbstractConventions.java,31,,"public abstract class AbstractConventions implements Conventions, Cloneable, Serializable {"
5,./TargetProjects/ace/org.apache.ace.client.repository/src/org/apache/ace/client/repository/repository/ArtifactRepository.java,36,,"    static class ArtifactAlreadyExistsException extends IOException {"
6,./TargetProjects/ace/org.apache.ace.client.rest.itest/src/org/apache/ace/client/rest/util/WebResourceException.java,27,,public class WebResourceException extends IOException {
7,./TargetProjects/ace/org.apache.ace.connectionfactory/src/org/apache/ace/connectionfactory/impl/UrlCredentialsFactory.java,46,,"    public static final class MissingValueException extends RuntimeException {"
8,./TargetProjects/ace/org.apache.ace.deployment/src/org/apache/ace/deployment/provider/repositorybased/LRUMap.java,23,,"public class LRUMap<K, V> extends LinkedHashMap<K, V> {"
9,./TargetProjects/ace/org.apache.ace.deployment/src/org/apache/ace/deployment/servlet/AceRestException.java,29,,public class AceRestException extends Exception {
10,./TargetProjects/ace/org.apache.ace.useradmin.ui/src/org/apache/ace/useradmin/ui/editor/GroupNotFoundException.java,21,,public class GroupNotFoundException extends Exception {
11,./TargetProjects/ace/org.apache.ace.useradmin.ui/src/org/apache/ace/useradmin/ui/editor/UserAlreadyExistsException.java,21,,public class UserAlreadyExistsException extends Exception {
12,./TargetProjects/ace/org.apache.ace.useradmin.ui/src/org/apache/ace/useradmin/ui/editor/UserNotFoundException.java,21,,public class UserNotFoundException extends Exception {
13,./TargetProjects/ace/org.apache.ace.verifier/src/org/apache/felix/framework/resolver/ResolveException.java,24,,public class ResolveException extends RuntimeException
14,./TargetProjects/ace/org.apache.ace.verifier/src/org/apache/felix/framework/resolver/ResourceNotFoundException.java,21,,public class ResourceNotFoundException extends Exception
15,./TargetProjects/activemq/activemq-broker/src/main/java/org/apache/activemq/broker/SuppressReplyException.java,28,,public class SuppressReplyException extends RuntimeException {
16,./TargetProjects/activemq/activemq-broker/src/main/java/org/apache/activemq/broker/jmx/HealthStatus.java,21,,public class HealthStatus implements Serializable {
17,./TargetProjects/activemq/activemq-broker/src/main/java/org/apache/activemq/broker/jmx/ManagementContext.java,674,,"    private class JmxRegistry extends sun.rmi.registry.RegistryImpl {"
18,./TargetProjects/activemq/activemq-broker/src/main/java/org/apache/activemq/security/DefaultAuthorizationMap.java,269,,"    class WildcardAwareSet<T> extends HashSet<T> {"
19,./TargetProjects/activemq/activemq-client/src/main/java/org/apache/activemq/RedeliveryPolicy.java,32,,"public class RedeliveryPolicy extends DestinationMapEntry implements Cloneable, Serializable {"
20,./TargetProjects/activemq/activemq-client/src/main/java/org/apache/activemq/filter/FunctionCallExpression.java,272,,"    public static class invalidFunctionExpressionException extends java.lang.Exception {"
21,./TargetProjects/activemq/activemq-client/src/main/java/org/apache/activemq/jndi/JNDIBaseStorable.java,32,,"public abstract class JNDIBaseStorable implements JNDIStorableInterface, Externalizable {"
22,./TargetProjects/activemq/activemq-tooling/activemq-junit/src/main/java/org/apache/activemq/junit/EmbeddedActiveMQBroker.java,688,,"    public static class EmbeddedActiveMQBrokerException extends RuntimeException {"
23,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/transport/tcp/StubX509Certificate.java,27,,public class StubX509Certificate extends X509Certificate {
24,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/util/LargeFile.java,32,,public class LargeFile extends File {
25,./TargetProjects/activemq/activemq-web/src/main/java/org/apache/activemq/web/WebClient.java,63,,"public class WebClient implements HttpSessionActivationListener, HttpSessionBindingListener, Externalizable {"
26,./TargetProjects/activemq-activeio/activeio-core/src/main/java/org/apache/activeio/xnet/ServiceException.java,23,,public class ServiceException extends Exception {
27,./TargetProjects/activemq-apollo/apollo-mqtt/src/main/java/org/apache/activemq/apollo/mqtt/MqttProtocolHandler.java,289,,"    class Break extends RuntimeException {"
28,./TargetProjects/activemq-apollo/apollo-openwire/src/main/scala/org/apache/activemq/apollo/openwire/OpenwireException.java,22,,public class OpenwireException extends RuntimeException {
