Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/util/compaction/CompactionPlanImpl.java,37,,public class CompactionPlanImpl implements CompactionPlan {
2,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/plugin/MetricsPluginTest.java,92,,"      class Metric {"
3,./TargetProjects/ambari/ambari-server/src/main/java/org/apache/ambari/server/orm/TransactionalLocks.java,39,,public class TransactionalLocks {
4,./TargetProjects/aries/proxy/proxy-impl/src/test/java/org/apache/aries/blueprint/proxy/ProxyTestClassPrivateConstructor.java,21,,public class ProxyTestClassPrivateConstructor
5,./TargetProjects/aries-cdi/cdi-extender/src/main/java/org/apache/aries/cdi/container/internal/model/SingleActivator.java,43,,public class SingleActivator extends InstanceActivator {
6,./TargetProjects/asterixdb/asterixdb/asterix-geo/src/main/java/org/apache/asterix/geo/evaluators/GeoFunctionTypeInferers.java,33,,public class GeoFunctionTypeInferers {
7,./TargetProjects/asterixdb/hyracks-fullstack/hyracks/hyracks-dataflow-std/src/main/java/org/apache/hyracks/dataflow/std/join/HybridHashJoinUtil.java,26,,public class HybridHashJoinUtil {
8,./TargetProjects/asterixdb/hyracks-fullstack/hyracks/hyracks-storage-am-lsm-invertedindex/src/main/java/org/apache/hyracks/storage/am/lsm/invertedindex/tokenizers/TokenizerInfo.java,22,,public class TokenizerInfo {
9,./TargetProjects/attic-apex-core/api/src/main/java/org/apache/apex/api/plugin/DAGSetupEvent.java,30,,public class DAGSetupEvent extends Event.BaseEvent<DAGSetupEvent.Type>
10,./TargetProjects/attic-apex-malhar/library/src/main/java/org/apache/apex/malhar/lib/appdata/QueueUtils.java,24,,public class QueueUtils
11,./TargetProjects/attic-apex-malhar/library/src/test/java/org/apache/apex/malhar/lib/appdata/ThreadUtils.java,24,,public class ThreadUtils
12,./TargetProjects/attic-aurora/src/jmh/java/org/apache/aurora/benchmark/BenchmarkSettings.java,26,,final class BenchmarkSettings {
13,./TargetProjects/attic-aurora/src/jmh/java/org/apache/aurora/benchmark/Hosts.java,28,,final class Hosts {
14,./TargetProjects/attic-aurora/src/jmh/java/org/apache/aurora/benchmark/Tasks.java,43,,final class Tasks {
15,./TargetProjects/attic-onami/persist/src/main/java/org/apache/onami/persist/AggregatedException.java,32,,class AggregatedException
16,./TargetProjects/attic-polygene-java/core/bootstrap/src/main/java/org/apache/polygene/bootstrap/Assemblers.java,25,,public class Assemblers
17,./TargetProjects/attic-wink/wink-common/src/main/java/org/apache/wink/common/internal/ResponseImpl.java,41,,public class ResponseImpl extends Response {
18,./TargetProjects/avro/lang/java/avro/src/main/java/org/apache/avro/file/SnappyCodec.java,28,,public class SnappyCodec extends Codec {
19,./TargetProjects/axis-axis2-java-core/modules/metadata/src/org/apache/axis2/jaxws/description/builder/WebServiceContextAnnot.java,29,,public class WebServiceContextAnnot implements javax.xml.ws.WebServiceContext {
20,./TargetProjects/beam/examples/java/twitter/src/main/java/org/apache/beam/examples/twitterstreamgenerator/TwitterConfig.java,30,,public class TwitterConfig implements Serializable {
21,./TargetProjects/beam/runners/core-construction-java/src/main/java/org/apache/beam/runners/core/construction/PrimitiveCreate.java,35,,"public class PrimitiveCreate<T> extends PTransform<PBegin, PCollection<T>> {"
22,./TargetProjects/beam/runners/direct-java/src/main/java/org/apache/beam/runners/direct/DirectRegistrar.java,31,,public class DirectRegistrar {
23,./TargetProjects/beam/runners/flink/src/main/java/org/apache/beam/runners/flink/FlinkRunnerRegistrar.java,33,,public class FlinkRunnerRegistrar {
24,./TargetProjects/beam/runners/google-cloud-dataflow-java/src/main/java/org/apache/beam/runners/dataflow/DataflowPTransformMatchers.java,37,,class DataflowPTransformMatchers {
25,./TargetProjects/beam/runners/google-cloud-dataflow-java/src/main/java/org/apache/beam/runners/dataflow/DataflowPipelineRegistrar.java,32,,public class DataflowPipelineRegistrar {
26,./TargetProjects/beam/runners/jet/src/main/java/org/apache/beam/runners/jet/JetRunnerRegistrar.java,34,,public final class JetRunnerRegistrar {
27,./TargetProjects/beam/runners/jet/src/main/java/org/apache/beam/runners/jet/processors/FlattenP.java,37,,public class FlattenP extends AbstractProcessor {
28,./TargetProjects/beam/runners/jet/src/main/java/org/apache/beam/runners/jet/processors/ParDoP.java,44,,"public class ParDoP<InputT, OutputT>"
