Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/conf/Property.java,47,,public enum Property {
2,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/logging/TabletLogger.java,48,,public class TabletLogger {
3,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/fate/Fate.java,41,,public class Fate<T> {
4,./TargetProjects/accumulo/server/base/src/main/java/org/apache/accumulo/server/security/SecurityUtil.java,31,,public class SecurityUtil {
5,./TargetProjects/accumulo/server/manager/src/main/java/org/apache/accumulo/manager/ManagerClientServiceHandler.java,103,,public class ManagerClientServiceHandler extends FateServiceHandler
6,./TargetProjects/accumulo/server/monitor/src/main/java/org/apache/accumulo/monitor/rest/problems/ProblemsResource.java,57,,public class ProblemsResource {
7,./TargetProjects/accumulo/shell/src/main/java/org/apache/accumulo/shell/Shell.java,195,,public class Shell extends ShellOptions implements KeywordExecutable {
8,./TargetProjects/activemq/activemq-amqp/src/main/java/org/apache/activemq/transport/amqp/AmqpTransportFilter.java,41,,public class AmqpTransportFilter extends TransportFilter implements AmqpTransport {
9,./TargetProjects/activemq/activemq-amqp/src/main/java/org/apache/activemq/transport/amqp/protocol/AmqpConnection.java,111,,public class AmqpConnection implements AmqpProtocolConverter {
10,./TargetProjects/activemq/activemq-amqp/src/test/java/org/apache/activemq/transport/amqp/JMSClientTest.java,68,,public class JMSClientTest extends JMSClientTestSupport {
11,./TargetProjects/activemq/activemq-broker/src/main/java/org/apache/activemq/broker/TransportConnection.java,109,,"public class TransportConnection implements Connection, Task, CommandVisitor {"
12,./TargetProjects/activemq/activemq-broker/src/main/java/org/apache/activemq/broker/region/RegionBroker.java,83,,public class RegionBroker extends EmptyBroker {
13,./TargetProjects/activemq/activemq-broker/src/main/java/org/apache/activemq/broker/util/LoggingBrokerPlugin.java,41,,public class LoggingBrokerPlugin extends BrokerPluginSupport {
14,./TargetProjects/activemq/activemq-log4j-appender/src/test/java/org/apache/activemq/util/JmsLogAppenderTest.java,35,,public class JmsLogAppenderTest extends TestCase {
15,./TargetProjects/activemq/activemq-mqtt/src/main/java/org/apache/activemq/transport/mqtt/MQTTTransportFilter.java,57,,public class MQTTTransportFilter extends TransportFilter implements MQTTTransport {
16,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/jmx/JmxAuditLogTest.java,48,,public class JmxAuditLogTest extends TestSupport
17,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/store/SharedFileLockerTest.java,47,,public class SharedFileLockerTest {
18,./TargetProjects/activemq-artemis/artemis-server/src/main/java/org/apache/activemq/artemis/core/server/impl/ActiveMQServerImpl.java,218,,public class ActiveMQServerImpl implements ActiveMQServer {
19,./TargetProjects/activemq-artemis/artemis-server/src/test/java/org/apache/activemq/artemis/core/reload/LoggingConfigurationFileReloaderTest.java,35,,public class LoggingConfigurationFileReloaderTest {
20,./TargetProjects/activemq-artemis/artemis-server/src/test/java/org/apache/activemq/artemis/tests/util/ActiveMQTestBase.java,169,,public abstract class ActiveMQTestBase extends Assert {
21,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/amqp/JMSSaslGssapiTest.java,78,,public class JMSSaslGssapiTest extends JMSClientTestSupport {
22,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/amqp/SaslKrb5LDAPSecurityTest.java,121,,public class SaslKrb5LDAPSecurityTest extends AbstractLdapTestUnit {
23,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/paging/PagingTest.java,123,,public class PagingTest extends ActiveMQTestBase {
24,./TargetProjects/ambari/ambari-server/src/main/java/org/apache/ambari/server/controller/AmbariManagementControllerImpl.java,275,,public class AmbariManagementControllerImpl implements AmbariManagementController {
25,./TargetProjects/ambari/ambari-server/src/main/java/org/apache/ambari/server/controller/internal/ConfigGroupResourceProvider.java,76,,public class ConfigGroupResourceProvider extends
26,./TargetProjects/ambari/ambari-server/src/main/java/org/apache/ambari/server/controller/internal/HostResourceProvider.java,96,,public class HostResourceProvider extends AbstractControllerResourceProvider {
27,./TargetProjects/ambari/ambari-server/src/main/java/org/apache/ambari/server/events/listeners/alerts/AlertStateChangedListener.java,75,,public class AlertStateChangedListener {
28,./TargetProjects/ambari/ambari-server/src/main/java/org/apache/ambari/server/state/cluster/ClusterImpl.java,175,,public class ClusterImpl implements Cluster {
29,./TargetProjects/ambari/ambari-server/src/test/java/org/apache/ambari/server/controller/logging/UtilsTest.java,33,,public class UtilsTest {
30,./TargetProjects/ambari/ambari-server/src/test/java/org/apache/ambari/server/utils/CloseablesTest.java,34,,public class CloseablesTest {
31,./TargetProjects/ambari/contrib/ambari-scom/ambari-scom-server/src/main/java/org/apache/ambari/scom/logging/JpaLogger.java,34,,public class JpaLogger extends AbstractSessionLog {
32,./TargetProjects/ambari/contrib/ambari-scom/ambari-scom-server/src/test/java/org/apache/ambari/scom/logging/JpaLoggerTest.java,40,,public class JpaLoggerTest {
33,./TargetProjects/ambari-logsearch/ambari-logsearch-logfeeder/src/main/java/org/apache/ambari/logfeeder/output/cloud/CloudStorageOutput.java,44,,"public class CloudStorageOutput extends Output<LogFeederProps, InputMarker> {"
34,./TargetProjects/ambari-logsearch/ambari-logsearch-logfeeder/src/main/java/org/apache/ambari/logfeeder/util/FileUtil.java,39,,public class FileUtil {
35,./TargetProjects/ambari-logsearch/ambari-logsearch-server/src/main/java/org/apache/ambari/logsearch/dao/MetadataSolrDao.java,48,,public class MetadataSolrDao extends SolrDaoBase {
36,./TargetProjects/ambari-logsearch/ambari-logsearch-server/src/main/java/org/apache/ambari/logsearch/dao/SolrDaoBase.java,53,,public abstract class SolrDaoBase {
37,./TargetProjects/ambari-logsearch/ambari-logsearch-server/src/main/java/org/apache/ambari/logsearch/web/security/LogsearchAuthenticationProvider.java,37,,public class LogsearchAuthenticationProvider extends LogsearchAbstractAuthenticationProvider {
38,./TargetProjects/ant/src/main/org/apache/tools/ant/listener/Log4jListener.java,36,,public class Log4jListener implements BuildListener {
39,./TargetProjects/archiva/archiva-modules/archiva-base/archiva-consumers/archiva-core-consumers/src/main/java/org/apache/archiva/consumers/core/repository/AbstractRepositoryPurge.java,49,,public abstract class AbstractRepositoryPurge
40,./TargetProjects/archiva/archiva-modules/archiva-web/archiva-web-common/src/main/java/org/apache/archiva/web/api/DefaultJavascriptLogger.java,31,,public class DefaultJavascriptLogger
41,./TargetProjects/archiva/archiva-modules/metadata/metadata-store-provider/oak-jcr/metadata-store-jcr/src/test/java/org/apache/archiva/metadata/repository/stats/JcrRepositoryStatisticsGatheringTest.java,68,,public class JcrRepositoryStatisticsGatheringTest
42,./TargetProjects/aries/jmx/jmx-core/src/main/java/org/apache/aries/jmx/AbstractCompendiumHandler.java,44,,public abstract class AbstractCompendiumHandler extends ServiceTracker implements MBeanHandler {
43,./TargetProjects/aries/jmx/jmx-core/src/main/java/org/apache/aries/jmx/MBeanServiceTracker.java,34,,public class MBeanServiceTracker extends ServiceTracker {
44,./TargetProjects/aries/jmx/jmx-core/src/test/java/org/apache/aries/jmx/CompendiumHandlerTest.java,40,,public class CompendiumHandlerTest {
45,./TargetProjects/aries/jmx/jmx-core/src/test/java/org/apache/aries/jmx/framework/BundleStateTest.java,54,,public class BundleStateTest {
46,./TargetProjects/aries/jmx/jmx-core/src/test/java/org/apache/aries/jmx/framework/ServiceStateTest.java,64,,public class ServiceStateTest {
47,./TargetProjects/aries/jmx/jmx-whiteboard/src/test/java/org/apache/aries/jmx/whiteboard/JmxWhiteboardSupportTest.java,40,,public class JmxWhiteboardSupportTest {
48,./TargetProjects/aries/jmx/jmx-whiteboard/src/test/java/org/apache/aries/jmx/whiteboard/MBeanHolderTest.java,40,,public class MBeanHolderTest {
49,./TargetProjects/aries/util/src/test/java/org/apache/aries/util/log/LoggerTest.java,37,,public class LoggerTest {
50,./TargetProjects/asterixdb/hyracks-fullstack/hyracks/hyracks-util/src/main/java/org/apache/hyracks/util/trace/Tracer.java,35,,public class Tracer implements ITracer {
51,./TargetProjects/atlas/graphdb/janus/src/main/java/org/apache/atlas/repository/graphdb/janus/AtlasJanusGraphDatabase.java,58,,"public class AtlasJanusGraphDatabase implements GraphDatabase<AtlasJanusVertex, AtlasJanusEdge> {"
52,./TargetProjects/atlas/graphdb/janus/src/main/java/org/apache/atlas/repository/graphdb/janus/migration/GraphDBGraphSONMigrator.java,38,,public class GraphDBGraphSONMigrator implements GraphDBMigrator {
53,./TargetProjects/atlas/notification/src/main/java/org/apache/atlas/notification/AtlasNotificationMessageDeserializer.java,46,,public abstract class AtlasNotificationMessageDeserializer<T> implements MessageDeserializer<T> {
54,./TargetProjects/atlas/notification/src/test/java/org/apache/atlas/notification/AbstractNotificationConsumerTest.java,45,,public class AbstractNotificationConsumerTest {
55,./TargetProjects/atlas/repository/src/main/java/org/apache/atlas/discovery/ClassificationSearchProcessor.java,45,,public class ClassificationSearchProcessor extends SearchProcessor {
56,./TargetProjects/atlas/repository/src/main/java/org/apache/atlas/discovery/EntitySearchProcessor.java,48,,public class EntitySearchProcessor extends SearchProcessor {
57,./TargetProjects/atlas/repository/src/main/java/org/apache/atlas/discovery/FreeTextSearchProcessor.java,40,,public class FreeTextSearchProcessor extends SearchProcessor {
58,./TargetProjects/atlas/repository/src/main/java/org/apache/atlas/discovery/FullTextSearchProcessor.java,39,,public class FullTextSearchProcessor extends SearchProcessor {
