Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/abdera/adapters/hibernate/src/main/java/org/apache/abdera/protocol/server/adapters/hibernate/AtomEntryResultTransformer.java,43,,"	private static Log logger = LogFactory.getLog(AtomEntryResultTransformer.class);"
2,./TargetProjects/abdera/adapters/hibernate/src/main/java/org/apache/abdera/protocol/server/adapters/hibernate/HibernateCollectionAdapter.java,56,,"	private static Log logger = LogFactory.getLog(HibernateCollectionAdapter.class);"
3,./TargetProjects/abdera/adapters/jcr/src/main/java/org/apache/abdera/protocol/server/adapters/jcr/JcrCollectionAdapter.java,68,,"    private final static Log log = LogFactory.getLog(JcrCollectionAdapter.class);"
4,./TargetProjects/abdera/core/src/main/java/org/apache/abdera/util/AbderaConfiguration.java,53,,"    private final static Log log = LogFactory.getLog(AbderaConfiguration.class);"
5,./TargetProjects/abdera/server/src/main/java/org/apache/abdera/protocol/server/ProviderHelper.java,60,,"    private final static Log log = LogFactory.getLog(ProviderHelper.class);"
6,./TargetProjects/abdera/server/src/main/java/org/apache/abdera/protocol/server/ServiceManager.java,37,,"    private final static Log log = LogFactory.getLog(ServiceManager.class);"
7,./TargetProjects/abdera/server/src/main/java/org/apache/abdera/protocol/server/context/AbstractRequestContext.java,45,,"    private final static Log log = LogFactory.getLog(AbstractRequestContext.class);"
8,./TargetProjects/abdera/server/src/main/java/org/apache/abdera/protocol/server/impl/AbstractCollectionAdapter.java,59,,"    private final static Log log = LogFactory.getLog(AbstractEntityCollectionAdapter.class);"
9,./TargetProjects/abdera/server/src/main/java/org/apache/abdera/protocol/server/impl/AbstractEntityCollectionAdapter.java,57,,"    private final static Log log = LogFactory.getLog(AbstractEntityCollectionAdapter.class);"
10,./TargetProjects/abdera/server/src/main/java/org/apache/abdera/protocol/server/impl/AbstractProvider.java,59,,"    private final static Log log = LogFactory.getLog(AbstractProvider.class);"
11,./TargetProjects/abdera/server/src/main/java/org/apache/abdera/protocol/server/servlet/AbderaServlet.java,52,,"    private final static Log log = LogFactory.getLog(AbderaServlet.class);"
12,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/bcfile/BCFile.java,84,,"  static final Log LOG = LogFactory.getLog(BCFile.class);"
13,./TargetProjects/ace/org.apache.ace.authentication.itest/src/org/apache/ace/it/authentication/LogAuthenticationTest.java,62,,"    private volatile Log m_auditLog;"
14,./TargetProjects/ace/org.apache.ace.log.itest/src/org/apache/ace/it/log/LogIntegrationTest.java,49,,"    private volatile Log m_auditLog;"
15,./TargetProjects/ace/org.apache.ace.log/src/org/apache/ace/log/listener/ListenerImpl.java,56,,"    volatile Log m_auditLog;"
16,./TargetProjects/ace/org.apache.ace.log/src/org/apache/ace/log/listener/LogProxy.java,30,,"    private Log m_log;"
17,./TargetProjects/ace/org.apache.ace.log/test/org/apache/ace/log/listener/LogTest.java,41,,"    private Log m_mockLog;"
18,./TargetProjects/activemq/activemq-tooling/activemq-maven-plugin/src/test/java/org/apache/activemq/maven/StartBrokerMojoTest.java,55,,"    private Log                         mockMavenLog;"
19,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ4475Test.java,55,,"    private final Log LOG = LogFactory.getLog(AMQ4475Test.class);"
20,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/store/jdbc/JmsTransactionCommitFailureTest.java,44,,"    private static final Log LOGGER = LogFactory.getLog(JmsTransactionCommitFailureTest.class);"
21,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/RequestReplyToTopicViaThreeNetworkHopsTest.java,66,,"    protected static Log LOG;"
22,./TargetProjects/activemq-activeio/activeio-core/src/main/java/org/apache/activeio/xnet/ServiceDaemon.java,32,,"    private static final Log log = LogFactory.getLog(ServiceDaemon.class);"
23,./TargetProjects/activemq-activeio/activeio-core/src/main/java/org/apache/activeio/xnet/ServiceLogger.java,29,,"    private final Log log;"
24,./TargetProjects/activemq-activeio/activeio-core/src/main/java/org/apache/activeio/xnet/ServicePool.java,34,,"    private static final Log log = LogFactory.getLog(ServicePool.class);"
25,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/active/JournalImplTest.java,42,,"    Log log = LogFactory.getLog(JournalImplTest.class);"
26,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/usecases/RequestReplyToTopicViaThreeNetworkHopsTest.java,66,,"   protected static Log LOG;"
