Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/accumulo/server/manager/src/main/java/org/apache/accumulo/manager/replication/StatusMaker.java,169,,"        return false;"
2,./TargetProjects/accumulo/server/manager/src/main/java/org/apache/accumulo/manager/replication/StatusMaker.java,227,,"        return false;"
3,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/actors/ProcessorBase.java,72,,"                  return;"
4,./TargetProjects/activemq-artemis/artemis-server/src/main/java/org/apache/activemq/artemis/core/server/impl/jdbc/JdbcNodeManager.java,159,,"            return;"
5,./TargetProjects/asterixdb/hyracks-fullstack/hyracks/hyracks-storage-am-btree/src/test/java/org/apache/hyracks/storage/am/btree/test/FramewriterTest.java,536,,"                        return;"
6,./TargetProjects/asterixdb/hyracks-fullstack/hyracks/hyracks-storage-am-btree/src/test/java/org/apache/hyracks/storage/am/btree/test/FramewriterTest.java,541,,"                        return;"
7,./TargetProjects/asterixdb/hyracks-fullstack/hyracks/hyracks-storage-am-btree/src/test/java/org/apache/hyracks/storage/am/btree/test/FramewriterTest.java,546,,"                        return;"
8,./TargetProjects/asterixdb/hyracks-fullstack/hyracks/hyracks-storage-am-lsm-common/src/main/java/org/apache/hyracks/storage/am/lsm/common/impls/ExternalIndexHarness.java,98,,"                return false;"
9,./TargetProjects/asterixdb-hyracks/hyracks/hyracks-storage-am-btree/src/test/java/org/apache/hyracks/storage/am/btree/test/FramewriterTest.java,565,,"                        return;"
10,./TargetProjects/asterixdb-hyracks/hyracks/hyracks-storage-am-btree/src/test/java/org/apache/hyracks/storage/am/btree/test/FramewriterTest.java,570,,"                        return;"
11,./TargetProjects/asterixdb-hyracks/hyracks/hyracks-storage-am-btree/src/test/java/org/apache/hyracks/storage/am/btree/test/FramewriterTest.java,575,,"                        return;"
12,./TargetProjects/asterixdb-hyracks/hyracks/hyracks-storage-am-lsm-common/src/main/java/org/apache/hyracks/storage/am/lsm/common/impls/ExternalIndexHarness.java,100,,"                return false;"
13,./TargetProjects/asterixdb-hyracks/hyracks/hyracks-storage-am-lsm-common/src/main/java/org/apache/hyracks/storage/am/lsm/common/impls/LSMHarness.java,165,,"                return false;"
14,./TargetProjects/attic-rave/rave-components/rave-web/src/main/java/org/apache/rave/portal/web/tag/JavaScriptDebugModeTag.java,61,,"            return debugMode;"
15,./TargetProjects/attic-rave/rave-components/rave-web/src/main/java/org/apache/rave/portal/web/tag/ShowStackTraceTag.java,61,,"            return showStackTrace;"
16,./TargetProjects/attic-whirr/examples/src/main/java/org/apache/whirr/examples/HadoopClusterExample.java,145,,"      return 0;"
17,./TargetProjects/avro/lang/java/tools/src/main/java/org/apache/avro/tool/DataFileRepairTool.java,260,,"          return 1;"
18,./TargetProjects/axis-axis2-java-core/modules/jaxws/src/org/apache/axis2/jaxws/client/dispatch/BaseDispatch.java,869,,"                return ExceptionFactory.makeWebServiceException(ioe);"
19,./TargetProjects/click/mock/src/org/apache/click/servlet/MockServletContext.java,796,,"                return false;"
20,./TargetProjects/cloudstack/engine/schema/src/main/java/com/cloud/user/dao/AccountDaoImpl.java,316,,"            return domain_id;"
21,./TargetProjects/cloudstack/plugins/hypervisors/simulator/src/main/java/com/cloud/agent/manager/MockVmManagerImpl.java,416,,"            return new PrepareForMigrationAnswer(cmd);"
22,./TargetProjects/cloudstack/plugins/hypervisors/xenserver/src/main/java/com/cloud/hypervisor/xenserver/resource/wrapper/xenbase/CitrixStopCommandWrapper.java,161,,"                            return new StopAnswer(command, ""Stop VM "" + vmName + "" Succeed"", platformstring, true);"
23,./TargetProjects/cloudstack/server/src/main/java/com/cloud/network/as/AutoScaleManagerImpl.java,846,,"                return false;"
24,./TargetProjects/cloudstack/server/src/main/java/com/cloud/network/as/AutoScaleManagerImpl.java,1066,,"                return null;"
25,./TargetProjects/cloudstack/server/src/main/java/com/cloud/network/as/AutoScaleManagerImpl.java,1093,,"                return null;"
26,./TargetProjects/cloudstack/server/src/main/java/com/cloud/network/rules/NicPlugInOutRules.java,161,,"                    return false;"
27,./TargetProjects/cocoon/blocks/cocoon-validation/cocoon-validation-impl/src/main/java/org/apache/cocoon/components/validation/impl/ValidationResolver.java,195,,"            if (this.closed) return;"
28,./TargetProjects/commons-bsf/src/main/java/org/apache/bsf/BSF_Log.java,390,,"        finally             { return false; }"
29,./TargetProjects/commons-bsf/src/main/java/org/apache/bsf/BSF_Log.java,406,,"        finally             { return false; }"
30,./TargetProjects/commons-bsf/src/main/java/org/apache/bsf/BSF_Log.java,422,,"        finally             { return false; }"
31,./TargetProjects/commons-bsf/src/main/java/org/apache/bsf/BSF_Log.java,438,,"        finally             { return false; }"
32,./TargetProjects/commons-bsf/src/main/java/org/apache/bsf/BSF_Log.java,454,,"        finally             { return false; }"
33,./TargetProjects/commons-bsf/src/main/java/org/apache/bsf/BSF_Log.java,470,,"        finally             { return false; }"
34,./TargetProjects/commons-jcs/src/experimental/org/apache/commons/jcs/auxiliary/lateral/http/remove/DeleteLateralCacheUnicaster.java,149,,"            return;"
35,./TargetProjects/derby/java/org.apache.derby.engine/org/apache/derby/impl/sql/catalog/SequenceUpdater.java,531,,"                return retval;"
36,./TargetProjects/drill/contrib/storage-hbase/src/main/java/org/apache/drill/exec/store/hbase/TableStatsCalculator.java,133,,"          return;"
37,./TargetProjects/drill/exec/java-exec/src/main/java/org/apache/drill/exec/work/metadata/MetadataProvider.java,214,,"        return new Response(RpcType.CATALOGS, respBuilder.build());"
38,./TargetProjects/drill/exec/java-exec/src/main/java/org/apache/drill/exec/work/metadata/MetadataProvider.java,271,,"        return new Response(RpcType.SCHEMAS, respBuilder.build());"
39,./TargetProjects/drill/exec/java-exec/src/main/java/org/apache/drill/exec/work/metadata/MetadataProvider.java,331,,"        return new Response(RpcType.TABLES, respBuilder.build());"
40,./TargetProjects/drill/exec/java-exec/src/main/java/org/apache/drill/exec/work/metadata/MetadataProvider.java,438,,"        return new Response(RpcType.COLUMNS, respBuilder.build());"
41,./TargetProjects/druid/extensions-core/druid-kerberos/src/main/java/org/apache/druid/security/kerberos/ResponseCookieHandler.java,69,,"      return delegate.handleResponse(httpResponse, trafficCop);"
42,./TargetProjects/flume/flume-ng-core/src/main/java/org/apache/flume/client/avro/AvroCLIClient.java,118,,"          return;"
43,./TargetProjects/ftpserver/core/src/main/java/org/apache/ftpserver/impl/PassivePorts.java,195,,"                    return false;"
44,./TargetProjects/geode/geode-core/src/distributedTest/java/org/apache/geode/distributed/DistributedLockServiceDUnitTest.java,186,,"              return lockCount.get();"
45,./TargetProjects/geode/geode-core/src/main/java/org/apache/geode/distributed/internal/locks/DLockGrantor.java,2748,,"                return;"
46,./TargetProjects/geode/geode-core/src/main/java/org/apache/geode/internal/cache/TXState.java,796,,"                return;"
47,./TargetProjects/geode/geode-core/src/main/java/org/apache/geode/internal/cache/map/RegionMapDestroy.java,376,,"              return;"
48,./TargetProjects/geode/geode-core/src/main/java/org/apache/geode/internal/cache/tier/sockets/ServerConnection.java,629,,"        return false;"
49,./TargetProjects/geode/geode-core/src/main/java/org/apache/geode/management/internal/ManagementFunction.java,130,,"          return; // member is closing or invalid member"
50,./TargetProjects/hadoop/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/sftp/SFTPFileSystem.java,670,,"        return null;"
51,./TargetProjects/hadoop/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/net/SocketIOWithTimeout.java,371,,"          return ret; "
52,./TargetProjects/hadoop/hadoop-hdfs-project/hadoop-hdfs-rbf/src/main/java/org/apache/hadoop/hdfs/tools/federation/RouterAdmin.java,1256,,"        return -1;"
53,./TargetProjects/hadoop/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/NameNode.java,1409,,"          return true; // aborted"
54,./TargetProjects/hadoop/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/tools/DFSAdmin.java,2116,,"        return -1;"
55,./TargetProjects/hadoop/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azurebfs/utils/DateTimeUtils.java,45,,"      return parsedTime;"
56,./TargetProjects/hadoop/hadoop-tools/hadoop-gridmix/src/main/java/org/apache/hadoop/mapred/gridmix/Gridmix.java,460,,"        return STARTUP_FAILED_ERROR;"
57,./TargetProjects/hadoop/hadoop-tools/hadoop-gridmix/src/main/java/org/apache/hadoop/mapred/gridmix/Gridmix.java,659,,"          return;"
58,./TargetProjects/hadoop/hadoop-tools/hadoop-gridmix/src/main/java/org/apache/hadoop/mapred/gridmix/Gridmix.java,663,,"          return;"
59,./TargetProjects/hadoop/hadoop-tools/hadoop-rumen/src/main/java/org/apache/hadoop/tools/rumen/TraceBuilder.java,194,,"          return;"
60,./TargetProjects/hadoop/hadoop-tools/hadoop-rumen/src/main/java/org/apache/hadoop/tools/rumen/TraceBuilder.java,194,,"          return;"
61,./TargetProjects/hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/util/WindowsBasedProcessTree.java,73,,"          return true;"
62,./TargetProjects/hadoop-common/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/net/SocketIOWithTimeout.java,370,,"          return ret; "
63,./TargetProjects/hadoop-common/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/net/TableMapping.java,124,,"            return null;"
64,./TargetProjects/hadoop-common/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/NameNode.java,1063,,"          return true; // aborted"
65,./TargetProjects/hadoop-common/hadoop-tools/hadoop-gridmix/src/main/java/org/apache/hadoop/mapred/gridmix/Gridmix.java,460,,"        return STARTUP_FAILED_ERROR;"
66,./TargetProjects/hadoop-common/hadoop-tools/hadoop-gridmix/src/main/java/org/apache/hadoop/mapred/gridmix/Gridmix.java,661,,"          return;"
67,./TargetProjects/hadoop-common/hadoop-tools/hadoop-gridmix/src/main/java/org/apache/hadoop/mapred/gridmix/Gridmix.java,665,,"          return;"
68,./TargetProjects/hadoop-common/hadoop-tools/hadoop-rumen/src/main/java/org/apache/hadoop/tools/rumen/TraceBuilder.java,194,,"          return;"
69,./TargetProjects/hadoop-common/hadoop-tools/hadoop-rumen/src/main/java/org/apache/hadoop/tools/rumen/TraceBuilder.java,194,,"          return;"
70,./TargetProjects/hadoop-common/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/util/WindowsBasedProcessTree.java,64,,"          return true;"
71,./TargetProjects/hadoop-mapreduce/src/contrib/gridmix/src/java/org/apache/hadoop/mapred/gridmix/Gridmix.java,536,,"          return;"
72,./TargetProjects/hadoop-mapreduce/src/contrib/gridmix/src/java/org/apache/hadoop/mapred/gridmix/Gridmix.java,540,,"          return;"
73,./TargetProjects/hadoop-mapreduce/src/java/org/apache/hadoop/mapred/JvmManager.java,477,,"            return;"
74,./TargetProjects/hadoop-mapreduce/src/test/mapred/org/apache/hadoop/mapred/TestJobExecutionAsDifferentUser.java,105,,"          return null;"
75,./TargetProjects/hadoop-mapreduce/src/tools/org/apache/hadoop/tools/rumen/TraceBuilder.java,193,,"          return;"
76,./TargetProjects/hadoop-mapreduce/src/tools/org/apache/hadoop/tools/rumen/TraceBuilder.java,193,,"          return;"
77,./TargetProjects/hadoop-ozone/hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/om/KeyManagerImpl.java,1979,,"        return new OzoneFileStatus(fileKeyInfo, scmBlockSize, false);"
78,./TargetProjects/hama/core/src/main/java/org/apache/hama/util/SocketIOWithTimeout.java,367,,"          return ret;"
79,./TargetProjects/harmony/classlib/modules/concurrent/src/test/java/AbstractExecutorServiceTest.java,148,,"                return;"
80,./TargetProjects/harmony/classlib/modules/concurrent/src/test/java/ScheduledExecutorTest.java,425,,"            try { p1.shutdown(); } catch(SecurityException ok) { return; }"
81,./TargetProjects/harmony/classlib/modules/concurrent/src/test/java/ScheduledExecutorTest.java,439,,"            try { p1.shutdown(); } catch(SecurityException ok) { return; }"
82,./TargetProjects/harmony/classlib/modules/concurrent/src/test/java/ScheduledExecutorTest.java,459,,"            try { p1.shutdown(); } catch(SecurityException ok) { return; }"
83,./TargetProjects/harmony/classlib/modules/concurrent/src/test/java/ThreadPoolExecutorTest.java,305,,"            try { p1.shutdown(); } catch(SecurityException ok) { return; }"
84,./TargetProjects/harmony/classlib/modules/concurrent/src/test/java/ThreadPoolExecutorTest.java,325,,"            try { p1.shutdown(); } catch(SecurityException ok) { return; }"
85,./TargetProjects/harmony/classlib/modules/concurrent/src/test/java/ThreadPoolExecutorTest.java,423,,"            } catch (SecurityException ok) { return; }"
86,./TargetProjects/harmony/classlib/modules/concurrent/src/test/java/ThreadPoolExecutorTest.java,944,,"            try { tpe.shutdown(); } catch(SecurityException ok) { return; }"
87,./TargetProjects/harmony/classlib/modules/concurrent/src/test/java/ThreadPoolExecutorTest.java,963,,"            try { tpe.shutdown(); } catch(SecurityException ok) { return; }"
88,./TargetProjects/harmony/classlib/modules/concurrent/src/test/java/ThreadPoolExecutorTest.java,982,,"            try { tpe.shutdown(); } catch(SecurityException ok) { return; }"
89,./TargetProjects/harmony/classlib/modules/concurrent/src/test/java/ThreadPoolExecutorTest.java,1003,,"            try { tpe.shutdown(); } catch(SecurityException ok) { return; }"
90,./TargetProjects/harmony-classlib/modules/concurrent/src/test/java/AbstractExecutorServiceTest.java,148,,"                return;"
91,./TargetProjects/harmony-classlib/modules/concurrent/src/test/java/ScheduledExecutorTest.java,425,,"            try { p1.shutdown(); } catch(SecurityException ok) { return; }"
92,./TargetProjects/harmony-classlib/modules/concurrent/src/test/java/ScheduledExecutorTest.java,439,,"            try { p1.shutdown(); } catch(SecurityException ok) { return; }"
93,./TargetProjects/harmony-classlib/modules/concurrent/src/test/java/ScheduledExecutorTest.java,459,,"            try { p1.shutdown(); } catch(SecurityException ok) { return; }"
94,./TargetProjects/harmony-classlib/modules/concurrent/src/test/java/ThreadPoolExecutorTest.java,305,,"            try { p1.shutdown(); } catch(SecurityException ok) { return; }"
95,./TargetProjects/harmony-classlib/modules/concurrent/src/test/java/ThreadPoolExecutorTest.java,325,,"            try { p1.shutdown(); } catch(SecurityException ok) { return; }"
96,./TargetProjects/harmony-classlib/modules/concurrent/src/test/java/ThreadPoolExecutorTest.java,423,,"            } catch (SecurityException ok) { return; }"
97,./TargetProjects/harmony-classlib/modules/concurrent/src/test/java/ThreadPoolExecutorTest.java,944,,"            try { tpe.shutdown(); } catch(SecurityException ok) { return; }"
98,./TargetProjects/harmony-classlib/modules/concurrent/src/test/java/ThreadPoolExecutorTest.java,963,,"            try { tpe.shutdown(); } catch(SecurityException ok) { return; }"
99,./TargetProjects/harmony-classlib/modules/concurrent/src/test/java/ThreadPoolExecutorTest.java,982,,"            try { tpe.shutdown(); } catch(SecurityException ok) { return; }"
100,./TargetProjects/harmony-classlib/modules/concurrent/src/test/java/ThreadPoolExecutorTest.java,1003,,"            try { tpe.shutdown(); } catch(SecurityException ok) { return; }"
101,./TargetProjects/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/procedure/Procedure.java,236,,"      return null;"
102,./TargetProjects/hbase/hbase-server/src/main/java/org/apache/hadoop/hbase/procedure/Subprocedure.java,221,,"      return null;"
103,./TargetProjects/hive/hbase-handler/src/java/org/apache/hadoop/hive/hbase/HBaseSplit.java,108,,"      return val;"
104,./TargetProjects/hive/llap-server/src/java/org/apache/hadoop/hive/llap/io/encoded/SerDeEncodedDataReader.java,1479,,"      if (currentFileRead != null) return;"
105,./TargetProjects/hive/llap-server/src/java/org/apache/hadoop/hive/llap/io/encoded/SerDeEncodedDataReader.java,1480,,"      if (offsetReader == null) return;"
106,./TargetProjects/hive/standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/ObjectStore.java,944,,"        return false;"
107,./TargetProjects/hive/standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/ObjectStore.java,1153,,"        return false;"
108,./TargetProjects/hive/standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/ObjectStore.java,9890,,"        return Collections.emptyList();"
109,./TargetProjects/hive/standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/ObjectStore.java,13909,,"        return ret;"
110,./TargetProjects/hive/standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/ObjectStore.java,13912,,"        return new ScheduledQueryPollResponse();"
111,./TargetProjects/incubator-gobblin/gobblin-cluster/src/main/java/org/apache/gobblin/cluster/GobblinHelixJobTask.java,210,,"        return new TaskResult(TaskResult.Status.FAILED,""Cannot delete jobs mapping for job : "" + jobUri);"
112,./TargetProjects/incubator-heron/heron/spi/src/java/org/apache/heron/spi/utils/NetworkUtils.java,182,,"        return new byte[0];"
113,./TargetProjects/incubator-heron/heron/spi/src/java/org/apache/heron/spi/utils/NetworkUtils.java,220,,"        return false;"
114,./TargetProjects/incubator-heron/heron/spi/src/java/org/apache/heron/spi/utils/NetworkUtils.java,271,,"          return false;"
115,./TargetProjects/incubator-heron/heron/spi/src/java/org/apache/heron/spi/utils/NetworkUtils.java,346,,"        return new byte[0];"
116,./TargetProjects/manifoldcf/connectors/solr/connector/src/main/java/org/apache/manifoldcf/crawler/connectors/solr/SolrIngesterConnector.java,343,,"          return ""Connection error: "" + e.getMessage();"
117,./TargetProjects/manifoldcf/connectors/tikaservice-rmeta/connector/src/main/java/org/apache/manifoldcf/agents/transformation/tikaservice/rmeta/TikaExtractor.java,377,,"          return ""Connection error: "" + e.getMessage();"
118,./TargetProjects/maven/maven-core/src/main/java/org/apache/maven/DefaultMaven.java,349,,"                return addExceptionToResult( result, e );"
119,./TargetProjects/mina-ftpserver/core/src/main/java/org/apache/ftpserver/impl/PassivePorts.java,195,,"                    return false;"
120,./TargetProjects/myfaces-trinidad/trinidad-api/src/main/java-templates/org/apache/myfaces/trinidad/component/UIXIteratorTemplate.java,401,,"      return (runner.getException() instanceof AbortProcessingException);"
121,./TargetProjects/netbeans/apisupport/maven.apisupport/src/org/netbeans/modules/maven/apisupport/MavenPlatformJarProvider.java,99,,"            return jars;"
122,./TargetProjects/netbeans/enterprise/j2eeserver/src/org/netbeans/modules/j2ee/deployment/impl/ServerInstance.java,1787,,"            return test.result();"
123,./TargetProjects/netbeans/enterprise/maven.jaxws/src/org/netbeans/modules/maven/jaxws/nodes/ClientHandlerButtonListener.java,209,,"                        return;"
124,./TargetProjects/netbeans/enterprise/tomcat5/src/org/netbeans/modules/tomcat5/util/Utils.java,61,,"                return true;"
125,./TargetProjects/netbeans/enterprise/web.beans/src/org/netbeans/modules/web/beans/analysis/WebBeansAnalysisTask.java,145,,"                return;"
126,./TargetProjects/netbeans/enterprise/web.jsf/src/org/netbeans/modules/web/jsf/impl/facesmodel/JSFConfigModelUtilities.java,139,,"                return false;"
127,./TargetProjects/netbeans/ide/mercurial/src/org/netbeans/modules/mercurial/util/HgProjectUtils.java,106,,"                return res;"
