Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/abdera/extensions/rss/src/main/java/org/apache/abdera/ext/rss/RssDateTime.java,91,,"                SimpleDateFormat sdf = new SimpleDateFormat(mask);"
2,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/iterators/user/TimestampFilter.java,42,,"    SimpleDateFormat dateParser = new SimpleDateFormat(""yyyyMMddHHmmssz"");"
3,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/util/format/DateFormatSupplier.java,86,,"        return new SimpleDateFormat(dateFormat);"
4,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/util/format/DateFormatSupplier.java,97,,"        return new SimpleDateFormat(dateFormat);"
5,./TargetProjects/accumulo/core/src/test/java/org/apache/accumulo/core/iterators/user/FilterTest.java,485,,"    SimpleDateFormat dateParser = new SimpleDateFormat(""yyyyMMddHHmmssz"");"
6,./TargetProjects/accumulo/server/base/src/main/java/org/apache/accumulo/server/compaction/FileCompactor.java,114,,"  private final DateFormat dateFormatter = new SimpleDateFormat(""yyyy/MM/dd HH:mm:ss.SSS"");"
7,./TargetProjects/accumulo/server/tracer/src/main/java/org/apache/accumulo/tracer/TraceFormatter.java,81,,"      SimpleDateFormat dateFormatter = new SimpleDateFormat(DATE_FORMAT);"
8,./TargetProjects/accumulo/test/src/main/java/org/apache/accumulo/test/ShellIT.java,435,,"        new SimpleDateFormat(org.apache.accumulo.core.util.format.DateStringFormatter.DATE_FORMAT);"
9,./TargetProjects/accumulo-examples/src/main/java/org/apache/accumulo/examples/mapreduce/WordCount.java,64,,"      String today = new SimpleDateFormat(""yyyyMMdd"").format(new Date());"
10,./TargetProjects/accumulo-testing/src/main/java/org/apache/accumulo/testing/continuous/TimeBinner.java,86,,"    SimpleDateFormat sdf = new SimpleDateFormat(opts.dateFormat);"
11,./TargetProjects/accumulo-testing/src/main/java/org/apache/accumulo/testing/continuous/UndefinedAnalyzer.java,173,,"      SimpleDateFormat sdf = new SimpleDateFormat(""yyyy-MM-dd HH:mm:ss,SSS"");"
12,./TargetProjects/accumulo-testing/src/main/java/org/apache/accumulo/testing/continuous/UndefinedAnalyzer.java,289,,"      SimpleDateFormat sdf = new SimpleDateFormat(""yyyy/MM/dd HH:mm:ss"");"
13,./TargetProjects/accumulo-wikisearch/ingest/src/main/java/org/apache/accumulo/examples/wikisearch/ingest/ArticleExtractor.java,40,,"  public final static SimpleDateFormat dateFormat = new SimpleDateFormat(""yyyy-MM-dd'T'HH:mm:ss'Z'Z"");"
14,./TargetProjects/activemq/activemq-broker/src/main/java/org/apache/activemq/broker/scheduler/JobSupport.java,29,,"        DateFormat dateFormat = new SimpleDateFormat(""yyyy-MM-dd HH:mm:ss"");"
15,./TargetProjects/activemq/activemq-broker/src/main/java/org/apache/activemq/broker/scheduler/JobSupport.java,35,,"         DateFormat dfm = new SimpleDateFormat(""yyyy-MM-dd HH:mm:ss"");"
16,./TargetProjects/activemq/activemq-broker/src/main/java/org/apache/activemq/broker/util/AuditLogEntry.java,36,,"    SimpleDateFormat formatter = new SimpleDateFormat(""dd-MM-yyyy HH:mm:ss,SSS"");"
17,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/broker/region/cursors/NegativeQueueTest.java,82,,"    public static SimpleDateFormat formatter = new SimpleDateFormat(""yyyyMMdd,hh:mm:ss:SSS"");"
18,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubProcessConcurrentCommitActivateNoDuplicateTest.java,674,,"                SimpleDateFormat df = new SimpleDateFormat(""HH:mm:ss.SSS"");"
19,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubProcessTest.java,493,,"                SimpleDateFormat df = new SimpleDateFormat(""HH:mm:ss.SSS"");"
20,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubProcessWithRestartTest.java,593,,"                SimpleDateFormat df = new SimpleDateFormat(""HH:mm:ss.SSS"");"
21,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/JdbcDurableSubDupTest.java,62,,"    SimpleDateFormat dtf = new SimpleDateFormat(""HH:mm:ss"");"
22,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/QueueDuplicatesTest.java,47,,"    private static DateFormat formatter = new SimpleDateFormat(""HH:mm:ss SSS"");"
23,./TargetProjects/activemq-artemis/examples/features/standard/scheduled-message/src/main/java/org/apache/activemq/artemis/jms/example/ScheduledMessageExample.java,68,,"         SimpleDateFormat formatter = new SimpleDateFormat(""EEE, d MMM yyyy HH:mm:ss"");"
24,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubProcessConcurrentCommitActivateNoDuplicateTest.java,631,,"            SimpleDateFormat df = new SimpleDateFormat(""HH:mm:ss.SSS"");"
25,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubProcessTest.java,495,,"            SimpleDateFormat df = new SimpleDateFormat(""HH:mm:ss.SSS"");"
26,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubProcessWithRestartTest.java,547,,"            SimpleDateFormat df = new SimpleDateFormat(""HH:mm:ss.SSS"");"
27,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/usecases/JdbcDurableSubDupTest.java,61,,"   SimpleDateFormat dtf = new SimpleDateFormat(""HH:mm:ss"");"
