Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/client/mapreduce/RangeInputSplit.java,57,,public class RangeInputSplit extends InputSplit implements Writable {
2,./TargetProjects/ambari-metrics/ambari-metrics-host-aggregator/src/main/java/org/apache/hadoop/metrics2/host/aggregator/TimelineMetricsHolder.java,38,,public class TimelineMetricsHolder {
3,./TargetProjects/asterixdb/asterixdb/asterix-om/src/main/java/org/apache/asterix/om/types/hierachy/DoubleToInt64TypeConvertComputer.java,33,,public class DoubleToInt64TypeConvertComputer implements ITypeConvertComputer {
4,./TargetProjects/attic-apex-core/api/src/main/java/com/datatorrent/api/StringCodec.java,233,,"  class Object2String<T> implements StringCodec<T>, Serializable"
5,./TargetProjects/attic-onami/persist/src/test/java/org/apache/onami/persist/test/multipersistenceunits/BaseMultiplePuTest.java,32,,public abstract class BaseMultiplePuTest
6,./TargetProjects/brooklyn-server/locations/jclouds/src/main/java/org/apache/brooklyn/location/jclouds/networking/JcloudsLocationSecurityGroupCustomizer.java,92,,public class JcloudsLocationSecurityGroupCustomizer extends BasicJcloudsLocationCustomizer {
7,./TargetProjects/cassandra/src/java/org/apache/cassandra/db/marshal/CompositeType.java,63,,public class CompositeType extends AbstractCompositeType
8,./TargetProjects/cassandra/src/java/org/apache/cassandra/db/marshal/DynamicCompositeType.java,59,,public class DynamicCompositeType extends AbstractCompositeType
9,./TargetProjects/cassandra/src/java/org/apache/cassandra/db/marshal/ListType.java,36,,public class ListType<T> extends CollectionType<List<T>>
10,./TargetProjects/cassandra/src/java/org/apache/cassandra/db/marshal/MapType.java,36,,"public class MapType<K, V> extends CollectionType<Map<K, V>>"
11,./TargetProjects/cassandra/src/java/org/apache/cassandra/db/marshal/ReversedType.java,32,,public class ReversedType<T> extends AbstractType<T>
12,./TargetProjects/cassandra/src/java/org/apache/cassandra/db/marshal/SetType.java,34,,public class SetType<T> extends CollectionType<Set<T>>
13,./TargetProjects/cayenne/cayenne-di/src/main/java/org/apache/cayenne/di/Injector.java,30,,public interface Injector {
14,./TargetProjects/cayenne/cayenne-di/src/main/java/org/apache/cayenne/di/spi/DefaultInjector.java,37,,public class DefaultInjector implements Injector {
15,./TargetProjects/cloudstack/server/src/main/java/com/cloud/server/StatsCollector.java,156,,"public class StatsCollector extends ManagerBase implements ComponentMethodInterceptable, Configurable {"
16,./TargetProjects/cocoon/blocks/cocoon-ojb/cocoon-ojb-impl/src/main/java/org/apache/cocoon/ojb/odmg/components/ODMG.java,31,,public interface ODMG extends Component {
17,./TargetProjects/cocoon/blocks/cocoon-ojb/cocoon-ojb-impl/src/main/java/org/apache/cocoon/ojb/odmg/components/ODMGImpl.java,40,,public class ODMGImpl extends AbstractLogEnabled
18,./TargetProjects/commons-bcel/src/main/java/org/apache/bcel/classfile/ConstantUtf8.java,57,,public final class ConstantUtf8 extends Constant {
