Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/client/mapreduce/RangeInputSplit.java,365,,"  public org.apache.accumulo.core.client.Instance"
2,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/clientImpl/mapreduce/lib/ConfiguratorBase.java,345,,"  public static org.apache.accumulo.core.client.Instance getInstance(Class<?> implementingClass,"
3,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/conf/DefaultConfiguration.java,43,,"  public static DefaultConfiguration getInstance() {"
4,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/file/FileOperations.java,68,,"  public static FileOperations getInstance() {"
5,./TargetProjects/accumulo/server/base/src/main/java/org/apache/accumulo/server/conf/ZooConfigurationFactory.java,49,,"  ZooConfiguration getInstance(ServerContext context, ZooCacheFactory zcf,"
6,./TargetProjects/accumulo/server/base/src/main/java/org/apache/accumulo/server/tablets/TabletTime.java,49,,"  public static TabletTime getInstance(MetadataTime metadataTime) throws IllegalArgumentException {"
7,./TargetProjects/accumulo-wikisearch/ingest/src/main/java/org/apache/accumulo/examples/wikisearch/ingest/WikipediaConfiguration.java,114,,"  public static Instance getInstance(Configuration conf) {"
8,./TargetProjects/ace/org.apache.ace.useradmin/src/org/apache/ace/useradmin/repository/xstream/XStreamFactory.java,29,,"    public static XStream getInstance() {"
9,./TargetProjects/activemq-artemis/artemis-core-client/src/main/java/org/apache/activemq/artemis/core/protocol/core/impl/ActiveMQClientProtocolManagerFactory.java,43,,"   public static final ActiveMQClientProtocolManagerFactory getInstance(ServerLocator locator) {"
10,./TargetProjects/activemq-artemis/artemis-server/src/main/java/org/apache/activemq/artemis/core/server/cluster/ActiveMQServerSideProtocolManagerFactory.java,51,,"   public static ActiveMQServerSideProtocolManagerFactory getInstance(ServerLocator locator, StorageManager storageManager) {"
11,./TargetProjects/ambari/ambari-server/src/main/java/org/apache/ambari/server/controller/internal/InstanceResourceProvider.java,204,,"  protected static Instance getInstance(String feedName, String instanceId, Map<String, Object> propertyMap) {"
12,./TargetProjects/ambari/ambari-server/src/main/java/org/apache/ambari/server/events/publishers/AgentCommandsPublisher.java,221,,"    public static KerberosCommandParameterProcessor getInstance(String command, Clusters clusters, ExecutionCommand executionCommand, KerberosKeytabController kerberosKeytabController) {"
13,./TargetProjects/ambari-logsearch/ambari-logsearch-logfeeder-container-registry/src/main/java/org/apache/ambari/logfeeder/container/docker/DockerContainerRegistry.java,125,,"  public static synchronized DockerContainerRegistry getInstance(Properties dockerConfig) {"
14,./TargetProjects/ant/src/main/org/apache/tools/ant/types/EnumeratedAttribute.java,69,,"    public static EnumeratedAttribute getInstance("
15,./TargetProjects/ant/src/tests/junit/org/apache/tools/ant/types/DirSetTest.java,47,,"    protected AbstractFileSet getInstance() {"
16,./TargetProjects/ant/src/tests/junit/org/apache/tools/ant/types/FileSetTest.java,42,,"    protected AbstractFileSet getInstance() {"
17,./TargetProjects/ant/src/tests/junit/org/apache/tools/ant/types/TarFileSetTest.java,39,,"    protected AbstractFileSet getInstance() {"
18,./TargetProjects/ant/src/tests/junit/org/apache/tools/ant/types/ZipFileSetTest.java,38,,"    protected AbstractFileSet getInstance() {"
19,./TargetProjects/ant/src/tests/junit/org/apache/tools/ant/types/resources/MultiRootFileSetTest.java,46,,"    protected AbstractFileSet getInstance() {"
20,./TargetProjects/aries/blueprint/blueprint-noosgi/src/main/java/org/apache/aries/blueprint/container/BeanRecipe.java,251,,"    private Object getInstance() throws ComponentDefinitionException {"
21,./TargetProjects/aries/blueprint/itests/blueprint-itests/src/test/java/org/apache/aries/blueprint/itests/Helper.java,156,,"    private static <T>T getInstance(BlueprintContainer container, String name, Class<T> clazz) {"
22,./TargetProjects/aries/subsystem/subsystem-core/src/main/java/org/apache/aries/subsystem/core/archive/CardinalityDirective.java,28,,"	public static CardinalityDirective getInstance(String value) {"
23,./TargetProjects/aries/subsystem/subsystem-core/src/main/java/org/apache/aries/subsystem/core/archive/EffectiveDirective.java,28,,"	public static EffectiveDirective getInstance(String value) {"
24,./TargetProjects/aries/subsystem/subsystem-core/src/main/java/org/apache/aries/subsystem/core/archive/ProvisionPolicyDirective.java,28,,"	public static ProvisionPolicyDirective getInstance(String value) {"
25,./TargetProjects/aries/subsystem/subsystem-core/src/main/java/org/apache/aries/subsystem/core/archive/VisibilityDirective.java,26,,"	public static VisibilityDirective getInstance(String value) {"
26,./TargetProjects/aries/subsystem/subsystem-core/src/main/java/org/apache/aries/subsystem/core/internal/Activator.java,55,,"	public static Activator getInstance() {"
27,./TargetProjects/aries-jax-rs-whiteboard/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/cxf/PrototypeServiceReferenceResourceProvider.java,41,,"    public Object getInstance(Message m) {"
28,./TargetProjects/asterixdb/asterixdb/asterix-external-data/src/main/java/org/apache/asterix/external/library/PythonLibraryEvaluator.java,204,,"    public static PythonLibraryEvaluator getInstance(IExternalFunctionInfo finfo, ILibraryManager libMgr,"
29,./TargetProjects/asterixdb/asterixdb/asterix-external-data/src/main/java/org/apache/asterix/external/parser/jackson/AbstractObjectPool.java,41,,"    public E getInstance() {"
30,./TargetProjects/atlas/addons/hbase-bridge/src/main/java/org/apache/atlas/hbase/bridge/HBaseAtlasHook.java,133,,"    public static HBaseAtlasHook getInstance() {"
31,./TargetProjects/atlas/plugin-classloader/src/main/java/org/apache/atlas/plugin/classloader/AtlasPluginClassLoader.java,61,,"    public static AtlasPluginClassLoader getInstance(final String pluginType, final Class<?> pluginClass) throws PrivilegedActionException {"
32,./TargetProjects/attic-apex-core/api/src/main/java/com/datatorrent/api/StringCodec.java,249,,"    public static <T> StringCodec<T> getInstance(String separator, String propertySeparator)"
33,./TargetProjects/attic-apex-core/api/src/main/java/com/datatorrent/api/StringCodec.java,338,,"    public static <K, V> StringCodec<Map<K, V>> getInstance(String separator, String equal, StringCodec<K> keyCodec, StringCodec<V> valueCodec)"
