Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/abdera/dependencies/i18n/src/main/java/org/apache/abdera/i18n/text/io/CharsetSniffingInputStream.java,60,,"        public int equals(byte[] bom) {"
2,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/clientImpl/TabletLocator.java,104,,"    public boolean equals(LocatorKey lk) {"
3,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/constraints/Violations.java,57,,"    public boolean equals(CVSKey ocvsk) {"
4,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/data/Column.java,166,,"  public boolean equals(Column that) {"
5,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/data/Mutation.java,1712,,"  public boolean equals(Mutation m) {"
6,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/data/Range.java,370,,"  public boolean equals(Range otherRange) {"
7,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/iteratorsImpl/conf/ColumnUtil.java,73,,"    public boolean equals(ColFamHashKey ohk) {"
8,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/iteratorsImpl/conf/ColumnUtil.java,117,,"    public boolean equals(ColHashKey ohk) {"
9,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/security/ColumnVisibility.java,510,,"  public boolean equals(ColumnVisibility otherLe) {"
10,./TargetProjects/accumulo/core/src/main/java/org/apache/accumulo/core/util/LocalityGroupUtil.java,281,,"    public boolean equals(Mutation m) {"
11,./TargetProjects/accumulo/core/src/main/thrift-gen-java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,5257,,"    public boolean equals(getRootTabletLocation_args that) {"
12,./TargetProjects/accumulo/core/src/main/thrift-gen-java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,5568,,"    public boolean equals(getRootTabletLocation_result that) {"
13,./TargetProjects/accumulo/core/src/main/thrift-gen-java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,5878,,"    public boolean equals(getInstanceId_args that) {"
14,./TargetProjects/accumulo/core/src/main/thrift-gen-java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,6189,,"    public boolean equals(getInstanceId_result that) {"
15,./TargetProjects/accumulo/core/src/main/thrift-gen-java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,6499,,"    public boolean equals(getZooKeepers_args that) {"
16,./TargetProjects/accumulo/core/src/main/thrift-gen-java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,6810,,"    public boolean equals(getZooKeepers_result that) {"
17,./TargetProjects/accumulo/core/src/main/thrift-gen-java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,7501,,"    public boolean equals(bulkImportFiles_args that) {"
18,./TargetProjects/accumulo/core/src/main/thrift-gen-java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,8340,,"    public boolean equals(bulkImportFiles_result that) {"
19,./TargetProjects/accumulo/core/src/main/thrift-gen-java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,8903,,"    public boolean equals(isActive_args that) {"
20,./TargetProjects/accumulo/core/src/main/thrift-gen-java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,9324,,"    public boolean equals(isActive_result that) {"
21,./TargetProjects/accumulo/core/src/main/thrift-gen-java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,9687,,"    public boolean equals(ping_args that) {"
22,./TargetProjects/accumulo/core/src/main/thrift-gen-java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,10059,,"    public boolean equals(ping_result that) {"
23,./TargetProjects/accumulo/core/src/main/thrift-gen-java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,10497,,"    public boolean equals(getDiskUsage_args that) {"
24,./TargetProjects/accumulo/core/src/main/thrift-gen-java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,11078,,"    public boolean equals(getDiskUsage_result that) {"
25,./TargetProjects/accumulo/core/src/main/thrift-gen-java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,11642,,"    public boolean equals(listLocalUsers_args that) {"
