Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/JmsTempDestinationTest.java,113,,"            assertTrue(""failed to throw an exception"", true);"
2,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/JmsTempDestinationTest.java,295,,"            assertTrue(""failed to throw an exception"", true);"
3,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/JmsTempDestinationTest.java,320,,"            assertTrue(""failed to throw an exception"", true);"
4,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ3274Test.java,327,,"        assertTrue(!testError);"
5,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ4361Test.java,144,,"            assertFalse(""Closing thread didn't complete in 10 seconds"", true);"
6,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ4361Test.java,150,,"            assertFalse(""Publishing thread didn't complete in 10 seconds"", true);"
7,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQBytesMessageTest.java,73,,"            assertTrue(false);"
8,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQBytesMessageTest.java,85,,"            assertTrue(false);"
9,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQBytesMessageTest.java,97,,"            assertTrue(false);"
10,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQBytesMessageTest.java,109,,"            assertTrue(false);"
11,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQBytesMessageTest.java,121,,"            assertTrue(false);"
12,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQBytesMessageTest.java,133,,"            assertTrue(false);"
13,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQBytesMessageTest.java,145,,"            assertTrue(false);"
14,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQBytesMessageTest.java,157,,"            assertTrue(false);"
15,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQBytesMessageTest.java,169,,"            assertTrue(false);"
16,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQBytesMessageTest.java,181,,"            assertTrue(false);"
17,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQBytesMessageTest.java,193,,"            assertTrue(false);"
18,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQBytesMessageTest.java,206,,"            assertTrue(false);"
19,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQBytesMessageTest.java,229,,"            assertTrue(false);"
20,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQBytesMessageTest.java,268,,"            assertTrue(false);"
21,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQStreamMessageTest.java,102,,"            assertTrue(false);"
22,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQStreamMessageTest.java,154,,"            assertTrue(false);"
23,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQStreamMessageTest.java,210,,"            assertTrue(false);"
24,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQStreamMessageTest.java,274,,"            assertTrue(false);"
25,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQStreamMessageTest.java,334,,"            assertTrue(false);"
26,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQStreamMessageTest.java,403,,"            assertTrue(false);"
27,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQStreamMessageTest.java,463,,"            assertTrue(false);"
28,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQStreamMessageTest.java,527,,"            assertTrue(false);"
29,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQStreamMessageTest.java,587,,"            assertTrue(false);"
30,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQStreamMessageTest.java,608,,"            assertTrue(false);"
31,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQStreamMessageTest.java,671,,"            assertTrue(false);"
32,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQStreamMessageTest.java,738,,"            assertTrue(false);"
33,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/console/command/AMQ3410Test.java,129,,"		assertFalse(""No exception caught"", true);"
34,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/console/command/AMQ3410Test.java,155,,"			assertFalse(e.toString(), true);"
35,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/console/command/AMQ3410Test.java,157,,"		assertFalse(""No exception caught"", true);"
36,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/console/command/AMQ3410Test.java,183,,"		assertFalse(true);"
37,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/console/command/AMQ3411Test.java,163,,"			assertFalse(e.toString(), true);"
38,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/console/command/AMQ3411Test.java,165,,"		assertFalse(""No exception caught"", true);"
39,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/console/command/AMQ3411Test.java,193,,"			assertFalse(e.toString(), true);"
40,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/console/command/AMQ3411Test.java,195,,"		assertFalse(""No exception caught"", true);"
41,./TargetProjects/activemq/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/RequestReplyToTopicViaThreeNetworkHopsTest.java,458,,"        assertTrue(""no errors"", !testError);"
