Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/activemq-activeio/activeio-core/src/test/java/org/apache/activeio/journal/JournalRWPerfToolSupport.java,99,,"					while( (pos=journal.getNextRecordLocation(pos))!=null ) {"
2,./TargetProjects/activemq-artemis/artemis-cli/src/main/java/org/apache/activemq/artemis/cli/commands/messages/ConsumerThread.java,188,,"                  if (++count % 1000 == 0) {"
3,./TargetProjects/activemq-artemis/artemis-cli/src/main/java/org/apache/activemq/artemis/cli/commands/messages/ProducerThread.java,206,,"         while ((count = reader.read(buffer)) != -1) {"
4,./TargetProjects/activemq-artemis/artemis-cli/src/main/java/org/apache/activemq/artemis/cli/commands/tools/journal/DecodeJournal.java,130,,"      while ((line = buffReader.readLine()) != null) {"
5,./TargetProjects/activemq-artemis/artemis-cli/src/main/java/org/apache/activemq/artemis/cli/commands/tools/xml/XmlDataExporter.java,517,,"         while (depth-- > 0) {"
6,./TargetProjects/activemq-artemis/artemis-cli/src/main/java/org/apache/activemq/artemis/cli/process/ProcessBuilder.java,145,,"            while ((line = br.readLine()) != null) {"
7,./TargetProjects/activemq-artemis/artemis-cli/src/main/java/org/apache/activemq/artemis/util/ServerUtil.java,222,,"            while ((line = br.readLine()) != null) {"
8,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/core/buffers/impl/ChannelBufferWrapper.java,37,,"      while ((parent = buffer.unwrap()) != null && parent != buffer) { // this last part is just in case the semantic"
9,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/core/server/NetworkHealthCheck.java,412,,"      while ((inputLine = reader.readLine()) != null) {"
10,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/Base64.java,899,,"               while ((length = gzis.read(buffer)) >= 0) {"
11,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/Base64.java,1051,,"         while ((numBytes = bis.read(buffer, length, 4096)) >= 0) {"
12,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/Base64.java,1096,,"         while ((numBytes = bis.read(buffer, length, 4096)) >= 0) {"
13,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/Base64.java,1132,,"         while ((read = in.read(buffer)) >= 0) {"
14,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/Base64.java,1169,,"         while ((read = in.read(buffer)) >= 0) {"
15,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/InetAddresses.java,239,,"         if (parts[0].length() == 0 && --partsHi != 0) {"
16,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/InetAddresses.java,242,,"         if (parts[parts.length - 1].length() == 0 && --partsLo != 0) {"
17,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/SpawnedVMSupport.java,392,,"            while ((line = br.readLine()) != null) {"
18,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/UUIDTimer.java,293,,"         if (++counter > UUIDTimer.MAX_WAIT_COUNT) {"
19,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/actors/ProcessorBase.java,64,,"               while (!requestedForcedShutdown && (task = tasks.poll()) != null) {"
20,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/actors/ProcessorBase.java,118,,"      while ((item = tasks.poll()) != null) {"
21,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/collections/ConcurrentAppendOnlyChunkedList.java,264,,"      while ((e = buffer.get(i)) == null) {"
22,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/uri/URISupport.java,331,,"            if (--depth == 0) {"
23,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/uri/URISupport.java,553,,"         while ((i = str.indexOf('(', i)) >= 0) {"
