Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/cloudstack/engine/orchestration/src/main/java/org/apache/cloudstack/engine/orchestration/NetworkOrchestrator.java,1791,,"                    ((RedundantResource) element).finalize(network,success);"
2,./TargetProjects/cloudstack/framework/db/src/main/java/com/cloud/utils/db/GenericQueryBuilder.java,135,,"        finalize();"
3,./TargetProjects/cloudstack/framework/db/src/main/java/com/cloud/utils/db/GenericQueryBuilder.java,166,,"        finalize();"
4,./TargetProjects/cloudstack/framework/db/src/main/java/com/cloud/utils/db/GenericSearchBuilder.java,228,,"        super.finalize();"
5,./TargetProjects/cloudstack/framework/db/src/main/java/com/cloud/utils/db/SearchBase.java,263,,"            finalize();"
6,./TargetProjects/commons-digester/core/src/main/java/org/apache/commons/digester3/ObjectCreateRule.java,388,,"            proxyManager.finalize( top );"
7,./TargetProjects/druid/indexing-service/src/main/java/org/apache/druid/indexing/seekablestream/SeekableStreamIndexTaskClient.java,301,,"    log.debug(""SetEndOffsets task[%s] endOffsets[%s] finalize[%s]"", id, endOffsets, finalize);"
8,./TargetProjects/druid/indexing-service/src/main/java/org/apache/druid/indexing/seekablestream/SeekableStreamIndexTaskClient.java,348,,"    return doAsync(() -> setEndOffsets(id, endOffsets, finalize));"
9,./TargetProjects/druid/indexing-service/src/main/java/org/apache/druid/indexing/seekablestream/supervisor/SeekableStreamSupervisor.java,2632,,"    if (finalize) {"
10,./TargetProjects/druid/indexing-service/src/main/java/org/apache/druid/indexing/seekablestream/supervisor/SeekableStreamSupervisor.java,2761,,"                setEndOffsetFutures.add(taskClient.setEndOffsetsAsync(taskId, endOffsets, finalize));"
11,./TargetProjects/druid/processing/src/main/java/org/apache/druid/query/groupby/having/DimFilterHavingSpec.java,58,,"    this.finalize = finalize == null ? DEFAULT_FINALIZE : finalize;"
12,./TargetProjects/druid/processing/src/main/java/org/apache/druid/query/groupby/having/DimFilterHavingSpec.java,70,,"    return finalize;"
13,./TargetProjects/druid/processing/src/main/java/org/apache/druid/query/groupby/having/DimFilterHavingSpec.java,97,,"    if (finalize && !finalizers.isEmpty()) {"
14,./TargetProjects/druid/processing/src/main/java/org/apache/druid/query/groupby/having/DimFilterHavingSpec.java,130,,"    return finalize == that.finalize &&"
15,./TargetProjects/druid/processing/src/main/java/org/apache/druid/query/groupby/having/DimFilterHavingSpec.java,137,,"    return Objects.hash(dimFilter, finalize);"
16,./TargetProjects/druid/processing/src/main/java/org/apache/druid/query/groupby/having/DimFilterHavingSpec.java,145,,"           "", finalize="" + finalize +"
17,./TargetProjects/druid/processing/src/test/java/org/apache/druid/query/aggregation/MetricManipulatorFnsTest.java,149,,"    this.finalize = finalize;"
18,./TargetProjects/druid/processing/src/test/java/org/apache/druid/query/aggregation/MetricManipulatorFnsTest.java,165,,"    Assert.assertEquals(finalize, MetricManipulatorFns.finalizing().manipulate(aggregatorFactory, agg));"
19,./TargetProjects/maven-sandbox/jxr/maven-jxr/maven-jxr-java/src/main/java/org/apache/maven/jxr/java/src/html/Pass1.java,217,,"        symbolTable.finalize();"
20,./TargetProjects/openwebbeans/webbeans-impl/src/main/java/org/apache/webbeans/hash/XxHash64.java,162,,"        return finalize(hash);"
21,./TargetProjects/tajo/tajo-core/src/main/java/org/apache/tajo/engine/codegen/TajoClassLoader.java,28,,"    super.finalize();"
22,./TargetProjects/tuscany-sca-2/modules/endpoint-tribes/src/main/java/org/apache/tuscany/sca/endpoint/tribes/AbstractReplicatedMap.java,324,,"        finalize();"
