Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-persist-jdbc/src/main/java/org/apache/aries/samples/ariestrader/persist/jdbc/TradeJdbc.java,68,,"    private static BigDecimal ZERO = new BigDecimal(0.0);"
2,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-persist-jdbc/src/main/java/org/apache/aries/samples/ariestrader/persist/jdbc/TradeJdbc.java,223,,"            total = (new BigDecimal(quantity).multiply(price)).add(orderFee);"
3,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-persist-jdbc/src/main/java/org/apache/aries/samples/ariestrader/persist/jdbc/TradeJdbc.java,294,,"            total = (new BigDecimal(quantity).multiply(price)).subtract(orderFee);"
4,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-persist-jpa-am/src/main/java/org/apache/aries/samples/ariestrader/persist/jpa/am/TradeJpaAm.java,192,,"            total = (new BigDecimal(quantity).multiply(price)).add(orderFee);"
5,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-persist-jpa-am/src/main/java/org/apache/aries/samples/ariestrader/persist/jpa/am/TradeJpaAm.java,278,,"            total = (new BigDecimal(quantity).multiply(price)).subtract(orderFee);"
6,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-persist-jpa-cm/src/main/java/org/apache/aries/samples/ariestrader/persist/jpa/cm/TradeJpaCm.java,175,,"            total = (new BigDecimal(quantity).multiply(price)).add(orderFee);"
7,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-persist-jpa-cm/src/main/java/org/apache/aries/samples/ariestrader/persist/jpa/cm/TradeJpaCm.java,239,,"            total = (new BigDecimal(quantity).multiply(price)).subtract(orderFee);"
8,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-util/src/main/java/org/apache/aries/samples/ariestrader/util/FinancialUtils.java,26,,"    public final static BigDecimal ZERO = (new BigDecimal(0.00)).setScale(SCALE);"
9,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-util/src/main/java/org/apache/aries/samples/ariestrader/util/FinancialUtils.java,27,,"    public final static BigDecimal ONE = (new BigDecimal(1.00)).setScale(SCALE);"
10,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-util/src/main/java/org/apache/aries/samples/ariestrader/util/FinancialUtils.java,28,,"    public final static BigDecimal HUNDRED = (new BigDecimal(100.00)).setScale(SCALE);"
11,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-util/src/main/java/org/apache/aries/samples/ariestrader/util/TradeConfig.java,133,,"		PENNY_STOCK_PRICE = new BigDecimal(0.01);"
12,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-util/src/main/java/org/apache/aries/samples/ariestrader/util/TradeConfig.java,136,,"		PENNY_STOCK_RECOVERY_MIRACLE_MULTIPLIER = new BigDecimal(600.0);"
13,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-util/src/main/java/org/apache/aries/samples/ariestrader/util/TradeConfig.java,152,,"		MAXIMUM_STOCK_SPLIT_MULTIPLIER = new BigDecimal(0.5);"
14,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-util/src/main/java/org/apache/aries/samples/ariestrader/util/TradeConfig.java,398,,"	private final static BigDecimal ONE = new BigDecimal(1.0);"
15,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-util/src/main/java/org/apache/aries/samples/ariestrader/util/TradeConfig.java,407,,"			(new BigDecimal(percentGain)).setScale(2, BigDecimal.ROUND_HALF_UP);"
16,./TargetProjects/aries/samples/ariestrader/modules/ariestrader-web/src/main/java/org/apache/aries/samples/ariestrader/web/TradeBuildDB.java,209,,"                        email, creditcard, new BigDecimal(initialBalance));"
17,./TargetProjects/camel/components/camel-bindy/src/test/java/org/apache/camel/dataformat/bindy/fixed/implied/BindyImpliedTest.java,76,,"        rec.setField5(new BigDecimal(60.52));"
18,./TargetProjects/camel/components/camel-bindy/src/test/java/org/apache/camel/dataformat/bindy/fixed/implied/BindyImpliedTest.java,77,,"        rec.setField6(new BigDecimal(70.62));"
19,./TargetProjects/camel/components/camel-bindy/src/test/java/org/apache/camel/dataformat/bindy/fixed/number/BindyNumberTest.java,71,,"        rec.field1 = new BigDecimal(123.45);"
20,./TargetProjects/camel/components/camel-bindy/src/test/java/org/apache/camel/dataformat/bindy/fixed/number/BindyNumberTest.java,72,,"        rec.field2 = new BigDecimal(10.00);"
21,./TargetProjects/camel/components/camel-bindy/src/test/java/org/apache/camel/dataformat/bindy/fixed/number/BindyNumberTest.java,73,,"        rec.field3 = new BigDecimal(10.00);"
22,./TargetProjects/camel/components/camel-braintree/src/test/java/org/apache/camel/component/braintree/DisputeGatewayIT.java,333,,"                        .amount(new BigDecimal(amount))"
23,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/ObjectIdTest.java,215,,"        hm2.put(""KEY2"", new BigDecimal(2.00));"
24,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/ObjectIdTest.java,301,,"        hm2.put(""KEY2"", new BigDecimal(2.00));"
25,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/access/DataContextEJBQLQueryIT.java,455,,"        query.setParameter(1, new BigDecimal(5000.00));"
26,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/access/DataContextEJBQLQueryIT.java,467,,"        query.setParameter(""param"", new BigDecimal(5000.00));"
27,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/access/DataContextFlattenedAttributesIT.java,108,,"                    new BigDecimal(1000d),"
28,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/access/DataContextFlattenedAttributesIT.java,312,,"        o1.setEstimatedPrice(new BigDecimal(1.0d));"
29,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/access/DataContextFlattenedAttributesIT.java,341,,"        o1.setEstimatedPrice(new BigDecimal(1.0d));"
30,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/access/DataContextFlattenedAttributesIT.java,367,,"        o1.setEstimatedPrice(new BigDecimal(1d));"
31,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/access/DataContextFlattenedAttributesIT.java,375,,"        o1.setEstimatedPrice(new BigDecimal(2d));"
32,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/access/DataContextFlattenedAttributesIT.java,391,,"            o1.setEstimatedPrice(new BigDecimal(1d));"
33,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/access/DataContextFlattenedAttributesIT.java,406,,"            o2.setEstimatedPrice(new BigDecimal(2d));"
34,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/exp/parser/ASTBetweenTest.java,35,,"		Expression between = new ASTBetween(new ASTObjPath(""estimatedPrice""), new BigDecimal(10d), new BigDecimal(20d));"
35,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/exp/parser/ASTBetweenTest.java,35,,"		Expression between = new ASTBetween(new ASTObjPath(""estimatedPrice""), new BigDecimal(10d), new BigDecimal(20d));"
36,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/exp/parser/ASTBetweenTest.java,36,,"		Expression notBetween = new ASTNotBetween(new ASTObjPath(""estimatedPrice""), new BigDecimal(10d),"
37,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/exp/parser/ASTBetweenTest.java,37,,"				new BigDecimal(20d));"
38,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/exp/parser/ASTBetweenTest.java,62,,"		Expression btNull = new ASTBetween(new ASTObjPath(""estimatedPrice""), new BigDecimal(10d), new BigDecimal(20d));"
39,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/exp/parser/ASTBetweenTest.java,62,,"		Expression btNull = new ASTBetween(new ASTObjPath(""estimatedPrice""), new BigDecimal(10d), new BigDecimal(20d));"
40,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/exp/parser/ASTBetweenTest.java,63,,"		Expression btNotNull = new ASTNotBetween(new ASTObjPath(""estimatedPrice""), new BigDecimal(10d), new BigDecimal("
41,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/exp/parser/ASTBetweenTest.java,63,,"		Expression btNotNull = new ASTNotBetween(new ASTObjPath(""estimatedPrice""), new BigDecimal(10d), new BigDecimal("
42,./TargetProjects/cayenne/cayenne-server/src/test/java/org/apache/cayenne/exp/parser/ASTGreaterOrEqualTest.java,34,,"		Expression e = new ASTGreaterOrEqual(new ASTObjPath(""estimatedPrice""), new BigDecimal(10000d));"
