Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/aries/blueprint/blueprint-api/src/main/java/org/osgi/service/blueprint/container/BlueprintEvent.java,230,,"                        : (String[]) dependencies.clone();;"
2,./TargetProjects/aries/blueprint/blueprint-core/src/test/java/org/apache/aries/blueprint/container/AggregateConverterTest.java,273,,"        assertSame(org, obj);;"
3,./TargetProjects/aries/jmx/jmx-itests/src/test/java/org/apache/aries/jmx/framework/FrameworkMBeanTest.java,114,,"		};"
4,./TargetProjects/aries/samples/blog/blog-biz/src/main/java/org/apache/aries/samples/blog/biz/BlogAuthorImpl.java,79,,"		;"
5,./TargetProjects/aries/sandbox/samples/dgoat/dgoat-api/src/main/java/org/apache/aries/samples/goat/info/RelationshipInfoImpl.java,23,,import org.apache.aries.samples.goat.api.ComponentInfo;;
6,./TargetProjects/aries/sandbox/samples/goat/goat-api/src/main/java/org/apache/aries/samples/goat/info/RelationshipInfoImpl.java,23,,import org.apache.aries.samples.goat.api.ComponentInfo;;
7,./TargetProjects/aries/subsystem/subsystem-itests/src/test/java/org/apache/aries/subsystem/itests/AutostartTest.java,262,,"			applicationA = findSubsystemService(applicationA.getSubsystemId());;"
8,./TargetProjects/aries/subsystem/subsystem-itests/src/test/java/org/apache/aries/subsystem/itests/AutostartTest.java,271,,"			applicationA = findSubsystemService(applicationA.getSubsystemId());;"
9,./TargetProjects/aries/subsystem/subsystem-itests/src/test/java/org/apache/aries/subsystem/itests/AutostartTest.java,280,,"			applicationA = findSubsystemService(applicationA.getSubsystemId());;"
10,./TargetProjects/aries/subsystem/subsystem-itests/src/test/java/org/apache/aries/subsystem/itests/AutostartTest.java,290,,"			applicationA = findSubsystemService(applicationA.getSubsystemId());;"
11,./TargetProjects/aries/subsystem/subsystem-itests/src/test/java/org/apache/aries/subsystem/itests/AutostartTest.java,319,,"			featureB = findSubsystemService(featureB.getSubsystemId());;"
12,./TargetProjects/aries/subsystem/subsystem-itests/src/test/java/org/apache/aries/subsystem/itests/AutostartTest.java,328,,"			featureB = findSubsystemService(featureB.getSubsystemId());;"
13,./TargetProjects/aries/subsystem/subsystem-itests/src/test/java/org/apache/aries/subsystem/itests/AutostartTest.java,337,,"			featureB = findSubsystemService(featureB.getSubsystemId());;"
14,./TargetProjects/aries/subsystem/subsystem-itests/src/test/java/org/apache/aries/subsystem/itests/AutostartTest.java,347,,"			featureB = findSubsystemService(featureB.getSubsystemId());;"
15,./TargetProjects/aries/subsystem/subsystem-itests/src/test/java/org/apache/aries/subsystem/itests/AutostartTest.java,376,,"			applicationA = findSubsystemService(applicationA.getSubsystemId());;"
16,./TargetProjects/aries/subsystem/subsystem-itests/src/test/java/org/apache/aries/subsystem/itests/AutostartTest.java,385,,"			applicationA = findSubsystemService(applicationA.getSubsystemId());;"
17,./TargetProjects/aries/subsystem/subsystem-itests/src/test/java/org/apache/aries/subsystem/itests/AutostartTest.java,394,,"			applicationA = findSubsystemService(applicationA.getSubsystemId());;"
18,./TargetProjects/aries/subsystem/subsystem-itests/src/test/java/org/apache/aries/subsystem/itests/AutostartTest.java,423,,"			featureA = findSubsystemService(featureA.getSubsystemId());;"
19,./TargetProjects/aries/subsystem/subsystem-itests/src/test/java/org/apache/aries/subsystem/itests/AutostartTest.java,432,,"			featureA = findSubsystemService(featureA.getSubsystemId());;"
20,./TargetProjects/aries/subsystem/subsystem-itests/src/test/java/org/apache/aries/subsystem/itests/AutostartTest.java,441,,"			featureA = findSubsystemService(featureA.getSubsystemId());;"
21,./TargetProjects/aries/subsystem/subsystem-itests/src/test/java/org/apache/aries/subsystem/itests/ResolutionTest.java,118,,"		};"
22,./TargetProjects/aries/web/web-urlhandler/src/main/java/org/apache/aries/web/converter/impl/ClassPathBuilder.java,69,,"          String path = jarFile.substring(0, jarFile.lastIndexOf('/'));;"
23,./TargetProjects/brooklyn-server/camp/camp-brooklyn/src/main/java/org/apache/brooklyn/camp/brooklyn/spi/dsl/parse/DslParser.java,84,,"                if (Character.isJavaIdentifierPart(c)) ;"
24,./TargetProjects/brooklyn-server/camp/camp-brooklyn/src/main/java/org/apache/brooklyn/camp/brooklyn/spi/dsl/parse/DslParser.java,86,,"                else if ("".:"".indexOf(c)>=0) ;"
25,./TargetProjects/brooklyn-server/core/src/main/java/org/apache/brooklyn/core/mgmt/persist/FileBasedObjectStore.java,267,,"            };"
26,./TargetProjects/brooklyn-server/core/src/main/java/org/apache/brooklyn/util/core/task/BasicExecutionContext.java,544,,"            while(taskTags.remove(contextTag)) {};"
27,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/config/MapListAndOtherStructuredConfigKeyTest.java,366,,"        entity.config().set(TestEntity.CONF_MAP_THING, ImmutableMap.of(""bkey"",""bval""));;"
28,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/ApplicationLoggingTest.java,175,,"            watcher.assertHasEvent(matchingRegexes("".*"" + app.getApplicationId() + "".*Hello world.*""));;"
29,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/AbstractLocationTest.java,150,,"        assertEquals(location.getDisplayName(), name);;"
30,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/location/LegacyAbstractLocationTest.java,110,,"        assertEquals(location.getDisplayName(), name);;"
31,./TargetProjects/brooklyn-server/locations/jclouds/src/test/java/org/apache/brooklyn/location/jclouds/JcloudsLocationResolverTest.java,304,,"            .config().getBag().getAllConfig();;"
32,./TargetProjects/brooklyn-server/policy/src/main/java/org/apache/brooklyn/policy/loadbalancing/LoadBalancingPolicy.java,175,,"        if (executor != null) executor.shutdownNow();;"
