Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/camel/components/camel-thrift/src/test/java/org/apache/camel/component/thrift/generated/Calculator.java,1207,,"            switch (field) {"
2,./TargetProjects/camel/components/camel-thrift/src/test/java/org/apache/camel/component/thrift/generated/Calculator.java,1212,,"            switch (field) {"
3,./TargetProjects/camel/components/camel-thrift/src/test/java/org/apache/camel/component/thrift/generated/Calculator.java,1223,,"            switch (field) {"
4,./TargetProjects/camel/components/camel-thrift/src/test/java/org/apache/camel/component/thrift/generated/Calculator.java,1461,,"            switch (field) {"
5,./TargetProjects/camel/components/camel-thrift/src/test/java/org/apache/camel/component/thrift/generated/Calculator.java,1466,,"            switch (field) {"
6,./TargetProjects/camel/components/camel-thrift/src/test/java/org/apache/camel/component/thrift/generated/Calculator.java,1477,,"            switch (field) {"
7,./TargetProjects/camel/components/camel-thrift/src/test/java/org/apache/camel/component/thrift/generated/Calculator.java,3514,,"            switch (field) {"
8,./TargetProjects/camel/components/camel-thrift/src/test/java/org/apache/camel/component/thrift/generated/Calculator.java,3519,,"            switch (field) {"
9,./TargetProjects/camel/components/camel-thrift/src/test/java/org/apache/camel/component/thrift/generated/Calculator.java,3530,,"            switch (field) {"
10,./TargetProjects/flume/flume-ng-legacy-sources/flume-thrift-source/src/main/java/com/cloudera/flume/handlers/thrift/ThriftFlumeEventServer.java,820,,"      switch (field) {"
11,./TargetProjects/flume/flume-ng-legacy-sources/flume-thrift-source/src/main/java/com/cloudera/flume/handlers/thrift/ThriftFlumeEventServer.java,826,,"      switch (field) {"
12,./TargetProjects/flume/flume-ng-legacy-sources/flume-thrift-source/src/main/java/com/cloudera/flume/handlers/thrift/ThriftFlumeEventServer.java,837,,"      switch (field) {"
13,./TargetProjects/flume/flume-ng-legacy-sources/flume-thrift-source/src/main/java/com/cloudera/flume/handlers/thrift/ThriftFlumeEventServer.java,1074,,"      switch (field) {"
14,./TargetProjects/flume/flume-ng-legacy-sources/flume-thrift-source/src/main/java/com/cloudera/flume/handlers/thrift/ThriftFlumeEventServer.java,1080,,"      switch (field) {"
15,./TargetProjects/flume/flume-ng-legacy-sources/flume-thrift-source/src/main/java/com/cloudera/flume/handlers/thrift/ThriftFlumeEventServer.java,1091,,"      switch (field) {"
16,./TargetProjects/incubator-sentry/sentry-hdfs/sentry-hdfs-common/src/gen/thrift/gen-javabean/org/apache/sentry/hdfs/service/thrift/SentryHDFSService.java,880,,"      switch (field) {"
17,./TargetProjects/incubator-sentry/sentry-hdfs/sentry-hdfs-common/src/gen/thrift/gen-javabean/org/apache/sentry/hdfs/service/thrift/SentryHDFSService.java,885,,"      switch (field) {"
18,./TargetProjects/incubator-sentry/sentry-hdfs/sentry-hdfs-common/src/gen/thrift/gen-javabean/org/apache/sentry/hdfs/service/thrift/SentryHDFSService.java,896,,"      switch (field) {"
19,./TargetProjects/mina/thrift/src/test/java/org/apache/mina/generated/thrift/UserStorage.java,770,,"            switch (field) {"
20,./TargetProjects/mina/thrift/src/test/java/org/apache/mina/generated/thrift/UserStorage.java,775,,"            switch (field) {"
21,./TargetProjects/mina/thrift/src/test/java/org/apache/mina/generated/thrift/UserStorage.java,786,,"            switch (field) {"
22,./TargetProjects/sentry/sentry-hdfs/sentry-hdfs-common/src/gen/thrift/gen-javabean/org/apache/sentry/hdfs/service/thrift/SentryHDFSService.java,1240,,"      switch (field) {"
23,./TargetProjects/sentry/sentry-hdfs/sentry-hdfs-common/src/gen/thrift/gen-javabean/org/apache/sentry/hdfs/service/thrift/SentryHDFSService.java,1245,,"      switch (field) {"
24,./TargetProjects/sentry/sentry-hdfs/sentry-hdfs-common/src/gen/thrift/gen-javabean/org/apache/sentry/hdfs/service/thrift/SentryHDFSService.java,1256,,"      switch (field) {"
25,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,16798,,"      switch (field) {"
26,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,16804,,"      switch (field) {"
27,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,16815,,"      switch (field) {"
28,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,19390,,"      switch (field) {"
29,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,19396,,"      switch (field) {"
30,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,19407,,"      switch (field) {"
31,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,33684,,"      switch (field) {"
32,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,33690,,"      switch (field) {"
33,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,33701,,"      switch (field) {"
34,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,33936,,"      switch (field) {"
35,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,33942,,"      switch (field) {"
36,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,33953,,"      switch (field) {"
37,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,37080,,"      switch (field) {"
38,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,37086,,"      switch (field) {"
39,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,37097,,"      switch (field) {"
40,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,37802,,"      switch (field) {"
41,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,37808,,"      switch (field) {"
42,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,37819,,"      switch (field) {"
43,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,38529,,"      switch (field) {"
44,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,38535,,"      switch (field) {"
45,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,38546,,"      switch (field) {"
46,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,41196,,"      switch (field) {"
47,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,41202,,"      switch (field) {"
48,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,41213,,"      switch (field) {"
49,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,57642,,"      switch (field) {"
50,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,57648,,"      switch (field) {"
51,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/Nimbus.java,57659,,"      switch (field) {"
52,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/generated/NullStruct.java,118,,"    switch (field) {"
