Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/activemq-artemis/artemis-protocols/artemis-hornetq-protocol/src/test/java/org/apache/activemq/artemis/core/protocol/hornetq/PropertiesConversionTest.java,80,,"                  for (int i = 0; i < conversions; i++) {"
2,./TargetProjects/activemq-artemis/artemis-protocols/artemis-hornetq-protocol/src/test/java/org/apache/activemq/artemis/core/protocol/hornetq/PropertiesConversionTest.java,156,,"                  for (int i = 0; i < conversions; i++) {"
3,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/broker/BrokerBenchmark.java,160,,"                  for (int i = 0; i < produceCount / prodcuerCount; i++) {"
4,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/client/JmsNettyNioStressTest.java,184,,"                  for (int i = 0; i < numberOfMessages; i++) {"
5,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/client/JmsNettyNioStressTest.java,221,,"                  for (int i = 0; i < numberOfMessages; i++) {"
6,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/client/JmsNettyNioStressTest.java,259,,"                  for (int i = 0; i < numberOfMessages; i++) {"
7,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/client/OrderTest.java,166,,"         for (; i < max; i++) {"
8,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/client/ProducerTest.java,107,,"                  for (int i = 0; i < 62; i++) {"
9,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/mqtt/imported/PahoMQTTTest.java,94,,"                  for (int i = 0; i < 10; i++) {"
10,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/proxying/EntityManagerTest.java,256,,"                                for (int i = 0; i < 10; i++) {"
11,./TargetProjects/brooklyn-server/core/src/test/java/org/apache/brooklyn/core/entity/proxying/EntityManagerTest.java,261,,"                                for (int i = 0; i < 10; i++) {"
12,./TargetProjects/camel/components/camel-dozer/src/main/java/org/apache/camel/component/dozer/CustomMapper.java,65,,"                for (int arrayNdx = 0; parameterNdx < parameters.length; parameterNdx++, arrayNdx++) {"
