Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/activemq-activeio/activeio-core/src/main/java/org/apache/activeio/adapter/PacketByteArrayOutputStream.java,103,,"        result = null;"
2,./TargetProjects/activemq-activeio/activeio-core/src/main/java/org/apache/activeio/journal/active/ControlFile.java,101,,"                lock = null;"
3,./TargetProjects/activemq-activeio/activeio-core/src/main/java/org/apache/activeio/journal/active/JournalImpl.java,134,,"            lastPool = null;"
4,./TargetProjects/activemq-activeio/activeio-core/src/main/java/org/apache/activeio/journal/active/JournalImpl.java,237,,"                pendingBatchWrite = null;            "
5,./TargetProjects/activemq-activeio/activeio-core/src/main/java/org/apache/activeio/journal/active/JournalImpl.java,448,,"        packetPool=null;"
6,./TargetProjects/activemq-activeio/activeio-core/src/main/java/org/apache/activeio/journal/active/LogFileManager.java,160,,"            firstInactiveNode = null;"
7,./TargetProjects/activemq-activeio/activeio-core/src/main/java/org/apache/activeio/journal/active/LogFileManager.java,262,,"                lastMark = null;"
8,./TargetProjects/activemq-activeio/activeio-core/src/main/java/org/apache/activeio/journal/active/Record.java,304,,"            payload=null;"
9,./TargetProjects/activemq-activeio/activeio-core/src/main/java/org/apache/activeio/xnet/ServiceDaemon.java,111,,"                socketListener = null;"
10,./TargetProjects/activemq-activeio/activeio-core/src/main/java/org/apache/activeio/xnet/ServiceDaemon.java,179,,"                serverSocket = null;"
11,./TargetProjects/activemq-activeio/activeio-core/src/main/java/org/apache/activeio/xnet/ServiceDaemon.java,181,,"            serverService = null;"
12,./TargetProjects/activemq-artemis/artemis-cli/src/main/java/org/apache/activemq/artemis/cli/commands/tools/LockAbstract.java,39,,"            serverLockFile = null;"
13,./TargetProjects/activemq-artemis/artemis-cli/src/main/java/org/apache/activemq/artemis/cli/commands/tools/LockAbstract.java,44,,"            serverLockLock = null;"
14,./TargetProjects/activemq-artemis/artemis-cli/src/main/java/org/apache/activemq/artemis/cli/commands/tools/RecoverMessages.java,128,,"                     largeMessageFile = null;"
15,./TargetProjects/activemq-artemis/artemis-cli/src/main/java/org/apache/activemq/artemis/cli/commands/tools/xml/XMLMessageImporter.java,203,,"         value = null;"
16,./TargetProjects/activemq-artemis/artemis-cli/src/main/java/org/apache/activemq/artemis/cli/commands/tools/xml/XmlDataExporter.java,210,,"      preparedTransactions = null;"
17,./TargetProjects/activemq-artemis/artemis-cli/src/test/java/org/apache/activemq/cli/test/FileBrokerTest.java,91,,"         broker1 = null;"
18,./TargetProjects/activemq-artemis/artemis-cli/src/test/java/org/apache/activemq/cli/test/OptionsValidationTest.java,106,,"         Artemis.internalExecute(null, needInstance ? this.artemisInstance : null, invalidArgs, context);"
19,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/api/core/ParameterisedAddress.java,89,,"         this.queueConfiguration = null;"
20,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/core/server/ActiveMQScheduledComponent.java,280,,"         future = null;"
21,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/core/server/ActiveMQScheduledComponent.java,284,,"         scheduledExecutorService = null;"
22,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/core/server/NetworkHealthCheck.java,87,,"            netToUse = null;"
23,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/core/server/NetworkHealthCheck.java,91,,"         netToUse = null;"
24,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/AutomaticLatch.java,69,,"      afterCompletion = null;"
25,./TargetProjects/activemq-artemis/artemis-commons/src/main/java/org/apache/activemq/artemis/utils/Base64.java,952,,"         obj = null;"
