Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/brooklyn-server/core/src/main/java/org/apache/brooklyn/core/entity/Entities.java,492,,"        if (false) {"
2,./TargetProjects/brooklyn-server/core/src/main/java/org/apache/brooklyn/core/entity/Entities.java,554,,"        if (false) {"
3,./TargetProjects/camel/components/camel-mail/src/test/java/org/apache/camel/component/mail/MapMailMessagesBugRoute.java,46,,"                        if (true) {"
4,./TargetProjects/camel/components/camel-sql/src/main/java/org/apache/camel/component/sql/stored/template/generated/SSPTParser.java,59,,"            if (true)"
5,./TargetProjects/camel/components/camel-sql/src/main/java/org/apache/camel/component/sql/stored/template/generated/SSPTParser.java,72,,"                if (true)"
6,./TargetProjects/camel/components/camel-sql/src/main/java/org/apache/camel/component/sql/stored/template/generated/SSPTParser.java,78,,"                if (true)"
7,./TargetProjects/camel/components/camel-sql/src/main/java/org/apache/camel/component/sql/stored/template/generated/SSPTParser.java,84,,"                if (true)"
8,./TargetProjects/camel/components/camel-sql/src/main/java/org/apache/camel/component/sql/stored/template/generated/SSPTParser.java,134,,"            if (true)"
9,./TargetProjects/camel/components/camel-sql/src/main/java/org/apache/camel/component/sql/stored/template/generated/SSPTParser.java,168,,"            if (true)"
10,./TargetProjects/camel/components/camel-sql/src/main/java/org/apache/camel/component/sql/stored/template/generated/SSPTParser.java,206,,"            if (true)"
11,./TargetProjects/camel/components/camel-sql/src/main/java/org/apache/camel/component/sql/stored/template/generated/SSPTParser.java,216,,"            if (true)"
12,./TargetProjects/camel/components/camel-sql/src/main/java/org/apache/camel/component/sql/stored/template/generated/SSPTParser.java,226,,"            if (true)"
13,./TargetProjects/camel/components/camel-sql/src/main/java/org/apache/camel/component/sql/stored/template/generated/SSPTParser.java,248,,"            if (true)"
14,./TargetProjects/camel/components/camel-sql/src/main/java/org/apache/camel/component/sql/stored/template/generated/SSPTParser.java,258,,"            if (true)"
15,./TargetProjects/camel/components/camel-sql/src/main/java/org/apache/camel/component/sql/stored/template/generated/SSPTParser.java,269,,"                if (true)"
16,./TargetProjects/camel/components/camel-sql/src/main/java/org/apache/camel/component/sql/stored/template/generated/SSPTParser.java,275,,"                if (true)"
17,./TargetProjects/cayenne/cayenne-server/src/main/java/org/apache/cayenne/exp/parser/ExpressionParser.java,68,,"                                  {if (true) throw (RuntimeException)jjte001;}"
18,./TargetProjects/cayenne/cayenne-server/src/main/java/org/apache/cayenne/exp/parser/ExpressionParser.java,71,,"                                  {if (true) throw (ParseException)jjte001;}"
19,./TargetProjects/cayenne/cayenne-server/src/main/java/org/apache/cayenne/exp/parser/ExpressionParser.java,73,,"                                {if (true) throw (Error)jjte001;}"
20,./TargetProjects/cayenne/cayenne-server/src/main/java/org/apache/cayenne/exp/parser/ExpressionParser.java,109,,"                                   {if (true) throw (RuntimeException)jjte001;}"
21,./TargetProjects/cayenne/cayenne-server/src/main/java/org/apache/cayenne/exp/parser/ExpressionParser.java,112,,"                                   {if (true) throw (ParseException)jjte001;}"
22,./TargetProjects/cayenne/cayenne-server/src/main/java/org/apache/cayenne/exp/parser/ExpressionParser.java,114,,"                                 {if (true) throw (Error)jjte001;}"
23,./TargetProjects/cayenne/cayenne-server/src/main/java/org/apache/cayenne/exp/parser/ExpressionParser.java,154,,"                                    {if (true) throw (RuntimeException)jjte001;}"
24,./TargetProjects/cayenne/cayenne-server/src/main/java/org/apache/cayenne/exp/parser/ExpressionParser.java,157,,"                                    {if (true) throw (ParseException)jjte001;}"
