Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/activemq-artemis/artemis-rest/src/main/java/org/apache/activemq/artemis/rest/util/HttpMessageHelper.java,41,,"      return lowerKey.toLowerCase().startsWith(""content"") || lowerKey.toLowerCase().equals(""link"");"
2,./TargetProjects/activemq-artemis/artemis-server/src/main/java/org/apache/activemq/artemis/core/config/storage/DatabaseStorageConfiguration.java,221,,"      if (value.toLowerCase().equals(""true"") || value.toLowerCase().equals(""false"")) {"
3,./TargetProjects/activemq-artemis/artemis-server/src/main/java/org/apache/activemq/artemis/core/config/storage/DatabaseStorageConfiguration.java,221,,"      if (value.toLowerCase().equals(""true"") || value.toLowerCase().equals(""false"")) {"
4,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/integration/client/InfiniteRedeliveryTest.java,152,,"      if (protocol.toUpperCase().equals(""OPENWIRE"")) {"
5,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/util/CFUtil.java,27,,"      if (protocol.toUpperCase().equals(""OPENWIRE"")) {"
6,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/util/CFUtil.java,29,,"      } else if (protocol.toUpperCase().equals(""AMQP"")) {"
7,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/util/CFUtil.java,36,,"      } else if (protocol.toUpperCase().equals(""CORE"") || protocol.toUpperCase().equals(""ARTEMIS"")) {"
8,./TargetProjects/activemq-artemis/tests/integration-tests/src/test/java/org/apache/activemq/artemis/tests/util/CFUtil.java,36,,"      } else if (protocol.toUpperCase().equals(""CORE"") || protocol.toUpperCase().equals(""ARTEMIS"")) {"
9,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/bridgeTransfer/BridgeTransferingTest.java,78,,"      if (protocol.toUpperCase().equals(""OPENWIRE"")) {"
10,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/bridgeTransfer/BridgeTransferingTest.java,80,,"      } else if (protocol.toUpperCase().equals(""AMQP"")) {"
11,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/bridgeTransfer/BridgeTransferingTest.java,87,,"      } else if (protocol.toUpperCase().equals(""CORE"") || protocol.toUpperCase().equals(""ARTEMIS"")) {"
12,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/bridgeTransfer/BridgeTransferingTest.java,87,,"      } else if (protocol.toUpperCase().equals(""CORE"") || protocol.toUpperCase().equals(""ARTEMIS"")) {"
13,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/logging/AuditLoggerTest.java,258,,"      if (protocol.toUpperCase().equals(""OPENWIRE"")) {"
14,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/logging/AuditLoggerTest.java,260,,"      } else if (protocol.toUpperCase().equals(""AMQP"")) {"
15,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/logging/AuditLoggerTest.java,267,,"      } else if (protocol.toUpperCase().equals(""CORE"") || protocol.toUpperCase().equals(""ARTEMIS"")) {"
16,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/logging/AuditLoggerTest.java,267,,"      } else if (protocol.toUpperCase().equals(""CORE"") || protocol.toUpperCase().equals(""ARTEMIS"")) {"
17,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/mmfactory/MMSFactoryTest.java,110,,"      if (protocol.toUpperCase().equals(""OPENWIRE"")) {"
18,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/mmfactory/MMSFactoryTest.java,112,,"      } else if (protocol.toUpperCase().equals(""AMQP"")) {"
19,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/mmfactory/MMSFactoryTest.java,119,,"      } else if (protocol.toUpperCase().equals(""CORE"") || protocol.toUpperCase().equals(""ARTEMIS"")) {"
20,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/mmfactory/MMSFactoryTest.java,119,,"      } else if (protocol.toUpperCase().equals(""CORE"") || protocol.toUpperCase().equals(""ARTEMIS"")) {"
21,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/replicationflow/SoakPagingTest.java,122,,"      if (protocol.toUpperCase().equals(""OPENWIRE"")) {"
22,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/replicationflow/SoakPagingTest.java,124,,"      } else if (protocol.toUpperCase().equals(""MQTT"")) {"
23,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/replicationflow/SoakPagingTest.java,126,,"      } else if (protocol.toUpperCase().equals(""AMQP"")) {"
24,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/replicationflow/SoakPagingTest.java,128,,"      } else if (protocol.toUpperCase().equals(""CORE"") || protocol.toUpperCase().equals(""ARTEMIS"")) {"
25,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/replicationflow/SoakPagingTest.java,128,,"      } else if (protocol.toUpperCase().equals(""CORE"") || protocol.toUpperCase().equals(""ARTEMIS"")) {"
26,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/transfer/TestTransfer.java,81,,"      if (protocol.toUpperCase().equals(""AMQP"")) {"
27,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/transfer/TestTransfer.java,89,,"      } else if (protocol.toUpperCase().equals(""CORE"") || protocol.toUpperCase().equals(""ARTEMIS"")) {"
28,./TargetProjects/activemq-artemis/tests/smoke-tests/src/test/java/org/apache/activemq/artemis/tests/smoke/transfer/TestTransfer.java,89,,"      } else if (protocol.toUpperCase().equals(""CORE"") || protocol.toUpperCase().equals(""ARTEMIS"")) {"
29,./TargetProjects/aries/application/application-modeller/src/main/java/org/apache/aries/application/modelling/internal/BundleBlueprintParser.java,120,,"	  _blueprintHeaderMandatory = blueprintHeaderMandatory.toLowerCase().equals(""true"");"
30,./TargetProjects/brooklyn-server/utils/common/src/main/java/org/apache/brooklyn/util/text/Strings.java,676,,"        return s.toLowerCase().equals(s);"
31,./TargetProjects/camel/components/camel-aws/camel-aws-xray/src/test/java/org/apache/camel/component/aws/xray/json/JsonParser.java,140,,"        if (data.toLowerCase().equals(""true"") || data.toLowerCase().equals(""false"")) {"
32,./TargetProjects/camel/components/camel-aws/camel-aws-xray/src/test/java/org/apache/camel/component/aws/xray/json/JsonParser.java,140,,"        if (data.toLowerCase().equals(""true"") || data.toLowerCase().equals(""false"")) {"
33,./TargetProjects/camel/tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/GenerateInvokeOnHeaderMojo.java,247,,"                if (!option.getKey().toLowerCase().equals(option.getKey())) {"
34,./TargetProjects/camel/tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/PackageDataFormatMojo.java,587,,"                if (!name.toLowerCase().equals(name)) {"
35,./TargetProjects/camel/tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/PropertyConfigurerGenerator.java,108,,"                    if (!option.getName().toLowerCase().equals(option.getName())) {"
36,./TargetProjects/camel/tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/PropertyConfigurerGenerator.java,183,,"                    if (!option.getName().toLowerCase().equals(option.getName())) {"
37,./TargetProjects/camel/tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/PropertyConfigurerGenerator.java,209,,"                    if (!option.getName().toLowerCase().equals(option.getName())) {"
38,./TargetProjects/camel/tooling/maven/camel-package-maven-plugin/src/main/java/org/apache/camel/maven/packaging/PropertyConfigurerGenerator.java,236,,"                            if (!option.getName().toLowerCase().equals(option.getName())) {"
39,./TargetProjects/chainsaw/src/main/java/org/apache/log4j/chainsaw/LogPanel.java,3732,,"            if (!column.getHeaderValue().toString().toUpperCase().equals(ChainsawColumns.getColumnName(ChainsawColumns.INDEX_THROWABLE_COL_NAME))) {"
40,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/datacollection/controller/ChukwaAgentController.java,538,,"    if (numArgs >= 3 && args[0].toLowerCase().equals(""addfile"")) {"
41,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/datacollection/controller/ChukwaAgentController.java,540,,"    } else if (numArgs >= 3 && args[0].toLowerCase().equals(""removefile"")) {"
42,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/datacollection/controller/ChukwaAgentController.java,542,,"    } else if (numArgs >= 1 && args[0].toLowerCase().equals(""list"")) {"
43,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/datacollection/writer/SocketTeeWriter.java,202,,"        if(cmdAfterSpace.toLowerCase().equals(""all""))"
44,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/util/DumpChunks.java,89,,"    if(args[filterArg].toLowerCase().equals(""all""))"
45,./TargetProjects/clerezza/api-implementation/src/main/java/org/apache/clerezza/implementation/graph/AbstractGraph.java,54,,"            if (debugMode != null && debugMode.toLowerCase().equals(""true"")) {"
46,./TargetProjects/cloudstack/plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/LibvirtComputingResource.java,2862,,"        if (HypervisorType.LXC.toString().toLowerCase().equals(vm.getHvsType())) {"
47,./TargetProjects/cloudstack/server/src/main/java/com/cloud/configuration/ConfigurationManagerImpl.java,2426,,"            if (vmTypeString == null || VirtualMachine.Type.DomainRouter.toString().toLowerCase().equals(vmTypeString)) {"
48,./TargetProjects/cloudstack/server/src/main/java/com/cloud/configuration/ConfigurationManagerImpl.java,2429,,"            } else if (VirtualMachine.Type.ConsoleProxy.toString().toLowerCase().equals(vmTypeString)) {"
49,./TargetProjects/cloudstack/server/src/main/java/com/cloud/configuration/ConfigurationManagerImpl.java,2431,,"            } else if (VirtualMachine.Type.SecondaryStorageVm.toString().toLowerCase().equals(vmTypeString)) {"
50,./TargetProjects/cloudstack/server/src/main/java/com/cloud/configuration/ConfigurationManagerImpl.java,2433,,"            } else if (VirtualMachine.Type.InternalLoadBalancerVm.toString().toLowerCase().equals(vmTypeString)) {"
51,./TargetProjects/cloudstack/server/src/main/java/com/cloud/network/router/NetworkHelperImpl.java,823,,"        if (lbProtocol != null && lbProtocol.toLowerCase().equals(NetUtils.UDP_PROTO)) {"
52,./TargetProjects/cloudstack/server/src/main/java/com/cloud/resource/ResourceManagerImpl.java,1430,,"        return HOST_MAINTENANCE_LOCAL_STRATEGY.value().toLowerCase().equals(WorkType.Migration.toString().toLowerCase());"
53,./TargetProjects/cloudstack/server/src/main/java/com/cloud/resource/ResourceManagerImpl.java,1437,,"        return HOST_MAINTENANCE_LOCAL_STRATEGY.value().toLowerCase().equals(WorkType.ForceStop.toString().toLowerCase());"
54,./TargetProjects/cloudstack/server/src/main/java/com/cloud/resource/ResourceManagerImpl.java,1445,,"                || HOST_MAINTENANCE_LOCAL_STRATEGY.value().toLowerCase().equals(State.Error.toString().toLowerCase())) {"
55,./TargetProjects/commons-imaging/src/test/java/org/apache/commons/imaging/ImagingTest.java,98,,"            if (file.getParentFile().getName().toLowerCase().equals(""@broken"")) {"
56,./TargetProjects/commons-imaging/src/test/java/org/apache/commons/imaging/common/bytesource/ByteSourceImageTest.java,89,,"        if (!imageFile.getParentFile().getName().toLowerCase().equals(""@broken"")) {"
57,./TargetProjects/commons-imaging/src/test/java/org/apache/commons/imaging/formats/jpeg/exif/GpsTest.java,42,,"        if (imageFile.getParentFile().getName().toLowerCase().equals(""@broken"")) {"
58,./TargetProjects/commons-imaging/src/test/java/org/apache/commons/imaging/formats/jpeg/exif/SpecificExifTagTest.java,47,,"        if (imageFile.getParentFile().getName().toLowerCase().equals(""@broken"")) {"
59,./TargetProjects/commons-jcs/src/experimental/org/apache/commons/jcs/auxiliary/lateral/http/server/AbstractDeleteCacheServlet.java,150,,"                            if ( key.toUpperCase().equals( ""ALL"" ) )"
60,./TargetProjects/commons-ognl/src/main/java/org/apache/commons/ognl/OgnlRuntime.java,1973,,"                if ( propertyDescriptorName.equalsIgnoreCase( name ) || propertyDescriptorName.toLowerCase().equals( name.toLowerCase() )"
61,./TargetProjects/incubator-brooklyn/brooklyn-server/camp/camp-brooklyn/src/main/java/org/apache/brooklyn/camp/brooklyn/spi/dsl/methods/DslComponent.java,308,,"                if (scope.name.toLowerCase().equals(name.toLowerCase()))"
62,./TargetProjects/incubator-brooklyn/brooklyn-server/camp/camp-brooklyn/src/main/java/org/apache/brooklyn/camp/brooklyn/spi/dsl/methods/DslComponent.java,315,,"                if (scope.name.toLowerCase().equals(name.toLowerCase()))"
63,./TargetProjects/incubator-brooklyn/brooklyn-server/utils/common/src/main/java/org/apache/brooklyn/util/text/Strings.java,624,,"        return s.toLowerCase().equals(s);"
64,./TargetProjects/incubator-retired-openaz/openaz-xacml-pdp/src/main/java/org/apache/openaz/xacml/pdp/std/functions/FunctionDefinitionRFC822NameMatch.java,139,,"                && searchTerms[1].toLowerCase().equals(rfc822Name.getCanonicalDomainName())) {"
65,./TargetProjects/incubator-sentry/sentry-binding/sentry-binding-kafka/src/main/java/org/apache/sentry/kafka/binding/KafkaAuthBinding.java,297,,"        if (principal.getPrincipalType().toLowerCase().equals(""group"")) {"
66,./TargetProjects/incubator-sentry/sentry-binding/sentry-binding-kafka/src/main/java/org/apache/sentry/kafka/binding/KafkaAuthBinding.java,472,,"            assert acl.principal().getPrincipalType().toLowerCase().equals(""role"") : ""Only Acls with KafkaPrincipal of type \""role;\"" is supported."";"
67,./TargetProjects/incubator-tajo/tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/string/Decode.java,67,,"    if(formatType.asChars().toLowerCase().equals(""base64"")) {"
68,./TargetProjects/incubator-tajo/tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/string/Decode.java,78,,"    else if(formatType.asChars().toLowerCase().equals(""hex"")) {"
69,./TargetProjects/incubator-tajo/tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/string/Encode.java,68,,"    if(formatType.asChars().toLowerCase().equals(""base64"")) {"
70,./TargetProjects/incubator-tajo/tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/string/Encode.java,79,,"    else if(formatType.asChars().toLowerCase().equals(""hex"")) {"
71,./TargetProjects/isis/examples/demo/domain/src/main/java/demoapp/dom/domain/actions/Action/domainEvent/subscribers/ActionDomainEventControlStrategy.java,104,,"                    if(!argument.toUpperCase().equals(argument)) {"
72,./TargetProjects/isis/examples/demo/domain/src/main/java/demoapp/dom/domain/properties/Property/domainEvent/subscribers/PropertyDomainEventControlStrategy.java,73,,"                    if(!newValue.toUpperCase().equals(newValue)) {"
