Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/activemq-artemis/artemis-core-client/src/main/java/org/apache/activemq/artemis/utils/SoftValueLongObjectHashMap.java,111,,"         if (valueElement != null && value.equals(valueElement)) {"
2,./TargetProjects/activemq-artemis/tests/unit-tests/src/test/java/org/apache/activemq/artemis/tests/unit/core/server/impl/fakes/FakeFilter.java,50,,"         if (value != null && headerValue.equals(value)) {"
3,./TargetProjects/brooklyn-server/test-support/src/main/java/org/apache/brooklyn/test/WebAppMonitor.java,118,,"        return code!=null && new Integer(expectedResponseCode).equals(code);"
4,./TargetProjects/camel/components/camel-ahc/src/main/java/org/apache/camel/component/ahc/DefaultAhcBinding.java,186,,"                if (contentType != null && AhcConstants.CONTENT_TYPE_JAVA_SERIALIZED_OBJECT.equals(contentType)) {"
5,./TargetProjects/camel/components/camel-http/src/main/java/org/apache/camel/component/http/HttpProducer.java,695,,"                            && HttpConstants.CONTENT_TYPE_JAVA_SERIALIZED_OBJECT.equals(contentTypeString)) {"
6,./TargetProjects/camel/components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsEndpoint.java,273,,"        if (replyTo != null && consumer.getEndpoint().getDestinationName().equals(replyTo)) {"
7,./TargetProjects/camel/components/camel-spring-ws/src/main/java/org/apache/camel/component/spring/ws/bean/WSACamelEndpointMapping.java,73,,"            if (compositeOrSimpleKey != null && key.getLookupKey().equals(compositeOrSimpleKey)) {"
8,./TargetProjects/camel/components/camel-spring-ws/src/main/java/org/apache/camel/component/spring/ws/bean/WSACamelEndpointMapping.java,100,,"            if (simpleKey != null && key.getLookupKey().equals(simpleKey)) {"
9,./TargetProjects/camel/core/camel-support/src/main/java/org/apache/camel/support/builder/TokenXMLExpressionIterator.java,182,,"            if (inheritNamespaceToken != null && OPTION_WRAP_TOKEN.equals(inheritNamespaceToken)) {"
10,./TargetProjects/camel-karaf/core/camel-core-osgi/src/main/java/org/apache/camel/core/osgi/OsgiNamingHelper.java,70,,"                        if (id != null && candidate.equals(id)) {"
11,./TargetProjects/cloudstack/plugins/deployment-planners/implicit-dedication/src/main/java/com/cloud/deploy/ImplicitDedicationPlanner.java,205,,"            if (plannerName != null && this.getName().equals(plannerName)) {"
12,./TargetProjects/cloudstack/plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,116,,"            if (guestBridgeName != null && bridge.equals(guestBridgeName)) {"
13,./TargetProjects/cloudstack/plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/LibvirtComputingResource.java,1523,,"        return _guestBridgeName != null && bridge.equals(_guestBridgeName);"
14,./TargetProjects/cloudstack/plugins/hypervisors/kvm/src/main/java/com/cloud/hypervisor/kvm/resource/LibvirtComputingResource.java,1548,,"        return _publicBridgeName != null && bridge.equals(_publicBridgeName);"
15,./TargetProjects/cloudstack/plugins/hypervisors/xenserver/src/main/java/com/cloud/hypervisor/xenserver/resource/XenServerStorageProcessor.java,1216,,"                        if (snashotPaPaPaUuid != null && prevSnashotPaUuid != null && prevSnashotPaUuid.equals(snashotPaPaPaUuid)) {"
16,./TargetProjects/cloudstack/services/console-proxy/rdpconsole/src/main/java/common/BufferedImagePixelsAdapter.java,71,,"        if (format != null && RGB888LE32.equals(format)) {"
17,./TargetProjects/commons-graph/src/main/java/org/apache/commons/graph/coloring/DefaultColoringAlgorithmsSelector.java,203,,"            if ( adjColor != null && nextVertecColor.equals( adjColor ) )"
18,./TargetProjects/commons-jelly/core/src/test/java/org/apache/commons/jelly/tags/junit/AssertEqualsTag.java,47,,"        if (actualValue != null && expectedValue.equals(actualValue)) {"
19,./TargetProjects/commons-jelly/jelly-tags/junit/src/main/java/org/apache/commons/jelly/tags/junit/AssertEqualsTag.java,47,,"        if (actualValue != null && expectedValue.equals(actualValue)) {"
20,./TargetProjects/druid/indexing-service/src/main/java/org/apache/druid/indexing/common/task/AbstractBatchIndexTask.java,397,,"      if (prev != null && cur.equals(prev)) {"
21,./TargetProjects/incubator-brooklyn/brooklyn-server/test-support/src/main/java/org/apache/brooklyn/test/WebAppMonitor.java,117,,"        return code!=null && new Integer(expectedResponseCode).equals(code);"
22,./TargetProjects/mahout/community/mahout-mr/mr/src/main/java/org/apache/mahout/cf/taste/impl/common/FastByIDMap.java,170,,"      if (theValue != null && value.equals(theValue)) {"
23,./TargetProjects/mahout/community/mahout-mr/mr/src/main/java/org/apache/mahout/cf/taste/impl/common/FastMap.java,187,,"      if (theValue != null && value.equals(theValue)) {"
24,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/application/NavigationHandlerImpl.java,1210,,"                            && cazeActionRef.equals(actionRef) && cazeOutcome.equals(outcome))"
25,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/application/ResourceHandlerImpl.java,299,,"                if (!(resourceVersion != null && ResourceLoader.VERSION_INVALID.equals(resourceVersion)))"
26,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/application/ResourceHandlerImpl.java,308,,"                if (!(resourceVersion != null && ResourceLoader.VERSION_INVALID.equals(resourceVersion)))"
27,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/application/ResourceHandlerImpl.java,339,,"                if (!(resourceVersion != null && ResourceLoader.VERSION_INVALID.equals(resourceVersion)))"
28,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/application/ResourceHandlerImpl.java,349,,"                if (!(resourceVersion != null && ResourceLoader.VERSION_INVALID.equals(resourceVersion)))"
29,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/application/ResourceHandlerImpl.java,399,,"                if (!(resourceVersion != null && ResourceLoader.VERSION_INVALID.equals(resourceVersion)))"
30,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/application/ResourceHandlerImpl.java,408,,"                if (!(resourceVersion != null && ResourceLoader.VERSION_INVALID.equals(resourceVersion)))"
31,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/application/ResourceHandlerImpl.java,439,,"                if (!(resourceVersion != null && ResourceLoader.VERSION_INVALID.equals(resourceVersion)))"
32,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/application/ResourceHandlerImpl.java,449,,"                if (!(resourceVersion != null && ResourceLoader.VERSION_INVALID.equals(resourceVersion)))"
33,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/application/ResourceHandlerImpl.java,1451,,"            if (!(resourceVersion != null && ResourceLoader.VERSION_INVALID.equals(resourceVersion)))"
34,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/application/ResourceHandlerImpl.java,1467,,"            if (!(resourceVersion != null && ResourceLoader.VERSION_INVALID.equals(resourceVersion)))"
35,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/application/ResourceHandlerImpl.java,1492,,"            if (!(resourceVersion != null && ResourceLoader.VERSION_INVALID.equals(resourceVersion)))"
36,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/application/ResourceHandlerImpl.java,1508,,"            if (!(resourceVersion != null && ResourceLoader.VERSION_INVALID.equals(resourceVersion)))"
37,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/context/servlet/PartialViewContextImpl.java,110,,"            _ajaxRequest = (requestType != null && PARTIAL_AJAX.equals(requestType));"
38,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/context/servlet/PartialViewContextImpl.java,145,,"            _partialRequest = (requestType != null && PARTIAL_PROCESS.equals(requestType));"
39,./TargetProjects/myfaces/impl/src/main/java/org/apache/myfaces/resource/InternalClassLoaderResourceLoader.java,157,,"                ResourceHandler.FACES_SCRIPT_LIBRARY_NAME.equals(libraryName);"
40,./TargetProjects/myfaces/impl/src/test/java/org/apache/myfaces/lifecycle/InstrumentingPhaseListener.java,52,,"        if (null != eventPhaseId && event.getPhaseId().equals(eventPhaseId))"
41,./TargetProjects/myfaces/impl/src/test/java/org/apache/myfaces/lifecycle/InstrumentingPhaseListener.java,69,,"        if (null != eventPhaseId && event.getPhaseId().equals(eventPhaseId))"
42,./TargetProjects/myfaces/test/src/main/java/org/apache/myfaces/test/mock/MockPartialViewContext.java,73,,"                    .equals(requestType));"
43,./TargetProjects/myfaces/test/src/main/java/org/apache/myfaces/test/mock/MockPartialViewContext.java,105,,"                    .equals(requestType));"
44,./TargetProjects/myfaces/test/src/main/java/org/apache/myfaces/test/mock/resource/MockResourceHandler.java,173,,"                        .equals(resourceVersion)))"
45,./TargetProjects/myfaces/test/src/main/java/org/apache/myfaces/test/mock/resource/MockResourceHandler.java,185,,"                        .equals(resourceVersion)))"
46,./TargetProjects/myfaces/test/src/main/java/org/apache/myfaces/test/mock/resource/MockResourceHandler.java,225,,"                        .equals(resourceVersion)))"
47,./TargetProjects/myfaces/test/src/main/java/org/apache/myfaces/test/mock/resource/MockResourceHandler.java,238,,"                        .equals(resourceVersion)))"
48,./TargetProjects/myfaces-trinidad/trinidad-impl/src/main/java/org/apache/myfaces/trinidadinternal/renderkit/html/MetaRenderer.java,74,,"      if (type != null && HtmlMeta.TYPE_HTTP_EQUIV.equals(type))"
49,./TargetProjects/myfaces-trinidad/trinidad-impl/src/main/java/org/apache/myfaces/trinidadinternal/webapp/TrinidadFilterImpl.java,210,,"                  XhtmlConstants.NON_JS_BROWSER_TRUE.equals(noJavaScript))"
50,./TargetProjects/nuvem/nuvem-standalone/src/main/java/org/apache/nuvem/cloud/dataService/impl/CassandraDataServiceImpl.java,152,,"					&& c.getName().equals(ColumnFamilyName)) {"
51,./TargetProjects/servicemix-components/engines/servicemix-jsr181/src/main/java/org/apache/servicemix/jsr181/xfire/ServiceFactoryHelper.java,81,,"        if (annotations != null && AN_JSR181.equals(annotations)) {"
52,./TargetProjects/shindig/java/social-api/src/main/java/org/apache/shindig/social/sample/spi/JsonDbOpensocialService.java,434,,"        if (user != null && curPerson.getString(Person.Field.ID.toString()).equals(user)) {"
53,./TargetProjects/storm/storm-client/src/jvm/org/apache/storm/trident/topology/TridentBoltExecutor.java,278,,"            && tuple.getSourceGlobalStreamId().equals(cond.commitStream)) {"
54,./TargetProjects/tajo/tajo-thirdparty/asm/src/main/java/org/apache/tajo/org/objectweb/asm/tree/analysis/SimpleVerifier.java,259,,"        if (currentClass != null && t.equals(currentClass)) {"
55,./TargetProjects/tajo/tajo-thirdparty/asm/src/main/java/org/apache/tajo/org/objectweb/asm/tree/analysis/SimpleVerifier.java,266,,"        if (currentClass != null && t.equals(currentClass)) {"
56,./TargetProjects/tajo/tajo-thirdparty/asm/src/main/java/org/apache/tajo/org/objectweb/asm/tree/analysis/SimpleVerifier.java,277,,"        if (currentClass != null && t.equals(currentClass)) {"
57,./TargetProjects/tajo/tajo-thirdparty/asm/src/main/java/org/apache/tajo/org/objectweb/asm/tree/analysis/SimpleVerifier.java,288,,"        if (currentClass != null && u.equals(currentClass)) {"
58,./TargetProjects/tomee/container/openejb-core/src/main/java/org/apache/openejb/core/timer/EjbTimerServiceImpl.java,249,,"            if (driverDelegate != null && StdJDBCDelegate.class.getName().equals(driverDelegate)) {"
59,./TargetProjects/tomee/container/openejb-core/src/main/java/org/apache/openejb/resource/jdbc/managed/local/LocalXAResource.java,178,,"        if (xid != null && currentXid.equals(xid)) {"
60,./TargetProjects/tuscany-sca-1/modules/binding-ws-axis2/src/main/java/org/apache/tuscany/sca/binding/ws/axis2/jms/JMSSender.java,301,,"        if (msgType != null && JMSConstants.JMS_BYTE_MESSAGE.equals(msgType)) {"
61,./TargetProjects/ws-neethi/src/main/java/org/apache/neethi/Policy.java,161,,"            if (namespaceURI != null && XMLConstants.XMLNS_ATTRIBUTE_NS_URI.equals(namespaceURI)) {"
