Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/ActiveMQSslConnectionFactoryTest.java,154,,"         LOG.info(""Expected java.io.Exception ["" + ignore + ""]"");"
2,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/ActiveMQSslConnectionFactoryTest.java,175,,"         LOG.info(""Expected SSLHandshakeException ["" + ignore + ""]"");"
3,./TargetProjects/activemq-artemis/tests/activemq5-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubscriberWithNetworkRestartTest.java,169,,"         LOG.warn(""getMBeanServer ex: "" + ignored);"
4,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/analysis/salsa/visualization/Swimlanes.java,890,,"      log.warn(""prefuse data IO error: "" + e);"
5,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/analysis/salsa/visualization/Swimlanes.java,894,,"      log.warn(""Error in SQL: "" + e + "" in statement: "" + query);"
6,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/database/TableCreator.java,149,,"        log.error(ExceptionUtil.getStackTrace(e));"
7,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/dataloader/FSMDataLoader.java,137,,"      log.error(ExceptionUtil.getStackTrace(e));"
8,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/dataloader/MetricDataLoader.java,282,,"          log.debug(ExceptionUtil.getStackTrace(nullException));"
9,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/dataloader/MetricDataLoader.java,370,,"            log.debug(ExceptionUtil.getStackTrace(nullException));"
10,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/dataloader/MetricDataLoader.java,525,,"      log.error(ExceptionUtil.getStackTrace(e));"
11,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/dataloader/MetricDataLoaderPool.java,69,,"      log.error(ExceptionUtil.getStackTrace(e));"
12,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/datastore/UserStore.java,83,,"          log.error(ExceptionUtil.getStackTrace(e));"
13,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/datastore/UserStore.java,95,,"      log.error(ExceptionUtil.getStackTrace(ex));"
14,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/datastore/UserStore.java,120,,"      log.error(ExceptionUtil.getStackTrace(ex));"
15,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/datastore/UserStore.java,148,,"            log.error(ExceptionUtil.getStackTrace(e));"
16,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/datastore/UserStore.java,153,,"      log.error(ExceptionUtil.getStackTrace(ex));"
17,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/datastore/ViewStore.java,96,,"          log.error(ExceptionUtil.getStackTrace(e));"
18,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/datastore/ViewStore.java,101,,"      log.error(ExceptionUtil.getStackTrace(ex));"
